ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene_Symbol_1	Gene description
ENSG00000008952	67.1284377960922	Q99442	SEC62 homolog,preprotein translocation factor	SEC62	7095	11.56930069	34.983574	2552	29.631363	3498	35.914951	3383	28.499693	2636	2491.871794	5.72E-12	-1.562849262	0.089206929	5.15E-13	-7.221172639	10.92548966	25.298717	1788	23.22467	1544	24.936096	2320	22.698601	2439	11.45745375	11.4362502	11.48148038	11.39779024	11.11710786	11.01941208	11.10430135	11.00315179	NM_003262	18.13997196	0.035491291	-18.13997196	SEC62	Translocation protein SEC62 (Translocation protein 1)(TP-1)(hTP-1) [Source:UniProtKB/Swiss-Prot;Acc:Q99442]
ENSG00000009844	180.08162526107589	Q9NP79	vesicle trafficking 1	VTA1	51534	9.743133757	15.961709	596	18.851481	1140	16.269299	785	19.096655	904	853.6974064	0.973116868	-1.007847864	0.215841836	0.958328964	-0.052250664	9.732006761	16.056024	582	25.3027	863	16.726822	799	24.179558	1333	9.58925226	9.85062142	9.60594515	9.85698599	9.53794753	9.89304236	9.57094162	9.85648461	NM_001286371,NM_001286372,NM_016485	0.075131782	0.148099721	-0.075131782	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive protein DRG-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9NP79]
ENSG00000010017	88.2722461532151	Q96S59	RAN binding protein 9	RANBP9	10048	10.07404098	25.169197	874	21.734217	1221	26.734556	1199	22.396772	986	1332.98646	2.14E-6	1.472952121	0.110385467	4.16E-7	5.061450118	10.6330388	45.102539	1517	37.717453	1193	43.435848	1923	38.653255	1977	10.17737436	10.17331376	10.22706448	10.19407385	10.61237761	10.42797265	10.57875588	10.45215214	NM_005493	22.86394455	0.024448879	22.86394455	RANBP9	Ran-binding protein 9 (RanBP9)(RanBP7)(Ran-binding protein M)(RanBPM)(BPM90)(BPM-L) [Source:UniProtKB/Swiss-Prot;Acc:Q96S59]
ENSG00000010244	366.1188480878773	O43670,O43670-2	zinc finger protein 207	ZNF207	7756	11.34759957	72.349781	1835	83.639558	3428	74.205444	2427	84.590162	2720	2285.130786	0.127367455	-1.326636871	0.232832787	0.07988429	-1.75135784	10.93980026	52.012379	1280	87.962195	2020	54.219583	1748	87.668415	3253	11.11942057	11.36923107	11.14052307	11.37638039	10.78981003	11.19194047	10.81817049	11.19138835	NM_001032293,NM_001098507,NM_003457	2.902589808	0.140494984	-2.902589808	ZNF207	Zinc finger protein 207  [Source:UniProtKB/Swiss-Prot;Acc:O43670]
ENSG00000012061	NaN		ERCC excision repair 1,endonuclease non-catalytic subunit	ERCC1	2067	10.30715701	39.49095	930	42.901632	1634	42.24748	1283	40.974274	1218	1044.104155	2.23E-6	-1.542944355	0.123806013	4.33E-7	-5.053761276	9.68167199	36.180626	752	32.957711	612	34.791173	988	34.449844	1089	10.07910159	10.27693522	10.13725823	10.22817924	9.86578412	9.7211319	9.86330561	9.80074504	NM_001166049,NM_001983,NM_202001	7.033624559	0.088927837	-7.033624559	ERCC1	DNA excision repair protein ERCC-1  [Source:UniProtKB/Swiss-Prot;Acc:P07992]
ENSG00000013441	NaN		CDC like kinase 1	CLK1	1195	10.1466033	45.953841	1367	13.743285	563	51.066321	1990	16.258117	485	741.6969046	5.24002E-4	-3.239282525	0.449888532	1.63838E-4	-3.769098745	8.450661158	8.214286	285	8.81406	288	9.206163	412	9.280121	486	10.15224911	9.04737705	10.27096797	9.12180374	8.74869439	8.77768321	8.81856734	8.81192999	NM_001162407,NM_004071,NR_027855,NR_027856	2.596384091	0.653193858	-2.596384091	CLK1	Dual specificity protein kinase CLK1 (EC 2.7.12.1)(CDC-like kinase 1) [Source:UniProtKB/Swiss-Prot;Acc:P49759]
ENSG00000034510	12512.978270966158	P63313	thymosin beta 10	TMSB10	9168	14.33084107	2578.785645	13858	3486.128418	30320	2309.447021	16027	3288.265137	22411	18668.89847	0.225031722	-1.231696565	0.21212999	0.156402056	-1.417276662	14.03022569	2867.780273	14931	3009.031738	14736	2585.901855	17725	2778.534424	21999	14.08649274	14.4757236	13.99476774	14.41883777	14.11615173	14.12866383	14.02822115	14.06389572	NM_021103	1.258442824	0.238878854	-1.258442824	TMSB10	Thymosin beta-10  [Source:UniProtKB/Swiss-Prot;Acc:P63313]
ENSG00000047849	1542.1973941306746	P27816,P27816-5	microtubule associated protein 4	MAP4	4134	12.84027548	68.831776	4850	91.98822	10502	66.83276	6086	89.045614	7965	6761.565721	0.300083446	-1.184855489	0.19933018	0.219571947	-1.227667139	12.59565048	85.585365	5697	78.253055	5013	81.39441	7305	74.374769	7685	12.59454574	12.97167734	12.57113786	12.93830262	12.69745797	12.6124382	12.67417817	12.57057189	NM_001134364,NM_002375,NM_030885	1.135132813	0.215503417	-1.135132813	MAP4	Microtubule-associated protein 4 (MAP-4) [Source:UniProtKB/Swiss-Prot;Acc:P27816]
ENSG00000049245	1248.1808136323682	Q15836	vesicle associated membrane protein 3	VAMP3	9341	11.46426341	88.283783	2171	83.778526	3334	92.251671	2929	89.645752	2795	2490.03326	9.54E-6	-1.311460993	0.082439639	2.09E-6	-4.744985573	11.07321742	78.261971	1864	79.034874	1771	80.528297	2526	78.3992	2840	11.32256038	11.40036086	11.36106304	11.45529942	11.1596422	11.14031385	11.18301799	11.13622936	NM_004781	6.895021104	0.056714256	-6.895021104	VAMP3	Vesicle-associated membrane protein 3 (VAMP-3)(Synaptobrevin-3)(Cellubrevin)(CEB) [Source:UniProtKB/Swiss-Prot;Acc:Q15836]
ENSG00000050748	25.2930196772052	P45984-2	mitogen-activated protein kinase 9	MAPK9	5601	10.14633045	18.295283	819	19.895377	1472	18.585369	1111	19.911538	1127	1023.105731	0.082086267	-1.241423929	0.157949384	0.048235233	-1.975290129	9.834310831	15.77759	694	20.654114	833	15.155543	909	21.104529	1412	9.96533176	10.17793985	10.00779312	10.15383302	9.7959196	9.9697139	9.79101229	10.01275665	NM_001135044,NM_001308244,NM_002752,NM_139068,NM_139069,NM_139070	2.959376056	0.105434258	-2.959376056	MAPK9	Mitogen-activated protein kinase 9 (EC 2.7.11.24)(Stress-activated protein kinase JNK2)(c-Jun N-terminal kinase 2)(JNK-55) [Source:UniProtKB/Swiss-Prot;Acc:P45984]
