ID	UniProt ID	Average Intensity	Gene symbol ID
ENSG00000001036	Q9BTY2	7.451599363432784	FUCA2
ENSG00000001167	P23511-2	25.60174875365753	NFYA
ENSG00000001497	Q9Y4W2-2	9.296179440919412	LAS1L
ENSG00000002330	Q92934	23.39320402529428	BAD
ENSG00000002549	P28838-2	1258.140902362224	LAP3
ENSG00000002822	Q9Y6D9	28.625927523946395	MAD1L1
ENSG00000002834	Q14847	6600.210878042417	LASP1
ENSG00000003056	P20645	77.91735302818623	M6PR
ENSG00000003756	P52756	7.851500436897925	RBM5
ENSG00000004534	P78332	1.9497129382072147	RBM6
ENSG00000004700	P46063	70.69351028418791	RECQL
ENSG00000004779	O14561	430.4028432054409	NDUFAB1
ENSG00000004864	Q9UJS0	96.62332151385172	SLC25A13
ENSG00000004897	P30260	37.92796262236561	CDC27
ENSG00000004975	O14641	23.618222940792336	DVL2
ENSG00000005075	P52435	95.12145580635784	POLR2J
ENSG00000005156	P49916	6.0671431526571755	LIG3
ENSG00000005339	Q92793	2.526479531347272	CREBBP
ENSG00000005810	O75592-2	0.7059627640047923	MYCBP2
ENSG00000005884	P26006	1155.0052527360679	ITGA3
ENSG00000006125	P63010	826.1804635195991	AP2B1
ENSG00000006451	P11233	249.4118561707515	RALA
ENSG00000006712	Q8N7H5	29.175221477716526	PAF1
ENSG00000006744	Q9BQ52	145.998256574883	ELAC2
ENSG00000007168	P43034	425.3418023680382	PAFAH1B1
ENSG00000007392	Q9NQ29	370.7779168758013	LUC7L
ENSG00000007923	Q9NVH1	57.09735928627039	DNAJC11
ENSG00000008018	P20618	1898.7023325420714	PSMB1
ENSG00000008282	Q16563-2	164.18911156374523	SYPL1
ENSG00000008294	O60271,O60271-2,O60271-9	88.32353681933046	SPAG9
ENSG00000008513	Q11201	1.2091079977005652	ST3GAL1
ENSG00000008988	P60866	4610.182725094726	RPS20
ENSG00000009307	O75534,O75534-2	487.5509432720504	CSDE1
ENSG00000009335	Q15386	44.30551022046069	UBE3C
ENSG00000009954	Q9UIG0	37.50606465217718	BAZ1B
ENSG00000010017	Q96S59	88.2722461532151	RANBP9
ENSG00000010244	O43670,O43670-2	366.1188480878773	ZNF207
ENSG00000010322	Q9Y2I1,Q9Y2I1-4	17.000497820914433	NISCH
ENSG00000011009	O95372	369.04384441912396	LYPLA2
ENSG00000011304	P26599	4543.316217758473	PTBP1
ENSG00000011422	Q03405,Q03405-2	36.33947888918232	PLAUR
ENSG00000011426	Q9NQW6	161.56165626644597	ANLN
ENSG00000011478	Q9NXS2	13.69444216537175	QPCTL
ENSG00000011485	P53041	246.33576883999413	PPP5C
ENSG00000011566	Q8IVH8-3	514.216336083463	MAP4K3
ENSG00000013275	P43686	1325.5783799185933	PSMC4
ENSG00000013375	O95394	249.06324669665224	PGM3
ENSG00000013583	Q9NRV9	421.6616735775718	HEBP1
ENSG00000013810	Q9Y6A5	26.817604336186108	TACC3
ENSG00000014138	Q14181	12.83909563578067	POLA2
ENSG00000014641	P40925	2329.1506853767823	MDH1
ENSG00000015171	Q15326-3	0.601043850671624	ZMYND11
ENSG00000015676	Q8IVD9	46.63917022522265	NUDCD3
ENSG00000016864	Q68CQ7	3.6260646026699628	GLT8D1
ENSG00000018610	Q9H5V9	2.518774120642365	CXorf56
ENSG00000020129	Q9UBB6	20.35843891591318	NCDN
ENSG00000020577	Q9UPU9-3	3.929734413183258	SAMD4A
ENSG00000023191	P13489	3204.1243768732556	RNH1
ENSG00000023516	Q9UKA4	0.7450130862065458	AKAP11
ENSG00000023734	Q9Y3F4	1235.4286970530193	STRAP
ENSG00000024048	Q8IWV8,Q8IWV8-3	14.680713607750604	UBR2
ENSG00000025772	Q15785	443.647531094226	TOMM34
ENSG00000025796	Q9UGP8	85.55505307176082	SEC63
ENSG00000026508	P16070-4	3747.004446580857	CD44
ENSG00000028528	Q13596	120.03914806767915	SNX1
ENSG00000028839	P62380	0.9879828512719905	TBPL1
ENSG00000029363	Q9NYF8-2,Q9NYF8-3,Q9NYF8-4	186.16433369539442	BCLAF1
ENSG00000029725	Q15276	8.134562887453482	RABEP1
ENSG00000030066	Q12769	28.972038713642633	NUP160
ENSG00000030110	Q16611	8.488519042290477	BAK1
ENSG00000031698	P49591	568.8730317455061	SARS
ENSG00000031823	Q9H6Z4-3	443.8928278888289	RANBP3
ENSG00000033050	Q9UG63	276.1882072402789	ABCF2
ENSG00000033627	Q93050-1,Q93050-3	6.578526746143096	ATP6V0A1
ENSG00000033800	O75925	2.469548292043112	PIAS1
ENSG00000034152	P46734	168.70007706867136	MAP2K3
ENSG00000034510	P63313	12512.978270966158	TMSB10
ENSG00000034713	P60520	31.834364810273915	GABARAPL2
ENSG00000035687	P30520	585.0467606641637	ADSS
ENSG00000035862	P16035	25.05209622039125	TIMP2
ENSG00000035928	P35251-2	6.770434612175153	RFC1
ENSG00000036054	Q9NUY8,Q9NUY8-2	31.469923824797192	TBC1D23
ENSG00000036257	Q13618	19.642343852740133	CUL3
ENSG00000037241	Q9UNX3	3459.300039560665	RPL26L1
