ID	Average Intensity	UniProt ID	Gene symbol ID	Gene symbol ID_1	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.bh.pval	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.stat
ENSG00000012048	NaN		BRCA1	BRCA1	426.773887385763	6.34689114944607E-4	2.81170100084722	0.401405669897799	2.02761467963283E-4	3.71555086724233
ENSG00000048392	NaN		RRM2B	RRM2B	1935.19857763072	3.11728097520527E-121	-7.90554738145035	0.125870133596455	3.78463898244266E-124	-23.6979597404434
ENSG00000077238	NaN		IL4R	IL4R	542.597331613035	1.37962404604748E-4	1.67165118125839	0.180025236252683	3.82820688021097E-5	4.1176106813932
ENSG00000090339	NaN		ICAM1	ICAM1	1322.72279158532	1.43098653019702E-23	37.5155859900186	0.506307628580546	5.23517532698547E-25	10.3285391980539
ENSG00000096968	NaN		JAK2	JAK2	125.18100216681	3.32080868630976E-11	-2.79267787943466	0.212700206089263	3.2630204331688E-12	-6.96590381007725
ENSG00000101266	NaN		CSNK2A1	CSNK2A1	2654.56376201827	0.656923338234237	-1.02871897449663	0.0727090195788001	0.57424298283527	-0.561813661964858
ENSG00000105229	NaN		PIAS4	PIAS4	238.414350864349	8.00440315823995E-4	1.59036744660895	0.183434899775883	2.63228571687001E-4	3.64903370330909
ENSG00000105325	NaN		FZR1	FZR1	530.841924558971	0.0832357709506807	-1.17569802183596	0.118624260345507	0.0490050180408945	-1.96854800778058
ENSG00000112592	NaN		TBP	TBP	336.181559475687	0.00869292969157514	1.69090124514421	0.261564401948291	0.00376564627351761	2.89715419171657
ENSG00000115414	NaN		FN1	FN1	524914.569562351	1.34012829330382E-56	-72.850807939301	0.383173702861622	1.20400032826163E-58	-16.1463926700114
ENSG00000115750	NaN		TAF1B	TAF1B	418.036682270635	8.2438144751956E-14	2.38999618540016	0.161130063389048	6.13198340971652E-15	7.80120288621359
ENSG00000116017	NaN		ARID3A	ARID3A	146.030527861295	4.10188457070057E-30	-3.6990940347019	0.161076894936301	1.05576632414632E-31	-11.7159694221673
ENSG00000123384	NaN		LRP1	LRP1	4195.86680708256	1.00031751725611E-5	-11.2854845992542	0.738467093636864	2.19414040612226E-6	-4.7346679280219
ENSG00000131788	NaN		PIAS3	PIAS3	1663.88060979324	1.39715853684813E-39	-2.50435049251263	0.0983125960063026	2.29561459312157E-41	-13.4716866440637
ENSG00000135046	NaN		ANXA1	ANXA1	6589.28137875795	7.53009610227828E-4	1.3986171155233	0.132002896826396	2.45802327644583E-4	3.66659427156628
ENSG00000135605	NaN		TEC	TEC	53.9402887646969	5.52072648042522E-5	2.31956219602993	0.279539339883117	1.40978486812963E-5	4.34233167752585
ENSG00000136603	NaN		SKIL	SKIL	1469.52647289527	7.12108112612814E-21	-7.59231835731579	0.301516572536209	3.03171887684614E-22	-9.69943530267081
ENSG00000149948	NaN		HMGA2	HMGA2	2574.91505202895	3.1002883983737E-32	-5.0206128055516	0.19187403154004	7.12652290682421E-34	-12.132248687298
ENSG00000163235	NaN		TGFA	TGFA	576.419339327846	3.21330396057167E-95	24.4348958047223	0.219617303636577	7.28227526475166E-98	20.9950262169471
ENSG00000169679	NaN		BUB1	BUB1	1246.26234692544	2.04204281561296E-11	6.50897385801608	0.384016059495056	1.96022887844352E-12	7.0372841268605
ENSG00000170836	NaN		PPM1D	PPM1D	298.497426833334	1.7016497784969E-7	-1.64165843490849	0.128715157115421	2.75872481289299E-8	-5.55609771060214
ENSG00000171150	NaN		SOCS5	SOCS5	645.73225370316	2.34407431518218E-13	-1.95972712512432	0.126688702193675	1.83465792212154E-14	-7.66171543982251
ENSG00000197467	NaN		COL13A1	COL13A1	304.76677411731	2.66494179446235E-44	70.9840186926306	0.43122295015683	3.86098406482202E-46	14.2604245580342
