ID	Gene symbol ID	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network
ENSG00000012048	BRCA1		transcription regulator		1.010	9.95E-8	EGFR,HMGA2,IGF1R,PLK1,RRM2B,S100A2,TP53,VIM	37 (12)
ENSG00000049768	FOXP3		transcription regulator			5.7E-4	ANXA1,IL7R,RRM2B,TGFB1	
ENSG00000071564	TCF3		transcription regulator			3.62E-5	ATF3,CD55,CDC20,HMGB2,IL7R,NDC80,NUF2	
ENSG00000073282	TP63		transcription regulator		-1.675	1.95E-5	FN1,HMGA2,ITGB8,S100A2,SMAD4,STX6,TGFB1,TP53	25 (7)
ENSG00000078900	TP73		transcription regulator		-1.846	1.28E-10	ATF3,AURKA,CDC20,EGFR,IL4R,RRM2B,S100A2,SERPINA1,STX6,TBL1X	35 (8)
ENSG00000100644	HIF1A		transcription regulator		0.085	3.81E-6	BACE1,BGN,EGFR,FN1,HUWE1,TGFA,TGFB1,TP53,VIM	27 (14)
ENSG00000100811	YY1		transcription regulator		0.000	4.42E-5	ARID3A,AURKA,EGFR,PLK1,PTPRA,TOP2A,TP53	
ENSG00000101412	E2F1		transcription regulator		-0.087	5.13E-4	CDC20,HMGB2,ICAM1,TGFB1,TOP2A,TP53	
ENSG00000101665	SMAD7		transcription regulator		0.943	1.03E-4	FN1,ICAM1,LTBP3,TGFA,TGFB1	36 (18)
ENSG00000102804	TSC22D1		transcription regulator			7.99E-5	FN1,TP53	
ENSG00000105887	MTPN		transcription regulator		-1.067	2.07E-4	ANXA1,FBLN1,FN1,TGFB1	
ENSG00000106462	EZH2		transcription regulator		-0.124	2.44E-5	ATF3,CABLES2,EGFR,FBLN1,ICAM1,SERPINA1,TGFB1,TP53	29 (9)
ENSG00000107485	GATA3		transcription regulator			2.0E-5	FN1,ICAM1,IL7R,SELPLG,TGFB1,VIM	34 (15)
ENSG00000111206	FOXM1		transcription regulator			5.5E-4	ANXA1,CDC20,PLK1,VIM	
