ID	Gene symbol ID	Transpath ID	Gene symbol ID_1
ENSG00000005339	CREBBP	MO000057745	CREBBP
ENSG00000026103	FAS	MO000004928	FAS
ENSG00000033800	PIAS1	MO000030911,MO000079236	PIAS1
ENSG00000039068	CDH1	MO000016977	CDH1
ENSG00000064012	CASP8	MO000020219,MO000021036	CASP8
ENSG00000082701	GSK3B	MO000016989	GSK3B
ENSG00000087586	AURKA	MO000032481,MO000082438	AURKA
ENSG00000097007	ABL1	MO000020628	ABL1
ENSG00000100393	EP300	MO000019985,MO000056654	EP300
ENSG00000101266	CSNK2A1	MO000018901,MO000018902,MO000033264	CSNK2A1
ENSG00000103275	UBE2I	MO000019975,MO000079234,MO000324017	UBE2I
ENSG00000105229	PIAS4	MO000084645	PIAS4
ENSG00000105329	TGFB1	MO000020325,MO000021287	TGFB1
ENSG00000106799	TGFBR1	MO000017447,MO000020325,MO000083732	TGFBR1
ENSG00000107643	MAPK8	MO000007821,MO000022229,MO000030998,MO000033485,MO000035654	MAPK8
ENSG00000114166	KAT2B	MO000056491	KAT2B
ENSG00000116478	HDAC1	MO000023575	HDAC1
ENSG00000121022	COPS5	MO000022093,MO000031213,MO000071150	COPS5
ENSG00000132906	CASP9	MO000020362,MO000020367	CASP9
ENSG00000135679	MDM2	MO000023311,MO000056625	MDM2
ENSG00000136997	MYC	MO000056483	MYC
ENSG00000139687	RB1	MO000017774	RB1
ENSG00000141510	TP53	MO000019548,MO000056623	TP53
ENSG00000141736	ERBB2	MO000018962	ERBB2
ENSG00000146648	EGFR	MO000016677	EGFR
ENSG00000149269	PAK1	MO000019481	PAK1
ENSG00000156711	MAPK13	MO000022210	MAPK13
ENSG00000163932	PRKCD	MO000031189	PRKCD
ENSG00000164045	CDC25A	MO000023445	CDC25A
ENSG00000164305	CASP3	MO000020397,MO000020398,MO000020615	CASP3
ENSG00000164611	PTTG1	MO000044992	PTTG1
ENSG00000164885	CDK5	MO000036416,MO000186472	CDK5
ENSG00000165806	CASP7	MO000021207,MO000032000	CASP7
ENSG00000166851	PLK1	MO000022403,MO000096187	PLK1
ENSG00000166949	SMAD3	MO000019780,MO000020328,MO000057832,MO000279226,MO000480307	SMAD3
ENSG00000168610	STAT3	MO000013123	STAT3
ENSG00000169032	MAP2K1	MO000009386,MO000021174	MAP2K1
ENSG00000170312	CDK1	MO000021743,MO000021748,MO000023615,MO000092591	CDK1
ENSG00000171720	HDAC3	MO000023578	HDAC3
ENSG00000177606	JUN	MO000019469,MO000058322,MO000167543	JUN
ENSG00000180370	PAK2	MO000042946,MO000084423	PAK2
ENSG00000196396	PTPN1	MO000021383	PTPN1
ENSG00000196591	HDAC2	MO000023577,MO000058923	HDAC2
ENSG00000197122	SRC	MO000021478	SRC
ENSG00000197386	HTT	MO000033243	HTT
ENSG00000204209	DAXX	MO000020269	DAXX
ENSG00000213341	CHUK	MO000019311,MO000060084	CHUK
