	L1	L2	A1	A2	A3	A4	A5	A6
a20	1	1	1	1	1	1	1	1
apoptosis	0	0	1	1	1	1	1	1
bclxl	0	0	0	0	0	0	0	0
creb	0	0	0	0	0	0	0	0
ctla4	s	s	s	s	s	s	s	s
cytoskeletonsignaling	1	1	1	1	1	1	1	1
erk	1	1	1	1	1	1	1	1
flip	1	1	0	0	0	0	0	0
fyn	1	1	1	1	1	1	1	1
gap	0	0	0	0	0	0	0	0
grb2	1	1	1	1	1	1	1	1
ifng	0	0	0	0	0	0	0	0
il2	0	0	0	0	0	0	0	0
il2ra	0	0	0	0	0	0	0	0
il2rat	0	0	0	0	0	0	0	0
il2rb	1	1	1	1	1	1	1	1
il2rbt	1	1	1	1	1	1	1	1
jak	1	1	1	1	1	1	1	1
lck	1	1	1	1	1	1	1	1
mcl1	1	1	0	0	0	0	0	0
mek	1	1	1	1	1	1	1	1
nfat	1	1	1	1	1	1	1	1
p2	0	1	1	1	1	1	1	1
p27	1	1	1	1	1	1	1	1
plcg1	1	1	1	1	1	1	1	1
proliferation	0	0	0	0	0	0	0	0
rantes	1	1	1	1	1	1	1	1
ras	1	1	1	1	1	1	1	1
sfas	1	1	0	0	0	0	0	0
smad	1	1	0	0	0	0	0	0
socs	0	0	0	0	0	0	0	0
stat3	1	1	1	1	1	1	1	1
tbet	1	1	1	1	1	1	1	1
tcr	s	s	s	s	s	s	s	s
tnf	1	1	1	1	1	1	1	1
zap70	0	0	0	0	0	0	0	0
il15	1	1	1	1	1	1	1	1
stimuli	1	1	1	1	1	1	1	1
cd45	0	0	0	0	0	0	0	0
stimuli2	0	0	0	0	0	0	0	0
pdgf	0	0	0	0	0	0	0	0
tax	0	0	0	0	0	0	0	0
bid	0	0	1	1	1	1	1	1
caspase	0	0	1	1	1	1	1	1
ceramide	0	0	1	1	1	1	1	1
disc	0	0	1	1	1	1	1	1
fas	0	0	1	1	1	1	1	1
fasl	1	1	1	1	1	1	1	1
fast	1	1	1	1	1	1	1	1
gpcr	1	1	0	0	0	0	0	0
gzmb	1	1	1	1	1	1	1	1
iap	1	1	0	0	0	0	0	0
ifngt	1	1	1	1	1	1	1	1
nfkb	1	1	1	1	1	1	1	1
pdgfr	1	1	0	0	0	0	0	0
pi3k	1	1	1	1	1	1	1	1
s1p	1	1	0	0	0	0	0	0
sphk1	1	1	0	0	0	0	0	0
tpl2	1	1	1	1	1	1	1	1
tradd	0	0	0	0	0	0	0	0
