ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Gene symbol ID	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval
ENSG00000030419	IKAROS family zinc finger 2 (Helios)	IKZF2	V$HELIOSA_01,V$HELIOSA_02,V$HELIOS_01,V$HELIOS_02	4.972727272727273	4.140134059488898	1.7390363960089146	0.857575	0.011499105228594875	IKZF2	-2.81079803711431	150.409547094334	0.405928470575623	-3.67301114423537	2.39709025037827E-4	7.35802485550894E-4
ENSG00000083828	zinc finger protein 586	ZNF586	V$ZNF586_03,V$ZNF586_05	0.48484848484848486	0.32677000418935903	1.5551666666666666	0.84605	0.029656755672517653	ZNF586	-1.28799614807123	76.5108941642132	0.233509195200429	-1.56365696249602	0.117898149885689	0.177055019063777
ENSG00000101216	glucocorticoid modulatory element binding protein 2	GMEB2	V$GMEB2_03	0.2545454545454546	0.14243820695433598	1.787058823529412	0.7675	0.02801182357528701	GMEB2	1.36513777829847	361.52091027257	0.133653034425648	3.35979326087664	7.80008181131395E-4	0.00213019475638337
ENSG00000114853	zinc finger and BTB domain containing 47	ZBTB47	V$ZNF651_01	0.16969696969696968	0.06702974444909929	2.5316666666666663	0.8683	0.010492224489266328	ZBTB47	-1.9961046943814	308.734151094469	0.266670869779429	-3.73939377740297	1.84464574918172E-4	5.82581754374747E-4
ENSG00000120690	E74-like factor 1 (ets domain transcription factor)	ELF1	V$CEBPGELF1_01,V$ELF1_08,V$ELF1_09,V$ELF1_Q4,V$ELF1_Q6,V$ETS_Q4,V$ETS_Q6,V$GCM1ELF1_02,V$MYBL1ELF1_01	9.663299663299664	8.61146022436345	2.3993366353115904	0.8000333333333333	0.015768078342716624	ELF1	-2.32892243919296	1005.08150344162	0.190671738710026	-6.39666162427573	1.58810721755048E-10	1.30719951184785E-9
ENSG00000126804	zinc finger and BTB domain containing 1	ZBTB1	V$ZBTB1_01	0.23030303030303031	0.10892333472978634	2.1143589743589746	0.7317	0.011460021402279339	ZBTB1	-2.32594614360915	884.853324369702	0.199840358686547	-6.09395269379846	1.10156225243093E-9	8.30879220316491E-9
ENSG00000143842	SRY (sex determining region Y)-box 13	SOX13	V$SOX13_05	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9989	0.01728975378717425	SOX13	1.09901027581693	478.630186978725	0.275753650075662	0.493936800490126	0.621350813793379	0.700756668591255
ENSG00000147421	homeobox containing 1	HMBOX1	V$HMBOX1_03	0.3515151515151515	0.2304147465437788	1.5255757575757576	0.9255	0.04495028432555364	HMBOX1	-1.51330214946256	119.448960932973	0.409062382202719	-1.4611465003893	0.143975241340385	0.209864807310105
ENSG00000148516	zinc finger E-box binding homeobox 1	ZEB1	V$AREB6_03,V$AREB6_04,V$ZEB1_04,V$ZEB1_05,V$ZEB1_06,V$ZEB1_07,V$ZEB_Q3	0.7844155844155845	0.6134418576814891	2.888055239425653	0.9441428571428572	0.04040087760236836	ZEB1	1.08508480451447	1206.79889085824	0.200940409985146	0.586282274094269	0.557685840902259	0.642204172275833
ENSG00000152433	zinc finger protein 547	ZNF547	V$ZNF547_01,V$ZNF547_02,V$ZNF547_03,V$ZNF547_04	0.8454545454545455	0.658776707163804	1.9594221051220888	0.80785	0.025194976301640304	ZNF547	-2.85142486657721	27.6620839461924	0.348126559239295	-4.34233751747707	1.40974738384839E-5	5.52072648042522E-5
ENSG00000154957	zinc finger protein 18	ZNF18	V$ZNF18_02,V$ZNF18_03,V$ZNF18_04	0.29494949494949496	0.18293534422566682	4.328426666666666	0.9420000000000001	0.013708381811598344	ZNF18	-2.29589644584865	64.8449801071922	0.237238949158109	-5.05421886412458	4.32155812319858E-7	2.22284973405988E-6
