ID	Gene_Symbol	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000004897	CDC27	37.92796262236561	P30260	cell division cycle 27	CDC27	996	11.07492379	22.890418	1487	26.286319	2759	22.116792	1864	29.989554	2473	2817.170162	0.001309465	1.611937839	0.196510662	4.56378E-4	3.505133525	11.76369825	41.386582	2620	53.239149	3152	42.805345	3551	55.889616	5343	11.06938564	11.29644547	11.04638779	11.40636077	11.50823977	11.69663097	11.53290035	11.74238342	NM_001114091,NM_001256,NM_001293089,NM_001293091	3.923446394	0.175553427	3.923446394
ENSG00000005339	CREBBP	2.526479531347272	Q92793	CREB binding protein	CREBBP	1387	10.66475877	14.042294	1597	8.879969	1634	13.122466	1927	8.541827	1232	1457.524964	0.163090244	-1.256685468	0.2046045	0.107173589	-1.611028142	10.33505474	11.941867	1316	8.54278	885	11.593917	1681	8.823029	1478	10.7463486	10.47008504	10.68657144	10.43364564	10.54136875	10.23342861	10.51466271	10.2621034	NM_001079846,NM_004380	2.121450872	0.155414407	-2.121450872
ENSG00000005884	ITGA3	1155.0052527360679	P26006	integrin subunit alpha 3	ITGA3	3675	14.18990107	195.547043	10977	320.196655	29091	184.277252	13359	306.727325	21837	17004.55148	0.448691931	-1.219917349	0.312027869	0.358045629	-0.919095487	13.9031392	300.679626	16353	199.953888	10230	292.267883	20927	188.806122	15615	13.8258581	14.37075076	13.77899072	14.32938098	14.12918942	13.76034175	14.10378553	13.71819312	NM_002204	0.904014769	0.317209276	-0.904014769
ENSG00000006125	AP2B1	826.1804635195991	P63010	adaptor related protein complex 2 beta 1 subunit	AP2B1	163	12.37589247	63.820446	4083	64.787472	6723	63.225252	5219	63.603567	5153	6293.590391	5.04E-6	1.368097708	0.092603378	1.05E-6	4.88288094	12.82814421	99.773052	6185	102.984158	6008	102.06588	8323	105.440486	9943	12.40891643	12.54208357	12.40109205	12.51962614	12.72866696	12.7276129	12.74719049	12.75105895	NM_001030006,NM_001282	6.169397963	0.073305652	6.169397963
ENSG00000008710	PKD1	NaN		polycystin 1,transient receptor potential channel interacting	PKD1	5310	9.889961128	5.512733	869	3.861375	986	5.010262	1021	4.287028	857	734.0953337	0.004864573	-1.82730257	0.280976254	0.001965909	-3.095334661	9.020674586	3.994777	611	2.177022	313	3.727244	750	1.92255	447	9.80115513	9.61158634	9.71702847	9.69910551	9.45687264	8.94359205	9.39688515	8.85348774	NM_000296,NM_001009944	11.18162288	0.077742431	-11.18162288
ENSG00000010810	FYN	9.407487644225931	P06241	FYN proto-oncogene,Src family tyrosine kinase	FYN	2534	6.784273876	2.063656	84	2.157864	141	2.550032	132	1.749626	86	366.8743901	4.88E-28	5.641572406	0.221002326	1.4E-29	11.29443916	9.284306746	18.071694	654	13.486856	438	16.766939	828	11.527872	647	7.36856801	7.48497524	7.49826849	7.3182685	9.02970921	8.67696827	8.9919091	8.59806028	NM_002037,NM_153047,NM_153048	28.35721819	0.088162134	28.35721819
ENSG00000011422	PLAUR	36.33947888918232	Q03405,Q03405-2	plasminogen activator,urokinase receptor	PLAUR	5329	7.918128971	10.128996	171	11.595351	315	9.809823	215	12.200708	263	532.9788873	1.64E-28	3.404231554	0.155127229	4.54E-30	11.39277211	9.686642181	42.519403	700	45.710425	709	41.641004	906	45.310589	1127	8.22444009	8.42199476	8.20481077	8.4675342	9.34902935	9.38647425	9.33293641	9.37441863	NM_001005376,NM_001005377,NM_001301037,NM_002659	13.15815822	0.134404313	13.15815822
ENSG00000011465	DCN	NaN		decorin	DCN	1634	12.30210844	113.4703	5267	52.495127	3925	122.185412	7276	56.475569	3317	2539.094985	2.55E-26	-180.231497	0.685384818	7.96E-28	-10.9335765	4.80978856	0.871312	41	0.085348	4	0.979701	61	0.10586	8	11.63575574	10.97007892	11.70941049	11.04300177	7.8840359	7.53609082	7.91739463	7.52682408	NM_001920,NM_133503,NM_133504,NM_133505,NM_133506,NM_133507	19.36695462	0.386861023	-19.36695462
ENSG00000012048	BRCA1	NaN		BRCA1,DNA repair associated	BRCA1	672	7.806367674	1.314967	108	2.893571	375	1.316665	135	2.827467	288	426.7738874	6.34689E-4	2.811701001	0.40140567	2.02761E-4	3.715550867	9.298523165	5.154158	399	8.922631	660	4.8914	507	9.350036	1104	7.74137832	8.41064061	7.71826089	8.39067292	8.71725282	9.19989328	8.68584283	9.23595486	NM_007294,NM_007297,NM_007298,NM_007299,NM_007300,NR_027676	3.850637054	0.387508734	3.850637054
ENSG00000013810	TACC3	26.817604336186108	Q9Y6A5	transforming acidic coiled-coil containing protein 3	TACC3	10460	8.575535187	9.346658	296	9.818769	503	8.288909	339	9.480872	381	825.7236269	4.0E-5	3.328863844	0.392645358	9.92E-6	4.418821784	10.31055408	19.375711	594	54.159458	1562	18.526968	748	53.870663	2511	8.89338836	9.03820854	8.80507761	9.00879486	9.41865724	10.32993345	9.38020148	10.32806579	NM_006342	16.13207848	0.107550859	16.13207848
