ID	Gene_Symbol
ENSG00000008735	MAPK8IP2
ENSG00000017427	IGF1
ENSG00000038427	VCAN
ENSG00000049540	ELN
ENSG00000070808	CAMK2A
ENSG00000076864	RAP1GAP
ENSG00000082175	PGR
ENSG00000087245	MMP2
ENSG00000087303	NID2
ENSG00000091831	ESR1
ENSG00000100448	CTSG
ENSG00000100985	MMP9
ENSG00000101076	HNF4A
ENSG00000105639	JAK3
ENSG00000110786	PTPN5
ENSG00000111679	PTPN6
ENSG00000113263	ITK
ENSG00000115221	ITGB6
ENSG00000116962	NID1
ENSG00000118271	TTR
ENSG00000130203	APOE
ENSG00000131095	GFAP
ENSG00000134215	VAV3
ENSG00000139219	COL2A1
ENSG00000140538	NTRK3
ENSG00000141968	VAV1
ENSG00000142515	KLK3
ENSG00000143632	ACTA1
ENSG00000147168	IL2RG
ENSG00000147443	DOK2
ENSG00000148053	NTRK2
ENSG00000158859	ADAMTS4
ENSG00000160307	S100B
ENSG00000164692	COL1A2
ENSG00000165025	SYK
ENSG00000167768	KRT1
ENSG00000178568	ERBB4
ENSG00000179776	CDH5
ENSG00000184304	PRKD1
ENSG00000197471	SPN
ENSG00000197561	ELANE
ENSG00000198400	NTRK1
ENSG00000232810	TNF
