Attr bn phenotype phenotype2
is_005732 188 attr_188 Other Other
is_005733 9 attr_9 Other Other
is_005734 247 attr_247 Apoptosis Other
is_005735 593 attr_593 Other Other
is_005736 6 attr_6 Other Other
is_005737 195 attr_195 Apoptosis Apoptosis
is_005738 180 attr_180 Apoptosis Other
is_005739 590 attr_590 Other Other
is_005740 167 attr_167 Apoptosis Other
is_005741 193 attr_193 Other Other
is_005742 336 attr_336 Other Other
is_005743 234 attr_234 Other Other
is_005744 12 attr_12 Leukemia Other
is_005745 15 attr_15 Other Other
is_005746 161 attr_161 Apoptosis Other
is_005747 187 attr_187 Other Other
is_005748 100 attr_100 Other Other
is_005749 167 attr_167 Apoptosis Other
is_005750 1 attr_1 Leukemia Other
is_005751 185 attr_185 Other Other
is_005752 155 attr_155 Other Other
is_005753 162 attr_162 Leukemia Other
is_005754 158 attr_158 Apoptosis Other
is_005755 155 attr_155 Other Other
is_005756 180 attr_180 Apoptosis Other
is_005757 23 attr_23 Other Other
is_005758 172 attr_172 Apoptosis Other
is_005759 190 attr_190 Other Other
is_005760 4 attr_4 Apoptosis Other
is_005761 260 attr_260 Other Other
is_005762 234 attr_234 Other Other
is_005763 195 attr_195 Apoptosis Apoptosis
is_005764 155 attr_155 Other Other
is_005765 193 attr_193 Other Other
is_005766 168 attr_168 Other Other
is_005767 9 attr_9 Other Other
is_005768 589 attr_589 Other Other
is_005769 221 attr_221 Other Other
is_005770 185 attr_185 Other Other
is_005771 8 attr_8 Leukemia Other
is_005772 19 attr_19 Apoptosis Other
is_005773 89 attr_89 Apoptosis Other
is_005774 18 attr_18 Apoptosis Other
is_005775 189 attr_189 Other Other
is_005776 22 attr_22 Other Other
is_005777 73 attr_73 Other Other
is_005778 156 attr_156 Other Other
is_005779 234 attr_234 Other Other
is_005780 169 attr_169 Leukemia Other
is_005781 176 attr_176 Apoptosis Other
is_005782 184 attr_184 Apoptosis Other
is_005783 16 attr_16 Apoptosis Other
is_005784 174 attr_174 Apoptosis Other
is_005785 717 attr_717 Other Other
is_005786 18 attr_18 Apoptosis Other
is_005787 185 attr_185 Other Other
is_005788 100 attr_100 Other Other
is_005789 19 attr_19 Apoptosis Other
is_005790 179 attr_179 Other Other
is_005791 14 attr_14 Other Other
is_005792 2 attr_2 Apoptosis Other
is_005793 629 attr_629 Other Other
is_005794 208 attr_208 Other Other
is_005795 160 attr_160 Leukemia Other
is_005796 12 attr_12 Leukemia Other
is_005797 158 attr_158 Apoptosis Other
is_005798 161 attr_161 Apoptosis Other
is_005799 220 attr_220 Other Other
is_005800 609 attr_609 Other Other
is_005801 155 attr_155 Other Other
is_005802 195 attr_195 Apoptosis Apoptosis
is_005803 195 attr_195 Apoptosis Apoptosis
is_005804 13 attr_13 Leukemia Other
is_005805 235 attr_235 Other Other
is_005806 195 attr_195 Apoptosis Apoptosis
is_005807 89 attr_89 Apoptosis Other
is_005808 3 attr_3 Other Other
is_005809 734 attr_734 Other Other
is_005810 710 attr_710 Other Other
is_005811 701 attr_701 Other Other
is_005812 16 attr_16 Apoptosis Other
is_005813 164 attr_164 Other Other
is_005814 15 attr_15 Other Other
is_005815 13 attr_13 Leukemia Other
is_005816 9 attr_9 Other Other
is_005817 166 attr_166 Apoptosis Other
is_005818 232 attr_232 Apoptosis Other
is_005819 95 attr_95 Apoptosis Other
is_005820 18 attr_18 Apoptosis Other
is_005821 2 attr_2 Apoptosis Other
is_005822 210 attr_210 Other Other
is_005823 179 attr_179 Other Other
is_005824 286 attr_286 Other Other
is_005825 221 attr_221 Other Other
is_005826 8 attr_8 Leukemia Other
is_005827 18 attr_18 Apoptosis Other
is_005828 100 attr_100 Other Other
is_005829 105 attr_105 Other Other
is_005830 163 attr_163 Other Other
is_005831 21 attr_21 Other Other
is_005832 734 attr_734 Other Other
is_005833 46 attr_46 Apoptosis Other
is_005834 213 attr_213 Other Other
is_005835 23 attr_23 Other Other
is_005836 150 attr_150 Apoptosis Other
is_005837 15 attr_15 Other Other
is_005838 594 attr_594 Other Other
is_005839 170 attr_170 Other Other
is_005840 197 attr_197 Apoptosis Other
is_005841 336 attr_336 Other Other
is_005842 8 attr_8 Leukemia Other
is_005843 180 attr_180 Apoptosis Other
is_005844 170 attr_170 Other Other
is_005845 235 attr_235 Other Other
is_005846 176 attr_176 Apoptosis Other
is_005847 262 attr_262 Apoptosis Other
is_005848 247 attr_247 Apoptosis Other
is_005849 76 attr_76 Apoptosis Other
is_005850 193 attr_193 Other Other
is_005851 242 attr_242 Other Other
is_005852 16 attr_16 Apoptosis Other
is_005853 5 attr_5 Apoptosis Other
is_005854 94 attr_94 Other Other
is_005855 202 attr_202 Apoptosis Other
is_005856 18 attr_18 Apoptosis Other
is_005857 181 attr_181 Apoptosis Other
is_005858 19 attr_19 Apoptosis Other
is_005859 18 attr_18 Apoptosis Other
is_005860 208 attr_208 Other Other
is_005861 251 attr_251 Other Other
is_005862 220 attr_220 Other Other
is_005863 6 attr_6 Other Other
is_005864 181 attr_181 Apoptosis Other
is_005865 150 attr_150 Apoptosis Other
is_005866 176 attr_176 Apoptosis Other
is_005867 209 attr_209 Apoptosis Other
is_005868 156 attr_156 Other Other
is_005869 222 attr_222 Other Other
is_005870 19 attr_19 Apoptosis Other
is_005871 266 attr_266 Other Other
is_005872 20 attr_20 Other Other
is_005873 36 attr_36 Leukemia Other
is_005874 200 attr_200 Other Other
is_005875 202 attr_202 Apoptosis Other
is_005876 9 attr_9 Other Other
is_005877 9 attr_9 Other Other
is_005878 18 attr_18 Apoptosis Other
is_005879 167 attr_167 Apoptosis Other
is_005880 232 attr_232 Apoptosis Other
is_005881 260 attr_260 Other Other
is_005882 122 attr_122 Other Other
is_005883 4 attr_4 Apoptosis Other
is_005884 80 attr_80 Apoptosis Other
is_005885 4 attr_4 Apoptosis Other
is_005886 181 attr_181 Apoptosis Other
is_005887 234 attr_234 Other Other
is_005888 13 attr_13 Leukemia Other
is_005889 11 attr_11 Apoptosis Other
is_005890 35 attr_35 Other Other
is_005891 22 attr_22 Other Other
is_005892 150 attr_150 Apoptosis Other
is_005893 183 attr_183 Other Other
is_005894 3 attr_3 Other Other
is_005895 15 attr_15 Other Other
is_005896 262 attr_262 Apoptosis Other
is_005897 15 attr_15 Other Other
is_005898 169 attr_169 Leukemia Other
is_005899 11 attr_11 Apoptosis Other
is_005900 610 attr_610 Other Other
is_005901 216 attr_216 Other Other
is_005902 201 attr_201 Other Other
is_005903 173 attr_173 Other Other
is_005904 168 attr_168 Other Other
is_005905 170 attr_170 Other Other
is_005906 189 attr_189 Other Other
is_005907 25 attr_25 Leukemia Other
is_005908 439 attr_439 Other Other
is_005909 18 attr_18 Apoptosis Other
is_005910 167 attr_167 Apoptosis Other
is_005911 234 attr_234 Other Other
is_005912 8 attr_8 Leukemia Other
is_005913 170 attr_170 Other Other
is_005914 91 attr_91 Other Other
is_005915 152 attr_152 Other Other
is_005916 216 attr_216 Other Other
is_005917 100 attr_100 Other Other
is_005918 11 attr_11 Apoptosis Other
is_005919 698 attr_698 Other Other
is_005920 162 attr_162 Leukemia Other
is_005921 358 attr_358 Other Other
is_005922 152 attr_152 Other Other
is_005923 18 attr_18 Apoptosis Other
is_005924 124 attr_124 Other Other
is_005925 227 attr_227 Other Other
is_005926 235 attr_235 Other Other
is_005927 77 attr_77 Other Other
is_005928 726 attr_726 Other Other
is_005929 162 attr_162 Leukemia Other
is_005930 319 attr_319 Other Other
is_005931 174 attr_174 Apoptosis Other
is_005932 337 attr_337 Other Other
is_005933 156 attr_156 Other Other
is_005934 162 attr_162 Leukemia Other
is_005935 150 attr_150 Apoptosis Other
is_005936 7 attr_7 Apoptosis Other
is_005937 195 attr_195 Apoptosis Apoptosis
is_005938 197 attr_197 Apoptosis Other
is_005939 337 attr_337 Other Other
is_005940 20 attr_20 Other Other
is_005941 718 attr_718 Other Other
is_005942 2 attr_2 Apoptosis Other
is_005943 2 attr_2 Apoptosis Other
is_005944 170 attr_170 Other Other
is_005945 319 attr_319 Other Other
is_005946 185 attr_185 Other Other
is_005947 286 attr_286 Other Other
is_005948 85 attr_85 Other Other
is_005949 82 attr_82 Other Other
is_005950 754 attr_754 Other Other
is_005951 108 attr_108 Apoptosis Other
is_005952 24 attr_24 Other Other
is_005953 170 attr_170 Other Other
is_005954 188 attr_188 Other Other
is_005955 21 attr_21 Other Other
is_005956 270 attr_270 Other Other
is_005957 258 attr_258 Other Other
is_005958 23 attr_23 Other Other
is_005959 217 attr_217 Other Other
is_005960 11 attr_11 Apoptosis Other
is_005961 5 attr_5 Apoptosis Other
is_005962 205 attr_205 Other Other
is_005963 213 attr_213 Other Other
is_005964 296 attr_296 Apoptosis Other
is_005965 181 attr_181 Apoptosis Other
is_005966 203 attr_203 Leukemia Other
is_005967 163 attr_163 Other Other
is_005968 214 attr_214 Apoptosis Other
is_005969 92 attr_92 Apoptosis Other
is_005970 197 attr_197 Apoptosis Other
is_005971 228 attr_228 Apoptosis Other
is_005972 221 attr_221 Other Other
is_005973 9 attr_9 Other Other
is_005974 3 attr_3 Other Other
is_005975 202 attr_202 Apoptosis Other
is_005976 170 attr_170 Other Other
is_005977 35 attr_35 Other Other
is_005978 214 attr_214 Apoptosis Other
is_005979 228 attr_228 Apoptosis Other
is_005980 82 attr_82 Other Other
is_005981 258 attr_258 Other Other
is_005982 160 attr_160 Leukemia Other
is_005983 706 attr_706 Other Other
is_005984 12 attr_12 Leukemia Other
is_005985 14 attr_14 Other Other
is_005986 209 attr_209 Apoptosis Other
is_005987 234 attr_234 Other Other
is_005988 597 attr_597 Other Other
is_005989 5 attr_5 Apoptosis Other
is_005990 168 attr_168 Other Other
is_005991 324 attr_324 Apoptosis Other
is_005992 190 attr_190 Other Other
is_005993 195 attr_195 Apoptosis Apoptosis
is_005994 11 attr_11 Apoptosis Other
is_005995 150 attr_150 Apoptosis Other
is_005996 23 attr_23 Other Other
is_005997 217 attr_217 Other Other
is_005998 168 attr_168 Other Other
is_005999 169 attr_169 Leukemia Other
is_006000 701 attr_701 Other Other
is_006001 221 attr_221 Other Other
is_006002 76 attr_76 Apoptosis Other
is_006003 156 attr_156 Other Other
is_006004 346 attr_346 Apoptosis Other
is_006005 190 attr_190 Other Other
is_006006 190 attr_190 Other Other
is_006007 152 attr_152 Other Other
is_006008 323 attr_323 Other Other
is_006009 15 attr_15 Other Other
is_006010 108 attr_108 Apoptosis Other
is_006011 125 attr_125 Other Other
is_006012 180 attr_180 Apoptosis Other
is_006013 170 attr_170 Other Other
is_006014 15 attr_15 Other Other
is_006015 197 attr_197 Apoptosis Other
is_006016 93 attr_93 Other Other
is_006017 162 attr_162 Leukemia Other
is_006018 347 attr_347 Other Other
is_006019 13 attr_13 Leukemia Other
is_006020 7 attr_7 Apoptosis Other
is_006021 79 attr_79 Other Other
is_006022 174 attr_174 Apoptosis Other
is_006023 234 attr_234 Other Other
is_006024 218 attr_218 Apoptosis Other
is_006025 73 attr_73 Other Other
is_006026 176 attr_176 Apoptosis Other
is_006027 22 attr_22 Other Other
is_006028 153 attr_153 Other Other
is_006029 176 attr_176 Apoptosis Other
is_006030 158 attr_158 Apoptosis Other
is_006031 8 attr_8 Leukemia Other
is_006032 210 attr_210 Other Other
is_006033 169 attr_169 Leukemia Other
is_006034 180 attr_180 Apoptosis Other
is_006035 169 attr_169 Leukemia Other
is_006036 170 attr_170 Other Other
is_006037 209 attr_209 Apoptosis Other
is_006038 4 attr_4 Apoptosis Other
is_006039 24 attr_24 Other Other
is_006040 232 attr_232 Apoptosis Other
is_006041 21 attr_21 Other Other
is_006042 156 attr_156 Other Other
is_006043 235 attr_235 Other Other
is_006044 228 attr_228 Apoptosis Other
is_006045 155 attr_155 Other Other
is_006046 166 attr_166 Apoptosis Other
is_006047 167 attr_167 Apoptosis Other
is_006048 200 attr_200 Other Other
is_006049 16 attr_16 Apoptosis Other
is_006050 700 attr_700 Other Other
is_006051 12 attr_12 Leukemia Other
is_006052 605 attr_605 Other Other
is_006053 297 attr_297 Other Other
is_006054 193 attr_193 Other Other
is_006055 156 attr_156 Other Other
is_006056 232 attr_232 Apoptosis Other
is_006057 160 attr_160 Leukemia Other
is_006058 695 attr_695 Other Other
is_006059 3 attr_3 Other Other
is_006060 204 attr_204 Apoptosis Other
is_006061 183 attr_183 Other Other
is_006062 222 attr_222 Other Other
is_006063 185 attr_185 Other Other
is_006064 230 attr_230 Other Other
is_006065 15 attr_15 Other Other
is_006066 9 attr_9 Other Other
is_006067 203 attr_203 Leukemia Other
is_006068 301 attr_301 Apoptosis Other
is_006069 89 attr_89 Apoptosis Other
is_006070 189 attr_189 Other Other
is_006071 69 attr_69 Other Other
is_006072 33 attr_33 Leukemia Other
is_006073 15 attr_15 Other Other
is_006074 78 attr_78 Apoptosis Other
is_006075 210 attr_210 Other Other
is_006076 593 attr_593 Other Other
is_006077 167 attr_167 Apoptosis Other
is_006078 166 attr_166 Apoptosis Other
is_006079 86 attr_86 Other Other
is_006080 156 attr_156 Other Other
is_006081 234 attr_234 Other Other
is_006082 224 attr_224 Apoptosis Other
is_006083 124 attr_124 Other Other
is_006084 193 attr_193 Other Other
is_006085 71 attr_71 Apoptosis Other
is_006086 195 attr_195 Apoptosis Apoptosis
is_006087 45 attr_45 Apoptosis Other
is_006088 696 attr_696 Other Other
is_006089 13 attr_13 Leukemia Other
is_006090 71 attr_71 Apoptosis Other
is_006091 314 attr_314 Other Other
is_006092 324 attr_324 Apoptosis Other
is_006093 261 attr_261 Other Other
is_006094 181 attr_181 Apoptosis Other
is_006095 170 attr_170 Other Other
is_006096 211 attr_211 Other Other
is_006097 695 attr_695 Other Other
is_006098 5 attr_5 Apoptosis Other
is_006099 179 attr_179 Other Other
is_006100 262 attr_262 Apoptosis Other
is_006101 197 attr_197 Apoptosis Other
is_006102 200 attr_200 Other Other
is_006103 375 attr_375 Apoptosis Other
is_006104 249 attr_249 Other Other
is_006105 193 attr_193 Other Other
is_006106 266 attr_266 Other Other
is_006107 7 attr_7 Apoptosis Other
is_006108 266 attr_266 Other Other
is_006109 235 attr_235 Other Other
is_006110 174 attr_174 Apoptosis Other
is_006111 247 attr_247 Apoptosis Other
is_006112 170 attr_170 Other Other
is_006113 13 attr_13 Leukemia Other
is_006114 262 attr_262 Apoptosis Other
is_006115 160 attr_160 Leukemia Other
is_006116 214 attr_214 Apoptosis Other
is_006117 151 attr_151 Other Other
is_006118 202 attr_202 Apoptosis Other
is_006119 200 attr_200 Other Other
is_006120 620 attr_620 Other Other
is_006121 111 attr_111 Other Other
is_006122 202 attr_202 Apoptosis Other
is_006123 1 attr_1 Leukemia Other
is_006124 151 attr_151 Other Other
is_006125 185 attr_185 Other Other
is_006126 167 attr_167 Apoptosis Other
is_006127 166 attr_166 Apoptosis Other
is_006128 207 attr_207 Apoptosis Other
is_006129 16 attr_16 Apoptosis Other
is_006130 299 attr_299 Other Other
is_006131 12 attr_12 Leukemia Other
is_006132 162 attr_162 Leukemia Other
is_006133 2 attr_2 Apoptosis Other
is_006134 150 attr_150 Apoptosis Other
is_006135 21 attr_21 Other Other
is_006136 15 attr_15 Other Other
is_006137 210 attr_210 Other Other
is_006138 155 attr_155 Other Other
is_006139 197 attr_197 Apoptosis Other
is_006140 184 attr_184 Apoptosis Other
is_006141 170 attr_170 Other Other
is_006142 1 attr_1 Leukemia Other
is_006143 204 attr_204 Apoptosis Other
is_006144 23 attr_23 Other Other
is_006145 181 attr_181 Apoptosis Other
is_006146 170 attr_170 Other Other
is_006147 358 attr_358 Other Other
is_006148 161 attr_161 Apoptosis Other
is_006149 193 attr_193 Other Other
is_006150 25 attr_25 Leukemia Other
is_006151 222 attr_222 Other Other
is_006152 209 attr_209 Apoptosis Other
is_006153 179 attr_179 Other Other
is_006154 12 attr_12 Leukemia Other
is_006155 622 attr_622 Other Other
is_006156 18 attr_18 Apoptosis Other
is_006157 337 attr_337 Other Other
is_006158 209 attr_209 Apoptosis Other
is_006159 227 attr_227 Other Other
is_006160 8 attr_8 Leukemia Other
is_006161 209 attr_209 Apoptosis Other
is_006162 162 attr_162 Leukemia Other
is_006163 185 attr_185 Other Other
is_006164 169 attr_169 Leukemia Other
is_006165 86 attr_86 Other Other
is_006166 234 attr_234 Other Other
is_006167 210 attr_210 Other Other
is_006168 232 attr_232 Apoptosis Other
is_006169 168 attr_168 Other Other
is_006170 441 attr_441 Apoptosis Other
is_006171 18 attr_18 Apoptosis Other
is_006172 202 attr_202 Apoptosis Other
is_006173 158 attr_158 Apoptosis Other
is_006174 8 attr_8 Leukemia Other
is_006175 16 attr_16 Apoptosis Other
is_006176 242 attr_242 Other Other
is_006177 164 attr_164 Other Other
is_006178 174 attr_174 Apoptosis Other
is_006179 89 attr_89 Apoptosis Other
is_006180 707 attr_707 Other Other
is_006181 178 attr_178 Other Other
is_006182 3 attr_3 Other Other
is_006183 11 attr_11 Apoptosis Other
is_006184 122 attr_122 Other Other
is_006185 217 attr_217 Other Other
is_006186 2 attr_2 Apoptosis Other
is_006187 157 attr_157 Other Other
is_006188 207 attr_207 Apoptosis Other
is_006189 21 attr_21 Other Other
is_006190 180 attr_180 Apoptosis Other
is_006191 180 attr_180 Apoptosis Other
is_006192 19 attr_19 Apoptosis Other
is_006193 76 attr_76 Apoptosis Other
is_006194 95 attr_95 Apoptosis Other
is_006195 18 attr_18 Apoptosis Other
is_006196 228 attr_228 Apoptosis Other
is_006197 202 attr_202 Apoptosis Other
is_006198 232 attr_232 Apoptosis Other
is_006199 203 attr_203 Leukemia Other
is_006200 80 attr_80 Apoptosis Other
is_006201 155 attr_155 Other Other
is_006202 4 attr_4 Apoptosis Other
is_006203 180 attr_180 Apoptosis Other
is_006204 4 attr_4 Apoptosis Other
is_006205 7 attr_7 Apoptosis Other
is_006206 3 attr_3 Other Other
is_006207 160 attr_160 Leukemia Other
is_006208 13 attr_13 Leukemia Other
is_006209 158 attr_158 Apoptosis Other
is_006210 188 attr_188 Other Other
is_006211 166 attr_166 Apoptosis Other
is_006212 232 attr_232 Apoptosis Other
is_006213 14 attr_14 Other Other
is_006214 16 attr_16 Apoptosis Other
is_006215 190 attr_190 Other Other
is_006216 234 attr_234 Other Other
is_006217 1 attr_1 Leukemia Other
is_006218 296 attr_296 Apoptosis Other
is_006219 7 attr_7 Apoptosis Other
is_006220 7 attr_7 Apoptosis Other
is_006221 202 attr_202 Apoptosis Other
is_006222 8 attr_8 Leukemia Other
is_006223 193 attr_193 Other Other
is_006224 15 attr_15 Other Other
is_006225 3 attr_3 Other Other
is_006226 230 attr_230 Other Other
is_006227 220 attr_220 Other Other
is_006228 19 attr_19 Apoptosis Other
is_006229 6 attr_6 Other Other
is_006230 181 attr_181 Apoptosis Other
is_006231 188 attr_188 Other Other
is_006232 232 attr_232 Apoptosis Other
is_006233 157 attr_157 Other Other
is_006234 353 attr_353 Other Other
is_006235 266 attr_266 Other Other
is_006236 4 attr_4 Apoptosis Other
is_006237 227 attr_227 Other Other
is_006238 202 attr_202 Apoptosis Other
is_006239 152 attr_152 Other Other
is_006240 221 attr_221 Other Other
is_006241 9 attr_9 Other Other
is_006242 13 attr_13 Leukemia Other
is_006243 9 attr_9 Other Other
is_006244 202 attr_202 Apoptosis Other
is_006245 84 attr_84 Other Other
is_006246 180 attr_180 Apoptosis Other
is_006247 170 attr_170 Other Other
is_006248 3 attr_3 Other Other
is_006249 442 attr_442 Apoptosis Other
is_006250 1 attr_1 Leukemia Other
is_006251 202 attr_202 Apoptosis Other
is_006252 166 attr_166 Apoptosis Other
is_006253 240 attr_240 Other Other
is_006254 221 attr_221 Other Other
is_006255 168 attr_168 Other Other
is_006256 443 attr_443 Other Other
is_006257 13 attr_13 Leukemia Other
is_006258 221 attr_221 Other Other
is_006259 5 attr_5 Apoptosis Other
is_006260 204 attr_204 Apoptosis Other
is_006261 169 attr_169 Leukemia Other
is_006262 23 attr_23 Other Other
is_006263 7 attr_7 Apoptosis Other
is_006264 153 attr_153 Other Other
is_006265 19 attr_19 Apoptosis Other
is_006266 8 attr_8 Leukemia Other
is_006267 24 attr_24 Other Other
is_006268 228 attr_228 Apoptosis Other
is_006269 202 attr_202 Apoptosis Other
is_006270 7 attr_7 Apoptosis Other
is_006271 7 attr_7 Apoptosis Other
is_006272 2 attr_2 Apoptosis Other
is_006273 172 attr_172 Apoptosis Other
is_006274 2 attr_2 Apoptosis Other
is_006275 18 attr_18 Apoptosis Other
is_006276 169 attr_169 Leukemia Other
is_006277 202 attr_202 Apoptosis Other
is_006278 170 attr_170 Other Other
is_006279 5 attr_5 Apoptosis Other
is_006280 2 attr_2 Apoptosis Other
is_006281 162 attr_162 Leukemia Other
is_006282 228 attr_228 Apoptosis Other
is_006283 235 attr_235 Other Other
is_006284 23 attr_23 Other Other
is_006285 8 attr_8 Leukemia Other
is_006286 194 attr_194 Other Other
is_006287 166 attr_166 Apoptosis Other
is_006288 7 attr_7 Apoptosis Other
is_006289 23 attr_23 Other Other
is_006290 604 attr_604 Other Other
is_006291 35 attr_35 Other Other
is_006292 179 attr_179 Other Other
is_006293 164 attr_164 Other Other
is_006294 13 attr_13 Leukemia Other
is_006295 217 attr_217 Other Other
is_006296 24 attr_24 Other Other
is_006297 74 attr_74 Other Other
is_006298 169 attr_169 Leukemia Other
is_006299 160 attr_160 Leukemia Other
is_006300 189 attr_189 Other Other
is_006301 9 attr_9 Other Other
is_006302 224 attr_224 Apoptosis Other
is_006303 228 attr_228 Apoptosis Other
is_006304 240 attr_240 Other Other
is_006305 24 attr_24 Other Other
is_006306 21 attr_21 Other Other
is_006307 89 attr_89 Apoptosis Other
is_006308 176 attr_176 Apoptosis Other
is_006309 150 attr_150 Apoptosis Other
is_006310 228 attr_228 Apoptosis Other
is_006311 92 attr_92 Apoptosis Other
is_006312 184 attr_184 Apoptosis Other
is_006313 700 attr_700 Other Other
is_006314 237 attr_237 Other Other
is_006315 22 attr_22 Other Other
is_006316 160 attr_160 Leukemia Other
is_006317 13 attr_13 Leukemia Other
is_006318 232 attr_232 Apoptosis Other
is_006319 74 attr_74 Other Other
is_006320 156 attr_156 Other Other
is_006321 75 attr_75 Other Other
is_006322 270 attr_270 Other Other
is_006323 23 attr_23 Other Other
is_006324 193 attr_193 Other Other
is_006325 216 attr_216 Other Other
is_006326 590 attr_590 Other Other
is_006327 23 attr_23 Other Other
is_006328 190 attr_190 Other Other
is_006329 155 attr_155 Other Other
is_006330 610 attr_610 Other Other
is_006331 5 attr_5 Apoptosis Other
is_006332 8 attr_8 Leukemia Other
is_006333 190 attr_190 Other Other
is_006334 299 attr_299 Other Other
is_006335 167 attr_167 Apoptosis Other
is_006336 595 attr_595 Other Other
is_006337 228 attr_228 Apoptosis Other
is_006338 200 attr_200 Other Other
is_006339 188 attr_188 Other Other
is_006340 162 attr_162 Leukemia Other
is_006341 261 attr_261 Other Other
is_006342 228 attr_228 Apoptosis Other
is_006343 100 attr_100 Other Other
is_006344 189 attr_189 Other Other
is_006345 308 attr_308 Other Other
is_006346 150 attr_150 Apoptosis Other
is_006347 190 attr_190 Other Other
is_006348 227 attr_227 Other Other
is_006349 24 attr_24 Other Other
is_006350 266 attr_266 Other Other
is_006351 266 attr_266 Other Other
is_006352 190 attr_190 Other Other
is_006353 33 attr_33 Leukemia Other
is_006354 150 attr_150 Apoptosis Other
is_006355 225 attr_225 Leukemia Other
is_006356 172 attr_172 Apoptosis Other
is_006357 209 attr_209 Apoptosis Other
is_006358 184 attr_184 Apoptosis Other
is_006359 14 attr_14 Other Other
is_006360 174 attr_174 Apoptosis Other
is_006361 209 attr_209 Apoptosis Other
is_006362 2 attr_2 Apoptosis Other
is_006363 156 attr_156 Other Other
is_006364 627 attr_627 Other Other
is_006365 188 attr_188 Other Other
is_006366 155 attr_155 Other Other
is_006367 185 attr_185 Other Other
is_006368 710 attr_710 Other Other
is_006369 80 attr_80 Apoptosis Other
is_006370 719 attr_719 Other Other
is_006371 20 attr_20 Other Other
is_006372 195 attr_195 Apoptosis Apoptosis
is_006373 11 attr_11 Apoptosis Other
is_006374 195 attr_195 Apoptosis Apoptosis
is_006375 9 attr_9 Other Other
is_006376 203 attr_203 Leukemia Other
is_006377 8 attr_8 Leukemia Other
is_006378 197 attr_197 Apoptosis Other
is_006379 240 attr_240 Other Other
is_006380 76 attr_76 Apoptosis Other
is_006381 174 attr_174 Apoptosis Other
is_006382 12 attr_12 Leukemia Other
is_006383 170 attr_170 Other Other
is_006384 14 attr_14 Other Other
is_006385 734 attr_734 Other Other
is_006386 5 attr_5 Apoptosis Other
is_006387 7 attr_7 Apoptosis Other
is_006388 197 attr_197 Apoptosis Other
is_006389 86 attr_86 Other Other
is_006390 699 attr_699 Other Other
is_006391 286 attr_286 Other Other
is_006392 608 attr_608 Other Other
is_006393 179 attr_179 Other Other
is_006394 80 attr_80 Apoptosis Other
is_006395 266 attr_266 Other Other
is_006396 590 attr_590 Other Other
is_006397 172 attr_172 Apoptosis Other
is_006398 597 attr_597 Other Other
is_006399 185 attr_185 Other Other
is_006400 180 attr_180 Apoptosis Other
is_006401 38 attr_38 Apoptosis Other
is_006402 174 attr_174 Apoptosis Other
is_006403 75 attr_75 Other Other
is_006404 200 attr_200 Other Other
is_006405 170 attr_170 Other Other
is_006406 718 attr_718 Other Other
is_006407 635 attr_635 Other Other
is_006408 189 attr_189 Other Other
is_006409 3 attr_3 Other Other
is_006410 39 attr_39 Leukemia Other
is_006411 12 attr_12 Leukemia Other
is_006412 266 attr_266 Other Other
is_006413 15 attr_15 Other Other
is_006414 28 attr_28 Other Other
is_006415 170 attr_170 Other Other
is_006416 18 attr_18 Apoptosis Other
is_006417 224 attr_224 Apoptosis Other
is_006418 262 attr_262 Apoptosis Other
is_006419 197 attr_197 Apoptosis Other
is_006420 179 attr_179 Other Other
is_006421 194 attr_194 Other Other
is_006422 1 attr_1 Leukemia Other
is_006423 337 attr_337 Other Other
is_006424 224 attr_224 Apoptosis Other
is_006425 3 attr_3 Other Other
is_006426 180 attr_180 Apoptosis Other
is_006427 72 attr_72 Other Other
is_006428 2 attr_2 Apoptosis Other
is_006429 174 attr_174 Apoptosis Other
is_006430 202 attr_202 Apoptosis Other
is_006431 180 attr_180 Apoptosis Other
is_006432 190 attr_190 Other Other
is_006433 160 attr_160 Leukemia Other
is_006434 76 attr_76 Apoptosis Other
is_006435 5 attr_5 Apoptosis Other
is_006436 232 attr_232 Apoptosis Other
is_006437 201 attr_201 Other Other
is_006438 8 attr_8 Leukemia Other
is_006439 227 attr_227 Other Other
is_006440 204 attr_204 Apoptosis Other
is_006441 2 attr_2 Apoptosis Other
is_006442 11 attr_11 Apoptosis Other
is_006443 88 attr_88 Other Other
is_006444 74 attr_74 Other Other
is_006445 167 attr_167 Apoptosis Other
is_006446 208 attr_208 Other Other
is_006447 150 attr_150 Apoptosis Other
is_006448 151 attr_151 Other Other
is_006449 242 attr_242 Other Other
is_006450 25 attr_25 Leukemia Other
is_006451 170 attr_170 Other Other
is_006452 202 attr_202 Apoptosis Other
is_006453 22 attr_22 Other Other
is_006454 155 attr_155 Other Other
is_006455 184 attr_184 Apoptosis Other
is_006456 16 attr_16 Apoptosis Other
is_006457 155 attr_155 Other Other
is_006458 160 attr_160 Leukemia Other
is_006459 5 attr_5 Apoptosis Other
is_006460 150 attr_150 Apoptosis Other
is_006461 15 attr_15 Other Other
is_006462 35 attr_35 Other Other
is_006463 271 attr_271 Other Other
is_006464 150 attr_150 Apoptosis Other
is_006465 210 attr_210 Other Other
is_006466 194 attr_194 Other Other
is_006467 173 attr_173 Other Other
is_006468 162 attr_162 Leukemia Other
is_006469 15 attr_15 Other Other
is_006470 1 attr_1 Leukemia Other
is_006471 299 attr_299 Other Other
is_006472 12 attr_12 Leukemia Other
