ID	Gene symbol ID	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval	UniProt ID	Average Intensity
ENSG00000000003	TSPAN6	1.02422614389318	396.250071310079	0.132749411692543	0.260146465085781	0.794750797452509	0.84859961131499	O43657	14.57297022301777
ENSG00000000419	DPM1	-1.07601979296706	533.40320189022	0.287010044879668	-0.368295876191605	0.712652627090709	0.782416098388928	O60762	212.479765983144
ENSG00000001036	FUCA2	12.4191604712747	851.443651337311	0.145950280492845	24.9022868201549	7.02767679026464E-137	6.67899590336305E-134	Q9BTY2	7.451599363432784
ENSG00000001084	GCLC	1.79307359409963	825.632923700312	0.2438372041175	3.4549063412681	5.50484013043616E-4	0.00155208351920445	P48506	18.87131018040475
ENSG00000001167	NFYA	1.4886118546748	804.137762296629	0.295900935535608	1.93972901465714	0.0524126314789195	0.0883555821970323	P23511-2	25.60174875365753
ENSG00000001497	LAS1L	2.06060721026569	651.034653844067	0.294979231892695	3.53607784558855	4.06115003453556E-4	0.00117782884217575	Q9Y4W2-2	9.296179440919412
ENSG00000001629	ANKIB1	1.03127915429142	1206.56084279259	0.122312125577554	0.363291086272448	0.716387451277156	0.785495825393084	Q9P2G1	0.6509583285595499
ENSG00000001630	CYP51A1	-1.24716667143382	1531.6655347115	0.359580167534801	-0.886184246739788	0.37551825110485	0.466988222687511	Q16850	24.683001989966016
ENSG00000002330	BAD	1.26151358405586	396.778312007573	0.133414481051785	2.51213915299569	0.0120001759786356	0.0244012794957279	Q92934	23.39320402529428
ENSG00000002549	LAP3	2.04675323091006	888.399387232638	0.157242176862567	6.57162851166762	4.97679051416627E-11	4.35777794489895E-10	P28838-2	1258.140902362224
ENSG00000002586	CD99	-1.46219896419437	1969.31199439237	0.179345444480918	-3.05633430775246	0.0022406128064724	0.00546658199525406	P14209	917.4721332983104
