ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Gene symbol ID
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_01,V$ZFX_03,V$ZFX_04,V$ZFX_05	4.836363636363636	4.371596145789694	3.0481652096486966	0.8488	0.026904046647926727	ZFX
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NFIX_02	0.5757575757575757	0.43150397989107664	2.6586998341625208	0.81635	0.02767538165508627	NFIX
ENSG00000010539	zinc finger protein 200	ZNF200	V$ZNF200_01,V$ZNF200_02	4.557575757575758	4.082530372852954	2.7248654670094257	0.8263	0.0155882025216223	ZNF200
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	4.457575757575757	4.012358609132803	3.0296393925986185	0.7307999999999999	0.009432104908108753	ZFP64
ENSG00000052850	ALX homeobox 4	ALX4	V$ALX4_02,V$ALX4_05,V$TEAD4ALX4_01	2.884848484848485	2.313922636503282	1.5354037074977496	0.7776666666666666	0.012940816286232344	ALX4
ENSG00000057657	PR domain containing 1, with ZNF domain	PRDM1	V$BLIMP1_08,V$BLIMP1_10,V$BLIMP1_Q4,V$BLIMP1_Q6,V$PRDM1_02,V$PRDM1_03,V$PRDM1_05,V$PRDM1_07	2.8742424242424245	2.487431922915794	1.6735645688172747	0.8336875	0.030580381476683544	PRDM1
ENSG00000081059	transcription factor 7 (T-cell specific, HMG-box)	TCF7	V$ETS_Q6,V$LEF1TCF1_Q4,V$TCF1_08,V$TCF1_Q5_01,V$TCF7RELATED_Q4	2.5503030303030303	2.1407624633431084	1.8047531359235578	0.9371400000000001	0.0222152687091804	TCF7
ENSG00000083817	zinc finger protein 416	ZNF416	V$FLJ20557_02	0.30303030303030304	0.1591956430666108	1.9035087719298247	0.8946	0.010344660059113622	ZNF416
ENSG00000084093	RE1-silencing transcription factor	REST	V$NRSE_B,V$NRSF_01,V$NRSF_Q4,V$REST_01,V$REST_04,V$REST_05,V$REST_06,V$REST_10,V$REST_15,V$REST_17,V$REST_Q5	1.5415977961432503	1.2651864264767492	2.1238320648810984	0.7844818181818183	0.02914711894523485	REST
ENSG00000087903	regulatory factor X, 2 (influences HLA class II expression)	RFX2	V$RFX2_01,V$RFX2_05	0.39999999999999997	0.24717218265605362	1.69014742014742	0.78115	0.03159557090359963	RFX2
ENSG00000101057	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	MYBL2	V$MYBL2_03,V$MYBL2_04	1.212121212121212	1.0159195643066612	2.0325817675713287	0.78735	0.04838074102342979	MYBL2
ENSG00000105516	D site of albumin promoter (albumin D-box) binding protein	DBP	V$DBP_Q6	0.19393939393939394	0.0795978215333054	2.436491228070176	1.0	0.008154762273016992	DBP
ENSG00000108813	distal-less homeobox 4	DLX4	V$DLX4_02,V$DLX7_01	0.7757575757575758	0.39798910766652706	2.11595785440613	0.9589000000000001	1.2252171670600653E-4	DLX4
ENSG00000111087	GLI family zinc finger 1	GLI1	V$GLI1_Q2,V$GLI1_Q3,V$GLI_Q3	3.240404040404041	2.544337383047061	1.991798252777133	0.916	0.02779369719474589	GLI1
ENSG00000111783	regulatory factor X, 4 (influences HLA class II expression)	RFX4	V$RFX4_05	0.43636363636363634	0.2764976958525346	1.578181818181818	0.7907	0.01989916887906916	RFX4
