ID	Gene symbol ID	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval	Gene symbol ID_1
ENSG00000000457	SCYL3	-1.53591067010167	173.304466020742	0.255142072517029	-2.42646892374584	0.0152465560233503	0.0300193146882061	SCYL3
ENSG00000001036	FUCA2	12.4191604712747	851.443651337311	0.145950280492845	24.9022868201549	7.02767679026464E-137	6.67899590336305E-134	FUCA2
ENSG00000001497	LAS1L	2.06060721026569	651.034653844067	0.294979231892695	3.53607784558855	4.06115003453556E-4	0.00117782884217575	LAS1L
ENSG00000001631	KRIT1	-1.34608739853855	546.598477781646	0.170239526290622	-2.51864002088909	0.0117809031801389	0.0240107322320383	KRIT1
ENSG00000002016	RAD52	-1.40619519765566	126.185490115641	0.177418827006065	-2.77195425595658	0.00557208662760935	0.0123330580946101	RAD52
ENSG00000002330	BAD	1.26151358405586	396.778312007573	0.133414481051785	2.51213915299569	0.0120001759786356	0.0244012794957279	BAD
ENSG00000002549	LAP3	2.04675323091006	888.399387232638	0.157242176862567	6.57162851166762	4.97679051416627E-11	4.35777794489895E-10	LAP3
ENSG00000002587	HS3ST1	3.31499873950834	34.3699046152756	0.300633336899909	5.75121954071499	8.86019681047276E-9	5.84451316569092E-8	HS3ST1
ENSG00000002822	MAD1L1	2.33682816020348	372.861947911453	0.203111448510539	6.02896418551914	1.65013847174812E-9	1.21498574603385E-8	MAD1L1
ENSG00000002834	LASP1	1.64223787886268	7868.41915262509	0.217504298952724	3.29034010221848	0.0010006635552091	0.00265703808824597	LASP1
ENSG00000003056	M6PR	1.36171044149714	1318.4446792225	0.0838126820040889	5.31446967192234	1.06968395092062E-7	6.05958056562325E-7	M6PR
ENSG00000003402	CFLAR	-1.01428225998139	1065.32132941057	0.334687819576611	-0.0611291718347077	0.951256336822817	0.970501407220967	CFLAR
ENSG00000003756	RBM5	-1.77822537231487	1106.76674938701	0.220776300576366	-3.7614462276182	1.68933741929698E-4	5.38487198540097E-4	RBM5
ENSG00000004399	PLXND1	7.43159461237238	716.314332644554	0.510865280599898	5.66425614712316	1.47663688655947E-8	9.47732401737257E-8	PLXND1
ENSG00000004534	RBM6	1.18446263414404	832.492495135529	0.178662618800537	1.36700496559552	0.171623749081283	0.243753468203155	RBM6
ENSG00000004700	RECQL	-1.75631848958353	1012.55591276091	0.246755746569286	-3.29295060892288	9.91418891510348E-4	0.00263475594850728	RECQL
ENSG00000004779	NDUFAB1	1.63302926049823	362.617663780543	0.279125107095065	2.53488712856596	0.0112483562794451	0.0230393636990292	NDUFAB1
ENSG00000004864	SLC25A13	3.33483506438653	491.980950348883	0.371613011098712	4.67587344330456	2.92705087543955E-6	1.30272743393572E-5	SLC25A13
ENSG00000004866	ST7	1.6642503553624	297.744288233539	0.114690938959176	6.40741529347881	1.48007267218191E-10	1.22480226823895E-9	ST7
ENSG00000004897	CDC27	1.61193783929779	2817.17016246372	0.196510662385217	3.50513352475602	4.56378333096264E-4	0.00130946453910923	CDC27
ENSG00000004975	DVL2	1.06348041458623	671.272248982727	0.0919217597822345	0.965967846954313	0.334060270317575	0.424402533652816	DVL2
ENSG00000005075	POLR2J	1.2749780526949	472.034566610343	0.149375828917762	2.34624581147911	0.0189635962331749	0.0363586641000739	POLR2J
ENSG00000005156	LIG3	2.11280220538738	353.317779600907	0.38188243446925	2.82588989470987	0.00471494678909472	0.0106165787459933	LIG3
ENSG00000005339	CREBBP	-1.25668546779833	1457.52496440234	0.204604499602449	-1.61102814246473	0.107173588703008	0.163090243678491	CREBBP
ENSG00000005810	MYCBP2	1.19898454120424	642.382275860887	0.173311082673379	1.51065387059911	0.130876661048951	0.193812914690134	MYCBP2
ENSG00000005812	FBXL3	-2.04418085676688	1074.39065021327	0.0756119908001747	-13.6423182612102	2.24314619644572E-42	1.39266689734105E-40	FBXL3
ENSG00000005884	ITGA3	-1.21991734910744	17004.5514806153	0.312027869481674	-0.919095487277725	0.358045629454145	0.448691931423669	ITGA3
ENSG00000005893	LAMP2	1.21086649728567	3307.24370225748	0.14731823553613	1.87376539019625	0.0609627686505732	0.100560080998375	LAMP2
ENSG00000006125	AP2B1	1.36809770761221	6293.59039080659	0.0926033779408372	4.88288094027105	1.04547001651787E-6	5.0357824772235E-6	AP2B1
ENSG00000006432	MAP3K9	1.40032712926316	236.627878252353	0.258442317343566	1.87958341471168	0.06016487537344	0.0994830079281118	MAP3K9
ENSG00000006451	RALA	1.20997340795194	805.622726604986	0.189355770683749	1.4521624569192	0.146456438926089	0.212953901721999	RALA
ENSG00000006607	FARP2	1.1636860125858	202.78383613111	0.280176411380726	0.7805862015607	0.435045909927142	0.526134711937142	FARP2
ENSG00000006634	DBF4	4.26008726311537	586.365979631121	0.405937416742089	5.15075205317673	2.59443997345505E-7	1.38224691125645E-6	DBF4
ENSG00000006695	COX10	2.29116030756811	278.377589662618	0.157541270660828	7.59215918109496	3.1461817539989E-14	3.92637126976328E-13	COX10
