EGFR FOXM1 HDAC3 MAPK1 MAPK6 PRPF4 RELA ZBTB17 Npert
Perturb_2205 inhibited N inhibited N inhibited N N N 3
Perturb_1187 inhibited N inhibited N inhibited N N activated 4
Perturb_1581 inhibited N inhibited N inhibited N zero N 4
Perturb_3569 inhibited N inhibited N inhibited N inhibited N 4
Perturb_5515 inhibited N inhibited inhibited inhibited N N N 4
Perturb_0199 inhibited N inhibited inhibited inhibited N inhibited N 5
Perturb_2559 inhibited N inhibited N inhibited N zero activated 5
Perturb_4514 inhibited N inhibited inhibited inhibited N N activated 5
Perturb_4567 inhibited N inhibited N inhibited N inhibited activated 5
Perturb_4914 inhibited N inhibited inhibited inhibited N zero N 5
Perturb_1231 inhibited N inhibited inhibited inhibited N inhibited activated 6
Perturb_5867 inhibited N inhibited inhibited inhibited N zero activated 6
Percent_activated 0 0 0 0 0 0 0 50 NA
Percent_inhibited 100 0 100 50 100 0 33.33 0 NA
Percent_zero 0 0 0 0 0 0 33.33 0 NA
Percent_N 0 100 0 50 0 100 33.33 50 NA
basal 1 1 0 0 0 1 1 0 NA
