ID	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
9006945	R-HSA-9006934: Signaling by Receptor Tyrosine Kinases	32	125	7.835201328352014	6.42258155985797E-13	1.7084066949222199E-10	["ENSG00000010810","ENSG00000011304","ENSG00000050820","ENSG00000076641","ENSG00000077782","ENSG00000080824","ENSG00000089159","ENSG00000096968","ENSG00000099942","ENSG00000103653","ENSG00000105974","ENSG00000105976","ENSG00000107338","ENSG00000111679","ENSG00000115904","ENSG00000120899","ENSG00000124181","ENSG00000141968","ENSG00000142208","ENSG00000145675","ENSG00000145715","ENSG00000146648","ENSG00000154229","ENSG00000160307","ENSG00000160691","ENSG00000167193","ENSG00000168610","ENSG00000169398","ENSG00000175866","ENSG00000177885","ENSG00000179295","ENSG00000197122"]	["AKT1","BAIAP2","BCAR1","CAV1","CRK","CRKL","CSK","EGFR","FGFR1","FYN","GRB2","HSP90AA1","JAK2","MET","PAG1","PIK3R1","PLCG1","PRKCA","PTBP1","PTK2","PTK2B","PTPN11","PTPN6","PXN","RASA1","S100B","SHB","SHC1","SOS1","SRC","STAT3","VAV1"]
500413	R-HSA-194138: Signaling by VEGF	14	25	1.5670402656704026	1.9646860725227867E-11	2.6130324764553064E-9	["ENSG00000010810","ENSG00000050820","ENSG00000080824","ENSG00000089159","ENSG00000105974","ENSG00000107338","ENSG00000120899","ENSG00000124181","ENSG00000142208","ENSG00000145715","ENSG00000167193","ENSG00000169398","ENSG00000175866","ENSG00000197122"]	["AKT1","BAIAP2","BCAR1","CAV1","CRK","FYN","HSP90AA1","PLCG1","PTK2","PTK2B","PXN","RASA1","SHB","SRC"]
427418	R-HSA-9006921: Integrin signaling	8	10	0.6268161062681611	8.058424797681614E-9	6.154479334348233E-7	["ENSG00000050820","ENSG00000103653","ENSG00000115904","ENSG00000160691","ENSG00000165025","ENSG00000167193","ENSG00000169398","ENSG00000177885"]	["BCAR1","CRK","CSK","GRB2","PTK2","SHC1","SOS1","SYK"]
1638835	R-HSA-1474244: Extracellular matrix organization	17	54	3.38480697384807	9.254856141877042E-9	6.154479334348233E-7	["ENSG00000011465","ENSG00000026508","ENSG00000049540","ENSG00000087245","ENSG00000100985","ENSG00000105329","ENSG00000109072","ENSG00000113140","ENSG00000115414","ENSG00000116962","ENSG00000118785","ENSG00000137801","ENSG00000138685","ENSG00000142798","ENSG00000147044","ENSG00000149968","ENSG00000166147"]	["CASK","CD44","DCN","ELN","FBN1","FGF2","FN1","HSPG2","MMP2","MMP3","MMP9","NID1","SPARC","SPP1","TGFB1","THBS1","VTN"]
1495958	R-HSA-162582: Signal Transduction	63	550	34.47488584474886	6.714318876306066E-8	3.0214883990712877E-6	["ENSG00000005339","ENSG00000010810","ENSG00000011304","ENSG00000026103","ENSG00000050820","ENSG00000064012","ENSG00000076641","ENSG00000077782","ENSG00000080824","ENSG00000089159","ENSG00000096968","ENSG00000099942","ENSG00000100393","ENSG00000103266","ENSG00000103653","ENSG00000104067","ENSG00000105974","ENSG00000105976","ENSG00000107338","ENSG00000108518","ENSG00000111679","ENSG00000113070","ENSG00000115325","ENSG00000115904","ENSG00000116478","ENSG00000116560","ENSG00000117560","ENSG00000120738","ENSG00000120899","ENSG00000123143","ENSG00000124181","ENSG00000132535","ENSG00000141646","ENSG00000141968","ENSG00000142208","ENSG00000145675","ENSG00000145715","ENSG00000146648","ENSG00000149269","ENSG00000149968","ENSG00000150093","ENSG00000154229","ENSG00000160307","ENSG00000160691","ENSG00000164924","ENSG00000165025","ENSG00000165409","ENSG00000166949","ENSG00000167193","ENSG00000168036","ENSG00000168610","ENSG00000169398","ENSG00000175387","ENSG00000175866","ENSG00000177885","ENSG00000179295","ENSG00000180370","ENSG00000185591","ENSG00000186575","ENSG00000196352","ENSG00000196712","ENSG00000197122","ENSG00000232810"]	["AKT1","BAIAP2","BCAR1","CASP8","CAV1","CD55","CREBBP","CRK","CRKL","CSK","CTNNB1","DLG4","DOK1","EGFR","EGR1","EP300","FAS","FASLG","FGFR1","FYN","GRB2","HBEGF","HDAC1","HSP90AA1","ITGB1","JAK2","MET","MMP3","NF1","NF2","PAG1","PAK1","PAK2","PFN1","PIK3R1","PKN1","PLCG1","PRKCA","PTBP1","PTK2","PTK2B","PTPN11","PTPN6","PXN","RASA1","S100B","SFPQ","SHB","SHC1","SMAD2","SMAD3","SMAD4","SOS1","SP1","SRC","STAT3","STUB1","SYK","TJP1 (ENSG00000104067)","TNF (ENSG00000232810)","TSHR","VAV1","YWHAZ"]
427416	R-HSA-76009: Platelet Aggregation (Plug Formation)	8	12	0.7521793275217933	7.951285260713915E-8	3.0214883990712877E-6	["ENSG00000050820","ENSG00000103653","ENSG00000115904","ENSG00000160691","ENSG00000165025","ENSG00000167193","ENSG00000169398","ENSG00000177885"]	["BCAR1","CRK","CSK","GRB2","PTK2","SHC1","SOS1","SYK"]
6806937	R-HSA-6806834: Signaling by MET	8	12	0.7521793275217933	7.951285260713915E-8	3.0214883990712877E-6	["ENSG00000105976","ENSG00000115904","ENSG00000160691","ENSG00000168610","ENSG00000169398","ENSG00000177885","ENSG00000179295","ENSG00000197122"]	["GRB2","MET","PTK2","PTPN11","SHC1","SOS1","SRC","STAT3"]
507988	R-HSA-177929: Signaling by EGFR	9	17	1.0655873806558738	1.8664903292794545E-7	6.206080344854187E-6	["ENSG00000076641","ENSG00000103653","ENSG00000115904","ENSG00000124181","ENSG00000145675","ENSG00000146648","ENSG00000160691","ENSG00000177885","ENSG00000179295"]	["CSK","EGFR","GRB2","PAG1","PIK3R1","PLCG1","PTPN11","SHC1","SOS1"]
469682	R-HSA-76002: Platelet activation, signaling and aggregation	12	35	2.1938563719385638	5.681488401862351E-7	1.6791954609948726E-5	["ENSG00000050820","ENSG00000067606","ENSG00000103653","ENSG00000115904","ENSG00000145675","ENSG00000160691","ENSG00000165025","ENSG00000167193","ENSG00000169398","ENSG00000177885","ENSG00000196924","ENSG00000197122"]	["BCAR1","CRK","CSK","FLNA","GRB2","PIK3R1","PRKCZ","PTK2","SHC1","SOS1","SRC","SYK"]
481014	R-HSA-109582: Hemostasis	25	142	8.900788709007887	1.0244698915845044E-6	2.7250899116147818E-5	["ENSG00000010810","ENSG00000011422","ENSG00000050820","ENSG00000067606","ENSG00000096968","ENSG00000097007","ENSG00000103653","ENSG00000105974","ENSG00000111679","ENSG00000115904","ENSG00000116824","ENSG00000122194","ENSG00000124181","ENSG00000145675","ENSG00000160691","ENSG00000165025","ENSG00000167193","ENSG00000169398","ENSG00000177885","ENSG00000179295","ENSG00000180210","ENSG00000196924","ENSG00000197122","ENSG00000197471","ENSG00000254087"]	["ABL1","BCAR1","CAV1","CD2","CRK","CSK","F2","FLNA","FYN","GRB2","JAK2","LYN","PIK3R1","PLAUR","PLCG1","PLG","PRKCZ","PTK2","PTPN11","PTPN6","SHC1","SOS1","SPN","SRC","SYK"]
