ID	Gene symbol ID
ENSG00000006468	ETV1
ENSG00000012048	BRCA1
ENSG00000019549	SNAI2
ENSG00000065978	YBX1
ENSG00000073282	TP63
ENSG00000075891	PAX2
ENSG00000078900	TP73
ENSG00000087510	TFAP2C
ENSG00000100644	HIF1A
ENSG00000101412	E2F1
ENSG00000104881	PPP1R13L
ENSG00000105866	SP4
ENSG00000105993	DNAJB6
ENSG00000109320	NFKB1
ENSG00000111206	FOXM1
ENSG00000111424	VDR
ENSG00000116016	EPAS1
ENSG00000120738	EGR1
ENSG00000122691	TWIST1
ENSG00000124440	HIF3A
ENSG00000124664	SPDEF
ENSG00000126767	ELK1
ENSG00000127616	SMARCA4
ENSG00000134954	ETS1
ENSG00000135373	EHF
ENSG00000137693	YAP1
ENSG00000139687	RB1
ENSG00000141448	GATA6
ENSG00000148400	NOTCH1
ENSG00000148737	TCF7L2
ENSG00000150907	FOXO1
ENSG00000157554	ERG
ENSG00000161940	BCL6B
ENSG00000164611	PTTG1
ENSG00000166949	SMAD3
ENSG00000168036	CTNNB1
ENSG00000168283	BMI1
ENSG00000171223	JUNB
ENSG00000171872	KLF17
ENSG00000172845	SP3
ENSG00000173039	RELA
ENSG00000176692	FOXC2
ENSG00000176887	SOX11
ENSG00000184937	WT1
ENSG00000185122	HSF1
ENSG00000185591	SP1
ENSG00000189298	ZKSCAN3
ENSG00000196092	PAX5
ENSG00000204531	POU5F1
ENSG00000233608	TWIST2
ENSG00000244405	ETV5
ENSG00000257923	CUX1
