ID	Model cutoff	No density per 1000bp	P-value	Yes density per 1000bp	Yes-No ratio
V$ALPHACP1_01	0.795	0.43150397989107664	0.023887897433249417	0.6181818181818182	1.432621359223301
V$AP1_02	0.9322	0.28487641390867197	0.026894532743985393	0.43636363636363634	1.531764705882353
V$AP1_Q4_01	0.9968	0.020946795140343526	0.0010009118074903785	0.12121212121212122	5.786666666666667
V$AP4_01	0.8805	0.10892333472978634	0.01951244464825788	0.21818181818181817	2.003076923076923
V$AP4_03	0.9842	0.213657310431504	0.0010076499211141645	0.43636363636363634	2.0423529411764703
V$AP4_Q5	0.9484	0.8211143695014663	0.002763890355799578	1.1757575757575756	1.4319047619047616
V$AP4_Q6	0.9583	0.3728529534981148	4.23202539457219E-4	0.6787878787878787	1.820524344569288
V$AP4_Q6_01	0.9411	0.7289484708839548	0.013511354077473671	0.993939393939394	1.3635249042145594
V$AP4_Q6_02	0.9161	0.7331378299120235	0.014928213232479098	0.993939393939394	1.3557333333333335
V$BATFJUN_01	0.969	0.020946795140343526	0.0026416191364233574	0.10909090909090909	5.208
V$CFOSCJUN_Q5	0.9961	0.06284038542103058	0.026562083704756462	0.14545454545454545	2.3146666666666667
V$CMYC_01	0.8767	0.06284038542103058	0.007297989605287222	0.16969696969696968	2.700444444444444
V$CMYC_02	0.9623	0.0041893590280687055	0.05472226870207252	0.03636363636363636	8.68
V$ETS_Q6	0.8782	9.681608713866778	5.122555725351421E-4	11.030303030303031	1.1393047742679938
V$FOSJUN_02	0.9354	0.11311269375785504	0.008705076020103007	0.24242424242424243	2.14320987654321
V$JUNBJUN_01	0.9854	0.0041893590280687055	0.005271608843774848	0.06060606060606061	14.466666666666667
V$JUNFOSB_01	0.9891	0.008378718056137411	0.014532165867566236	0.06060606060606061	7.233333333333333
V$JUNFRA1_01	0.9686	0.016757436112274822	0.008863913216935367	0.08484848484848484	5.063333333333333
V$JUNFRA2_01	0.974	0.012568077084206116	0.011496548781065605	0.07272727272727272	5.786666666666666
V$MYCMAX_B	0.9387	0.3728529534981148	0.034378212155609725	0.5333333333333333	1.4304119850187265
V$MYOGNF1_01	0.6961	0.8420611646418098	0.03876404091749182	1.0666666666666667	1.2667330016583749
V$NF1C_01	0.9352	0.12568077084206117	0.006616482996082435	0.26666666666666666	2.1217777777777775
V$NF1C_03	0.9443	0.008378718056137411	0.014532165867566236	0.06060606060606061	7.233333333333333
V$NF1_Q6	0.9872	0.008378718056137411	0.014532165867566236	0.06060606060606061	7.233333333333333
V$NFKAPPAB65_01	0.8139	1.7804775869291998	0.013368585560736185	2.181818181818182	1.2254117647058826
V$NFKAPPAB_01	0.8613	0.8127356514453289	2.613962725174377E-4	1.2606060606060605	1.5510652920962198
V$NFKB1_Q4	0.8929	1.6631755341432761	0.02708649853618789	2.0	1.2025188916876575
V$NFKB_Q6_01	0.7737	3.4771679932970256	0.022397978178917255	3.975757575757576	1.1433895582329319
V$NFYC_01	0.7943	3.2844574780058653	0.005440382138321382	3.9030303030303033	1.1883333333333332
V$NFYC_Q5	0.8588	0.4440720569752828	0.007467997276059993	0.6787878787878787	1.5285534591194967
V$NFY_01	0.777	4.051110180142438	0.012132461123314994	4.654545454545454	1.148955532574974
V$NFY_C	0.75	1.4411395056556346	0.026520047058443585	1.7575757575757576	1.2195736434108528
V$NFY_Q3	0.9839	0.0837871805613741	0.05878919957157747	0.15757575757575756	1.8806666666666667
V$NFY_Q6	0.9721	0.06702974444909929	0.010492224489266328	0.16969696969696968	2.5316666666666663
V$NFY_Q6_01	0.8371	1.8181818181818181	0.02700219706264078	2.16969696969697	1.1933333333333336
V$P50RELAP65_Q5_01	0.7791	5.467113531629661	2.1572974519702677E-9	7.345454545454546	1.3435708812260536
V$RELA_02	0.9037	0.38961038961038963	0.016754724086539188	0.5818181818181818	1.4933333333333332
V$RELA_03	0.8617	22.764976958525345	2.0928564898913865E-6	25.64848484848485	1.1266642129800024
V$RELA_06	0.9917	0.0041893590280687055	0.01728975378717425	0.048484848484848485	11.573333333333334
V$RELA_08	0.7981	1.3992459153749477	1.081078805795152E-4	2.012121212121212	1.438003992015968
V$RELA_Q6	0.8322	4.105571847507331	0.03462419169459688	4.593939393939394	1.118952380952381
V$RELBP52_01	0.8227	0.9300377042312526	0.014013953699553864	1.2242424242424244	1.3163363363363365
V$TCF4_01	0.8721	2.463343108504399	0.08519362834902394	2.7515151515151515	1.116984126984127
V$TCF4_06	0.942	0.05865102639296188	0.03580543737437009	0.13333333333333333	2.273333333333333
V$TCF4_07	0.8482	0.7415165479681609	0.04455562881335496	0.9454545454545454	1.2750282485875706
V$TCF4_Q5	0.9832	0.13405948889819858	0.011063412734201142	0.26666666666666666	1.9891666666666667
V$TCF4_Q5_01	0.944	0.5823209049015501	0.0014969761849582416	0.9090909090909091	1.5611510791366905
V$TCF4_Q5_02	0.9751	0.20527859237536658	0.016583615707045737	0.3515151515151515	1.7123809523809521
V$TCF7L2_07	0.9495	0.033514872224549644	0.031700680530842226	0.09696969696969697	2.8933333333333335
V$TFAP4ETV1_01	0.7329	4.436531210724759	0.030960907946661707	4.957575757575758	1.11744412968209
V$TFAP4ETV4_01	0.7928	2.140762463343109	0.014941537655292289	2.56969696969697	1.200365296803653
V$TFAP4_02	0.8873	0.7331378299120235	0.0012269941081556686	1.103030303030303	1.5045333333333333
V$TFIII_Q6	0.9395	0.6535400083787181	1.0428033859596761E-4	1.090909090909091	1.6692307692307695
