ID	Ensembl ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID	Gene symbol ID_1	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network
MO000007830	ENSG00000171223	jun B proto-oncogene	JUNB	V$AP1_01,V$AP1_Q4_01,V$AP1_Q6_01,V$JUNBFOSB_01,V$JUNBFOS_01,V$JUNBFRA2_01,V$JUNB_01,V$JUNB_02,V$JUNB_04,V$JUNB_05,V$JUNB_07,V$JUNB_Q6	0.7067510548523206	0.46931407942238274	3.119999773126324	0.9237000000000002	0.0016926191343690112	NaN		AP-1 transcription factor subunit,JunB proto-oncogene	JUNB	3726	11.97139295	109.62661	2220	196.518478	6440	108.884964	2847	183.644958	4716	2340.780396	3.49E-10	-6.030889026	0.392403471	3.94E-11	-6.606390818	9.379335034	42.492149	834	19.624821	363	37.495659	969	18.3253	547	11.12468479	11.82108473	11.11907135	11.74929222	10.26015551	9.69956163	10.16423324	9.65692879	NM_002229	6.748583257	0.384089196	-6.748583257	JUNB	JUNB		transcription regulator			1.46E-4	ITGAV,ITGB4,PLAUR,ROCK1	
MO000019469	ENSG00000177606	jun proto-oncogene	JUN	V$AP1_01,V$AP1_02,V$AP1_Q4_01,V$AP1_Q6_01,V$BATFJUN_01,V$CFOSCJUN_Q5,V$CJUN_Q6,V$JUNFOSB_01,V$JUNFRA1_01,V$JUNFRA2_01,V$JUN_03,V$JUN_06,V$JUN_08,V$JUN_11	0.26635021097046413	0.13022176379577102	5.262503158882645	0.9506285714285715	0.00836803072955401	44.46251991891073	P05412	AP-1 transcription factor subunit,Jun proto-oncogene	JUN	3725	10.69032867	11.546902	428	53.936218	3235	11.209817	537	54.47953	2560	1320.282687	0.281549501	-1.672221872	0.583165716	0.203385617	-1.271964827	9.948639769	18.508608	665	30.817896	1041	18.260536	863	28.997019	1583	9.51122478	10.95592017	9.4903158	10.96094915	9.81710333	10.21395766	9.80478766	10.16384211	NM_002228	0.881254278	0.841628709	-0.881254278	JUN	JUN	-1.672	transcription regulator		1.069	2.0E-6	ATF3,ICAM1,ITGAV,ITGB4,ITGB8,JUN,MYC,PLAUR,RASA1,TP53	34 (6)
MO000019780	ENSG00000166949	SMAD family member 3	SMAD3	V$SMAD3_02,V$SMAD3_04	7.552742616033756	6.771961492178098	1.8711735196858823	0.8496	0.03299628684554293	194.30466370574482	P84022	SMAD family member 3	SMAD3	4088	10.05145195	14.834061	1009	9.518964	1051	16.164624	1377	8.58041	757	1581.393927	1.49E-5	1.980506128	0.21222407	3.39E-6	4.645416355	11.03727865	32.351306	2132	24.398237	1495	31.543331	2652	24.595224	2429	10.37394997	10.13511718	10.42024283	10.06732553	10.99311225	10.69881717	10.94045668	10.70611673	NM_001145102,NM_001145103,NM_001145104,NM_005902	5.663070986	0.174079877	5.663070986	SMAD3	SMAD3	1.981	transcription regulator		-1.067	4.63E-4	C3,CDKN1A,COL1A1,FN1,MYC	31 (5)
MO000023577	ENSG00000196591	histone deacetylase 2	HDAC2	V$HDAC2_02,V$HDAC2_04	9.480485232067512	8.589049338146811	1.7447445027910902	0.8566499999999999	0.0037432772151754857	294.65620154875535	Q92769	histone deacetylase 2	HDAC2	3066	10.8705484	17.077937	1268	21.441268	2574	18.063638	1730	20.559337	1934	2214.299117	0.058633039	1.365320919	0.210403656	0.032750029	2.135134459	11.31987523	24.674529	1772	36.613109	2474	26.017468	2462	37.486626	4094	10.79964885	11.10119135	10.8429282	11.06158105	11.03855618	11.35103343	11.08352183	11.37426524	NM_001527,NR_033441,NR_073443	2.954822339	0.152065599	2.954822339	HDAC2	HDAC2	1.365	transcription regulator			1.41E-6	BRCA1,CDH1,CDKN1A,ITGB8,MDM2,MYC	62 (8)
MO000026496	ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_Q3	0.24789029535864976	0.1022864019253911	2.4234921816827995	0.9036	7.644794381116522E-4	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1	FOXM1		transcription regulator	Activated	2.638	4.5E-10	AURKB,CCNA2,CDC20,CDC25A,CDK1,CDKN1A,CTNNB1,MAPK8,MYC,PLK1	
MO000028099	ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_Q3	0.24789029535864976	0.1022864019253911	2.4234921816827995	0.9036	7.644794381116522E-4	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1	FOXM1		transcription regulator	Activated	2.638	4.5E-10	AURKB,CCNA2,CDC20,CDC25A,CDK1,CDKN1A,CTNNB1,MAPK8,MYC,PLK1	
MO000038600	ENSG00000244405	ets variant 5	ETV5	V$ERM_03,V$ERM_05,V$ETV5DLX2_01,V$ETV5DRGX_01,V$ETV5EOMES_01,V$ETV5ETV7_01,V$ETV5FIGLA_01,V$ETV5FOXO1_02,V$ETV5HES7_01,V$ETV5HOXA2_01,V$ETV5TCF3_01	7.297180667433833	6.43857346023411	2.496497349912755	0.8085999999999999	0.023349501759500235	NaN		ETS variant 5	ETV5	2119	10.121993	22.844706	1045	15.246046	1129	22.706127	1341	15.187554	881	1043.329738	0.448220187	-1.146055111	0.213757072	0.357524075	-0.920093166	9.925264572	22.387638	992	15.516015	647	22.913317	1337	15.66751	1056	10.18499612	9.95927271	10.18016776	9.95201666	10.10490452	9.77030287	10.12461061	9.78034487	NM_004454	1.500934929	0.131070591	-1.500934929	ETV5	ETV5		transcription regulator		-1.387	9.38E-7	CDH1,CTNNB1,FN1,ICAM1,ITGA5,ITGB1,TJP1	
MO000042938	ENSG00000164754	RAD21 homolog (S. pombe)	RAD21	V$RAD21_01,V$RAD21_04,V$RAD21_10,V$RAD21_11	7.436708860759494	6.568892900120337	1.7853521135648922	0.8582000000000001	0.01578771580275038	100.8053475816553	O60216	RAD21 cohesin complex component	RAD21	5885	12.35465081	114.514336	4788	78.622948	5320	114.65271	6191	82.251205	4362	4818.343883	0.271508688	-1.190422386	0.19404438	0.194989607	-1.295959012	12.10303553	73.715103	2986	111.077667	4233	79.345901	4232	116.720779	7190	12.38724418	12.18410938	12.38904351	12.21902921	11.95331291	12.26908502	12.01261665	12.31487523	NM_006265	2.315607287	0.108660601	-2.315607287	RAD21	RAD21		transcription regulator			7.34E-4	IRS2,MYC,THBS1	
MO000042939	ENSG00000164754	RAD21 homolog (S. pombe)	RAD21	V$RAD21_01,V$RAD21_04,V$RAD21_10,V$RAD21_11	7.436708860759494	6.568892900120337	1.7853521135648922	0.8582000000000001	0.01578771580275038	100.8053475816553	O60216	RAD21 cohesin complex component	RAD21	5885	12.35465081	114.514336	4788	78.622948	5320	114.65271	6191	82.251205	4362	4818.343883	0.271508688	-1.190422386	0.19404438	0.194989607	-1.295959012	12.10303553	73.715103	2986	111.077667	4233	79.345901	4232	116.720779	7190	12.38724418	12.18410938	12.38904351	12.21902921	11.95331291	12.26908502	12.01261665	12.31487523	NM_006265	2.315607287	0.108660601	-2.315607287	RAD21	RAD21		transcription regulator			7.34E-4	IRS2,MYC,THBS1	
MO000042940	ENSG00000164754	RAD21 homolog (S. pombe)	RAD21	V$RAD21_01,V$RAD21_04,V$RAD21_10,V$RAD21_11	7.436708860759494	6.568892900120337	1.7853521135648922	0.8582000000000001	0.01578771580275038	100.8053475816553	O60216	RAD21 cohesin complex component	RAD21	5885	12.35465081	114.514336	4788	78.622948	5320	114.65271	6191	82.251205	4362	4818.343883	0.271508688	-1.190422386	0.19404438	0.194989607	-1.295959012	12.10303553	73.715103	2986	111.077667	4233	79.345901	4232	116.720779	7190	12.38724418	12.18410938	12.38904351	12.21902921	11.95331291	12.26908502	12.01261665	12.31487523	NM_006265	2.315607287	0.108660601	-2.315607287	RAD21	RAD21		transcription regulator			7.34E-4	IRS2,MYC,THBS1	
