ID	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
GO:0005201	extracellular matrix structural constituent	9	112	0.46805970149253734	8.430305612600205E-10	1.197103396989229E-7	["ENSG00000011465","ENSG00000077942","ENSG00000108821","ENSG00000114270","ENSG00000120708","ENSG00000166147","ENSG00000182492","ENSG00000197467","ENSG00000197565"]	["BGN","COL13A1","COL1A1","COL4A6","COL7A1","DCN","FBLN1","FBN1","TGFBI"]
GO:0005515	protein binding	58	8976	37.511641791044774	7.1287136956527145E-9	5.061386723913428E-7	["ENSG00000010810","ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000035115","ENSG00000070087","ENSG00000076641","ENSG00000077348","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000087077","ENSG00000100097","ENSG00000100106","ENSG00000101096","ENSG00000104067","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000121741","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000150760","ENSG00000151150","ENSG00000151491","ENSG00000152104","ENSG00000154133","ENSG00000154134","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166033","ENSG00000166147","ENSG00000166886","ENSG00000167244","ENSG00000168056","ENSG00000168685","ENSG00000169439","ENSG00000174130","ENSG00000175220","ENSG00000182492","ENSG00000186575","ENSG00000186868","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197043","ENSG00000197467"]	["ANK3","ANXA6","ARHGAP1","BGN","CD55","CLDN4","COL13A1","DCN","DOCK1","EGR1","ENAH","EPS8","ERBB2","EVL","EXOSC5","FAS","FBLN1","FBN1","FGFR1","FN1","FYN","HMGA2","HTRA1","IGF2","IGFBP3","IGFBP4","IGFBP7","IL7R","ITGB5","LGALS1","LTBP3","MAPT","NAB2","NF1","NF2","NFATC2","PAG1","PFN2","PIAS3","PIK3R1","PLAUR","PLD2","PTPN14","ROBO3","ROBO4","SDC2","SERPINE2","SH3YL1","SKIL","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","TLR6","TRIOBP","TRIP6","VIM","ZMYM2"]
GO:0005159	insulin-like growth factor receptor binding	5	25	0.1044776119402985	5.4014887565321586E-8	2.5567046780918885E-6	["ENSG00000011465","ENSG00000141753","ENSG00000146674","ENSG00000163453","ENSG00000167244"]	["DCN","IGF2","IGFBP3","IGFBP4","IGFBP7"]
GO:0005102	receptor binding	23	1859	7.768955223880597	7.311788069606763E-7	2.5956847647104007E-5	["ENSG00000010810","ENSG00000011422","ENSG00000011465","ENSG00000076641","ENSG00000087077","ENSG00000100097","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000163235","ENSG00000163453","ENSG00000166033","ENSG00000167244","ENSG00000169439","ENSG00000182492"]	["BGN","DCN","EGR1","ERBB2","FN1","FYN","HTRA1","IGF2","IGFBP3","IGFBP4","IGFBP7","LGALS1","PAG1","PIAS3","PIK3R1","PLAUR","PLD2","SDC2","SERPINE2","TGFA","TGFBI","TLR2","TRIP6"]
GO:0019955	cytokine binding	5	89	0.3719402985074627	3.4370481105196187E-5	9.062138509281217E-4	["ENSG00000011465","ENSG00000115414","ENSG00000168056","ENSG00000169439","ENSG00000182492"]	["BGN","DCN","FN1","LTBP3","SDC2"]
GO:0019899	enzyme binding	22	2202	9.202388059701493	4.628543298401482E-5	9.062138509281217E-4	["ENSG00000010810","ENSG00000026103","ENSG00000035115","ENSG00000076641","ENSG00000082781","ENSG00000087077","ENSG00000100097","ENSG00000101096","ENSG00000104067","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000141736","ENSG00000150760","ENSG00000154380","ENSG00000166147","ENSG00000168685","ENSG00000169439","ENSG00000175220","ENSG00000186575","ENSG00000186868","ENSG00000196405"]	["ARHGAP1","DOCK1","ENAH","ERBB2","EVL","FAS","FBN1","FYN","IL7R","ITGB5","LGALS1","MAPT","NF2","NFATC2","PAG1","PIAS3","PLD2","SDC2","SERPINE2","SH3YL1","TJP1 (ENSG00000104067)","TRIP6"]
GO:0008092	cytoskeletal protein binding	12	743	3.1050746268656715	4.937231398619583E-5	9.062138509281217E-4	["ENSG00000011465","ENSG00000026025","ENSG00000070087","ENSG00000100106","ENSG00000104067","ENSG00000129219","ENSG00000151150","ENSG00000154380","ENSG00000166033","ENSG00000186575","ENSG00000186868","ENSG00000196405"]	["ANK3","DCN","ENAH","EVL","HTRA1","MAPT","NF2","PFN2","PLD2","TJP1 (ENSG00000104067)","TRIOBP","VIM"]
GO:0050431	transforming growth factor beta binding	3	18	0.07522388059701493	5.427600122092353E-5	9.062138509281217E-4	["ENSG00000011465","ENSG00000168056","ENSG00000182492"]	["BGN","DCN","LTBP3"]
GO:0005198	structural molecule activity	12	759	3.1719402985074625	6.066651466656743E-5	9.062138509281217E-4	["ENSG00000011465","ENSG00000026025","ENSG00000077942","ENSG00000108821","ENSG00000114270","ENSG00000120708","ENSG00000151150","ENSG00000166147","ENSG00000182492","ENSG00000186868","ENSG00000197467","ENSG00000197565"]	["ANK3","BGN","COL13A1","COL1A1","COL4A6","COL7A1","DCN","FBLN1","FBN1","MAPT","TGFBI","VIM"]
GO:0019901	protein kinase binding	12	763	3.1886567164179103	6.381787682592406E-5	9.062138509281217E-4	["ENSG00000010810","ENSG00000076641","ENSG00000082781","ENSG00000101096","ENSG00000129219","ENSG00000131788","ENSG00000141736","ENSG00000168685","ENSG00000169439","ENSG00000175220","ENSG00000186575","ENSG00000186868"]	["ARHGAP1","ERBB2","FYN","IL7R","ITGB5","MAPT","NF2","NFATC2","PAG1","PIAS3","PLD2","SDC2"]
GO:0019900	kinase binding	13	898	3.7528358208955224	7.0710694485654E-5	9.128107833602607E-4	["ENSG00000010810","ENSG00000076641","ENSG00000082781","ENSG00000087077","ENSG00000101096","ENSG00000129219","ENSG00000131788","ENSG00000141736","ENSG00000168685","ENSG00000169439","ENSG00000175220","ENSG00000186575","ENSG00000186868"]	["ARHGAP1","ERBB2","FYN","IL7R","ITGB5","MAPT","NF2","NFATC2","PAG1","PIAS3","PLD2","SDC2","TRIP6"]
