ID	Ensembl ID	Gene symbol ID
ENSG00000010810	ENSG00000010810	FYN
ENSG00000011422	ENSG00000011422	PLAUR
ENSG00000011465	ENSG00000011465	DCN
ENSG00000026025	ENSG00000026025	VIM
ENSG00000026103	ENSG00000026103	FAS
ENSG00000035115	ENSG00000035115	SH3YL1
ENSG00000070087	ENSG00000070087	PFN2
ENSG00000076641	ENSG00000076641	PAG1
ENSG00000077348	ENSG00000077348	EXOSC5
ENSG00000077782	ENSG00000077782	FGFR1
ENSG00000077942	ENSG00000077942	FBLN1
ENSG00000082781	ENSG00000082781	ITGB5
ENSG00000087077	ENSG00000087077	TRIP6
ENSG00000100097	ENSG00000100097	LGALS1
ENSG00000100106	ENSG00000100106	TRIOBP
ENSG00000100342	ENSG00000100342	APOL1
ENSG00000101096	ENSG00000101096	NFATC2
ENSG00000104067	ENSG00000104067	TJP1
ENSG00000108821	ENSG00000108821	COL1A1
ENSG00000113140	ENSG00000113140	SPARC
ENSG00000114270	ENSG00000114270	COL7A1
ENSG00000115414	ENSG00000115414	FN1
ENSG00000116141	ENSG00000116141	MARK1
ENSG00000120708	ENSG00000120708	TGFBI
ENSG00000120738	ENSG00000120738	EGR1
ENSG00000121741	ENSG00000121741	ZMYM2
ENSG00000129219	ENSG00000129219	PLD2
ENSG00000131788	ENSG00000131788	PIAS3
ENSG00000132182	ENSG00000132182	NUP210
ENSG00000135919	ENSG00000135919	SERPINE2
ENSG00000136603	ENSG00000136603	SKIL
ENSG00000137462	ENSG00000137462	TLR2
ENSG00000141736	ENSG00000141736	ERBB2
ENSG00000141753	ENSG00000141753	IGFBP4
ENSG00000145675	ENSG00000145675	PIK3R1
ENSG00000146674	ENSG00000146674	IGFBP3
ENSG00000149948	ENSG00000149948	HMGA2
ENSG00000150760	ENSG00000150760	DOCK1
ENSG00000151150	ENSG00000151150	ANK3
ENSG00000151491	ENSG00000151491	EPS8
ENSG00000152104	ENSG00000152104	PTPN14
ENSG00000154133	ENSG00000154133	ROBO4
ENSG00000154134	ENSG00000154134	ROBO3
ENSG00000154380	ENSG00000154380	ENAH
ENSG00000163235	ENSG00000163235	TGFA
ENSG00000163453	ENSG00000163453	IGFBP7
ENSG00000166033	ENSG00000166033	HTRA1
ENSG00000166147	ENSG00000166147	FBN1
ENSG00000166402	ENSG00000166402	TUB
ENSG00000166886	ENSG00000166886	NAB2
ENSG00000167244	ENSG00000167244	IGF2
ENSG00000168056	ENSG00000168056	LTBP3
ENSG00000168685	ENSG00000168685	IL7R
ENSG00000169439	ENSG00000169439	SDC2
ENSG00000174130	ENSG00000174130	TLR6
ENSG00000175220	ENSG00000175220	ARHGAP1
ENSG00000182492	ENSG00000182492	BGN
ENSG00000186575	ENSG00000186575	NF2
ENSG00000186868	ENSG00000186868	MAPT
ENSG00000189143	ENSG00000189143	CLDN4
ENSG00000196352	ENSG00000196352	CD55
ENSG00000196405	ENSG00000196405	EVL
ENSG00000196712	ENSG00000196712	NF1
ENSG00000197043	ENSG00000197043	ANXA6
ENSG00000197467	ENSG00000197467	COL13A1
ENSG00000197565	ENSG00000197565	COL4A6
