ID	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
CH000004523	TLR2, TLR6 internalization	2	4	0.0313179643323184	3.443033976495365E-4	0.006568519543548958	["ENSG00000137462","ENSG00000174130"]	["TLR2","TLR6"]
CH000004524	TLR2, TLR6	2	5	0.039147455415398	5.711756124825181E-4	0.006568519543548958	["ENSG00000137462","ENSG00000174130"]	["TLR2","TLR6"]
CH000000938	PRL ---Fyn---> PI3K	2	9	0.0704654197477164	0.002018347015333805	0.013179894518598068	["ENSG00000010810","ENSG00000145675"]	["FYN","PIK3R1"]
CH000000722	EGF pathway	5	134	1.0491518051326665	0.0028885019543859404	0.013179894518598068	["ENSG00000129219","ENSG00000141736","ENSG00000145675","ENSG00000151491","ENSG00000186868"]	["EPS8","ERBB2","MAPT","PIK3R1","PLD2"]
CH000000679	release of active TGFbeta	2	13	0.1017833840800348	0.004292597807349666	0.013179894518598068	["ENSG00000115414","ENSG00000168056"]	["FN1","LTBP3"]
CH000000763	c-Kit pathway	2	13	0.1017833840800348	0.004292597807349666	0.013179894518598068	["ENSG00000131788","ENSG00000145675"]	["PIAS3","PIK3R1"]
CH000004478	IL-3 ---> c-CBL, PI3K	2	13	0.1017833840800348	0.004292597807349666	0.013179894518598068	["ENSG00000010810","ENSG00000145675"]	["FYN","PIK3R1"]
CH000000939	PRL ---PI3K---> AKT	2	14	0.1096128751631144	0.004984842187737835	0.013179894518598068	["ENSG00000010810","ENSG00000145675"]	["FYN","PIK3R1"]
CH000000711	TGFbeta pathway	5	153	1.1979121357111788	0.005157350029016635	0.013179894518598068	["ENSG00000115414","ENSG00000136603","ENSG00000145675","ENSG00000166147","ENSG00000168056"]	["FBN1","FN1","LTBP3","PIK3R1","SKIL"]
CH000000770	beta-catenin network	4	99	0.7751196172248804	0.006213876798594168	0.014291916636766589	["ENSG00000010810","ENSG00000077782","ENSG00000120738","ENSG00000141736"]	["EGR1","ERBB2","FGFR1","FYN"]
CH000000926	PRL pathway	3	56	0.4384515006524576	0.008619898300825699	0.01802342371990828	["ENSG00000010810","ENSG00000131788","ENSG00000145675"]	["FYN","PIAS3","PIK3R1"]
CH000004522	TLR2 ---Rac1--->AKT	2	21	0.1644193127446716	0.011136168647771706	0.01910033248646439	["ENSG00000137462","ENSG00000145675"]	["PIK3R1","TLR2"]
CH000004188	NRG ---> Akt-1	2	22	0.1722488038277512	0.012193190835748026	0.01910033248646439	["ENSG00000141736","ENSG00000145675"]	["ERBB2","PIK3R1"]
CH000004481	IL-3 ---AKT-1---/ LNC2	2	22	0.1722488038277512	0.012193190835748026	0.01910033248646439	["ENSG00000010810","ENSG00000145675"]	["FYN","PIK3R1"]
CH000004521	TLR2-mediated signaling	3	64	0.5010874293170944	0.012456738578128951	0.01910033248646439	["ENSG00000137462","ENSG00000145675","ENSG00000174130"]	["PIK3R1","TLR2","TLR6"]
CH000004570	ErbB1 ---Sos1, H-Ras---> Rac activation	2	26	0.2035667681600696	0.016840307402478605	0.024207941891062994	["ENSG00000145675","ENSG00000151491"]	["EPS8","PIK3R1"]
CH000004192	NRG ---> ERK	2	27	0.2113962592431492	0.018103624286903333	0.02449313874110451	["ENSG00000141736","ENSG00000145675"]	["ERBB2","PIK3R1"]
CH000000599	beta-catenin:E-cadherin complex phosphorylation and dissociation	3	87	0.6811657242279252	0.028306546829963974	0.03353645616923825	["ENSG00000010810","ENSG00000077782","ENSG00000141736"]	["ERBB2","FGFR1","FYN"]
CH000000600	beta-catenin:E-cadherin complex phosphorylation and dephosphorylation	3	87	0.6811657242279252	0.028306546829963974	0.03353645616923825	["ENSG00000010810","ENSG00000077782","ENSG00000141736"]	["ERBB2","FGFR1","FYN"]
CH000004584	tyrosine dephosphorylation of plakoglobin	3	88	0.6889952153110048	0.02916213579933761	0.03353645616923825	["ENSG00000010810","ENSG00000077782","ENSG00000141736"]	["ERBB2","FGFR1","FYN"]
CH000004525	diacyl lipopeptide, TLR2	2	43	0.3366681165724228	0.04326086118272233	0.047380943200124453	["ENSG00000137462","ENSG00000174130"]	["TLR2","TLR6"]
