name MDAMB231_1 MDAMB231_2 MDAMB231_3 MDAMB231_4
ABL1 0 0 0 0
ADAM9 0 0 0 0
AKT1 0 1 0 1
AMOTL1 0 0 0 0
ANXA1 1 1 1 1
ARAF 1 1 1 1
ATF3 1 1 1 1
ATM 0 0 0 0
AURKA 1 1 1 1
BACE1 0 0 0 0
BGN 0 0 0 0
BIRC6 0 0 0 0
BRAF 1 1 1 0
BUB1 1 1 1 1
CABLES2 1 1 1 1
CASP3 0 1 0 0
CCNG2 0 0 0 0
CD55 1 1 1 1
CDC20 1 1 1 1
CDC25A 1 1 1 1
CDC25C 1 1 1 1
CDC37 1 1 1 1
CDK1 1 1 1 1
CDK5 1 0 0 0
CDK6 0 1 0 1
CDKN1A 0 0 0 0
CHEK1 1 1 1 1
CHEK2 1 1 1 1
CHUK 1 1 1 1
CKAP5 1 1 1 1
COL13A1 1 1 1 1
COMMD1 0 1 0 1
COPS5 0 1 0 1
CREB1 1 1 1 1
CREBBP 1 0 1 0
CSNK1E 0 0 0 0
CSNK2A1 0 0 1 1
CTNNB1 0 0 0 0
CUL2 1 1 1 1
CXXC5 0 0 0 0
CYLD 0 0 0 0
DKK1 0 0 0 0
DNAJB2 0 0 0 0
DUSP1 0 0 0 0
DVL2 1 0 1 1
EGFR 1 1 1 1
EIF2AK2 1 1 1 1
ELK1 0 1 0 1
ELOC 0 1 0 1
EP300 1 0 1 0
ERBB2 0 0 0 0
ERBB3 0 0 0 0
EVL 0 0 0 0
FBLN1 0 0 0 0
FDPS 0 1 0 0
FGF13 0 0 0 0
FMR1 1 1 1 1
FN1 0 0 0 0
FOS 1 0 0 0
FOXM1 1 1 1 1
FYN 1 1 1 1
GSK3B 0 0 0 0
GSN 0 0 0 0
HDAC1 1 1 1 1
HDAC3 0 1 0 0
HIF1A 1 0 1 0
HIPK2 0 0 0 0
HMGA2 0 0 0 0
HMGB2 1 1 1 1
HMGCR 0 1 1 0
HUWE1 1 1 1 1
ICAM1 1 1 1 1
IGF1R 0 0 0 0
IKBKB 0 0 0 0
IKBKG 1 1 1 1
IL4R 1 1 1 1
IL7R 1 1 1 1
IQGAP1 0 0 0 0
ITGB8 0 0 0 0
JUN 0 1 0 1
KAT2A 1 1 1 1
KAT2B 0 1 0 1
LATS2 0 0 0 0
LIMK2 0 0 0 0
LRP1 0 0 0 0
LTBP3 0 0 0 0
MAD2L2 1 1 1 1
MAP2K1 0 1 0 1
MAP2K3 1 1 1 1
MAP2K4 1 1 1 1
MAP2K6 0 0 0 0
MAP2K7 1 1 1 0
MAP3K1 1 1 1 1
MAP3K2 0 0 0 0
MAP3K4 0 0 0 0
MAP3K7 0 0 0 0
MAPK1 0 0 0 1
MAPK11 0 0 0 0
MAPK12 1 1 1 1
MAPK13 1 1 1 1
MAPK14 1 1 1 1
MAPK3 0 0 0 0
MAPK6 0 0 1 1
MAPK8 1 1 0 1
MAPK9 0 0 0 1
MAPKAPK2 0 0 0 0
MAPKAPK3 1 1 1 1
MAPT 0 0 0 0
MDM2 0 0 1 1
MEX3B 0 0 0 0
MOCOS 1 1 1 1
MTOR 1 1 1 1
MVD 0 0 1 0
MVK 1 1 0 0
NDC80 1 1 1 1
NFKBIA 1 1 1 1
NOTCH1 1 1 1 1
NUF2 1 1 1 1
OGT 1 0 1 0
PAG1 1 1 1 1
PAK1 0 1 0 1
PAK2 1 1 1 1
PBK 1 1 1 1
PDPK1 0 0 0 0
PIAS1 0 0 0 0
PIAS3 0 0 0 0
PKIA 0 0 0 0
PKM 0 1 0 0
PKN1 1 1 1 1
PLK1 1 1 1 1
PMVK 0 0 1 1
PPM1A 0 0 1 0
PPM1D 0 0 0 0
PPP2CA 0 1 0 1
PPP3C 0 0 0 1
PPP4C 1 1 1 1
PRKACA 0 0 0 0
PRKCA 0 0 0 0
PRKCD 1 1 1 1
PRMT5 1 1 1 1
PRPF4 1 1 1 1
PTK6 1 1 1 1
PTPN1 1 1 1 1
PTPN11 1 1 1 1
PTPRA 0 0 0 0
RAC1 1 1 1 1
RAD23A 1 1 1 1
RAF1 1 1 1 1
RARA 0 0 0 0
RASGRF1 1 1 1 1
RB1 0 0 0 0
RELA 1 0 1 1
RFWD2 0 0 0 0
RHOA 1 0 1 0
RHOD 0 0 0 0
RICTOR 1 0 1 1
ROCK1 0 0 0 0
RPS6KA1 1 1 1 1
RPS6KA2 0 0 1 0
RPS6KA3 1 1 1 1
RPS6KA5 1 1 1 1
RPS6KB1 0 1 0 1
RRM2B 0 0 0 0
S100A2 0 0 0 0
SELPLG 1 1 1 1
SERPINA1 1 1 1 1
SETD7 0 0 0 1
SH3YL1 0 0 0 0
SHC1 0 0 0 0
SIRT1 1 0 1 0
SKIL 0 0 0 0
SKP2 0 1 0 1
SMAD4 0 0 0 0
SNAI1 1 0 0 1
SNAP29 0 0 0 0
SNRPA 1 1 1 1
SREBF2 1 0 1 0
SRPK1 1 1 1 1
STAT3 1 0 1 0
STK10 1 1 1 1
STK11 1 1 1 0
STX6 0 0 0 0
SUMO1 0 0 1 1
TAB1 0 0 0 0
TACC1 0 0 0 0
TAF12 0 0 0 0
TAF1B 1 1 1 1
TAOK 1 1 0 0
TARDBP 0 1 0 1
TBL1X 1 1 1 1
TCF3 0 1 0 0
TGFA 1 1 1 1
TGFB1 0 0 0 0
TNIK 1 1 1 1
TNK2 0 0 0 0
TOP2A 1 1 1 1
TP53 1 1 1 1
TPR 0 0 0 0
TPX2 1 1 1 1
TRIM28 1 1 0 1
TRIM33 1 1 1 1
TRIOBP 0 0 0 0
UBE2D3 0 0 0 1
UBE2I 1 1 1 1
USP22 0 0 0 0
VDR 0 1 0 0
VIM 0 0 0 0
WNT5A 0 0 0 0
XIAP 0 0 1 0
YAP1 1 1 1 1
YWHAZ 0 1 0 1
ZBTB17 0 0 0 0
