Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset
ATF3	18.098	transcription regulator	Inhibited	-2.449	1.07E-09	ATF3,AURKA,AURKB,CDK1,GSN,PLK1
BCL6B	 	transcription regulator	 	0.351	2.06E-07	CASP3,CASP7,CASP8,CASP9,TP53
BMI1	 	transcription regulator	 	 	3.59E-05	AURKA,CDKN1A,NFKB1,SMAD3,TP53
BRCA1	2.812	transcription regulator	 	0.796	1.24E-07	CDKN1A,CTNNB1,EGFR,HMGA2,PIN1,PLK1,RAD51,UBE2I
CARM1	 	transcription regulator	 	 	9.43E-04	CDKN1A,HSP90AA1,MYC
CBL	-1.02	transcription regulator	 	 	4.09E-04	CDKN1A,COL1A1,ERBB2
CDKN2A	 	transcription regulator	 	0.478	5.71E-05	CASP3,CDKN1A,MDM2,RB1,TP53,VIM
CUX1	 	transcription regulator	 	 	8.67E-04	CDH1,PTK2,THBS1,VIM
E2F1	 	transcription regulator	 	-1.067	5.54E-08	AURKB,BRCA1,CASP3,CCNA2,CDC20,CDC25A,CDK1,ICAM1,MDM2
E2F3	 	transcription regulator	 	1.726	6.30E-08	CASP7,CCNA2,CDC25A,CDK1,DAG1,HMGB2,MAD2L1,PLK1,PTTG1,THBS1
ELK1	 	transcription regulator	 	 	7.34E-04	CDKN1A,ITGAV,ITGB1
ERG	 	transcription regulator	 	-0.574	2.25E-08	AR,BCR,CCNA2,CDH1,FYN,IGF1R,PLAUR,PTPN11,PXN,RASSF1
ETS1	 	transcription regulator	 	 	3.25E-04	CTGF,FN1,HSPA1A/HSPA1B,PML,SCAMP1
ETV1	 	transcription regulator	 	 	3.62E-05	ITGAV,ITGB3,PLAUR
ETV5	 	transcription regulator	 	-1.387	9.38E-07	CDH1,CTNNB1,FN1,ICAM1,ITGA5,ITGB1,TJP1
