ID	Gene symbol ID	Activation z-score	Average Intensity	Description	Expr Log Ratio	Gene description	Gene symbol ID_1	Gene_Symbol	Gene_symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	Mechanistic Network	Model cutoff	Molecule Type	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	No density per 1000bp	P-value	Predicted Activation State	Site model ID	Target molecules in dataset	Transcript_ID	UniProt ID	Yes density per 1000bp	Yes-No ratio	abs_zscore	p-value of overlap	sd_mcf10a	zscore
ENSG00000010810	FYN		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000026025	VIM		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000035115	SH3YL1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000047410	TPR		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000048392	RRM2B		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000058335	RASGRF1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000061938	TNK2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000067900	ROCK1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000071564	TCF3		NaN	transcription factor 3		transcription factor 3	TCF3	TCF3	TCF3	6929	10.74716727	28.96635	1405	30.620583	2277	28.128426	1622	27.529728	1548	1504.236058	0.078810701	-1.332692592	0.207654387	0.046004271	-1.995354118	10.33281353	20.462672	848	33.046416	1345	20.890215	1192	30.206003	2041		0.87746	transcription regulator	10.64874633	10.77559343	10.5523821	10.64619397	10.19490836	10.60056882	10.24625873	10.54881364	2.765744083433613	0.03682510184983683		V$E12_Q6,V$E2A_03,V$E2A_04,V$E2A_Q2,V$E2A_Q6_01,V$E2A_Q6_02,V$E47_01,V$E47_02,V$FLI1TCF3_01,V$HAND1E47_01,V$HOXB2TCF3_01,V$MATH1_Q2,V$MYOD_Q6_01,V$TAL1BETAE47_01,V$TEAD4TCF3_01	ATF3,CD55,CDC20,HMGB2,IL7R,NDC80,NUF2	NM_001136139,NM_001351778,NM_001351779,NM_003200		3.1652777777777783	1.6642728990324906	4.522070291	3.62E-5	0.091629213	-4.522070291
ENSG00000075643	MOCOS		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000076641	PAG1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000077238	IL4R		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000077312	SNRPA		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000077942	FBLN1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000080986	NDC80		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000086758	HUWE1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000087586	AURKA		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000088325	TPX2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000090339	ICAM1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000096063	SRPK1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000099940	SNAP29		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000100106	TRIOBP		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000101849	TBL1X		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000105329	TGFB1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000105855	ITGB8		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000108773	KAT2A		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000110876	SELPLG		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
