node	MCF10A_1		MCF10A_2		MCF10A_3		MCF10A_4		MDA-MB-231_1		MDA-MB-231_2		MDA-MB-231_3		MDA-MB-231_4
COL13A1:	0.095581601	COL13A1:	0.112850746	COL13A1:	0.064000008	COL13A1:	0.118614309	COL13A1:	0.553695123	COL13A1:	0.633354208	COL13A1:	0.551897353	COL13A1:	0.586597373
IGF1R:	0.538087631	IGF1R:	0.586844208	IGF1R:	0.586918709	IGF1R:	0.618498081	IGF1R:	0.086056822	IGF1R:	0.093087328	IGF1R:	0.079572668	IGF1R:	0.094900766
BIRC6:	0.535622422	BIRC6:	0.539097811	BIRC6:	0.58149625	BIRC6:	0.575532376	BIRC6:	0.082204931	BIRC6:	0.034467566	BIRC6:	0.075706048	BIRC6:	0.035261233
IL7R:	0.119290407	IL7R:	0.135126212	IL7R:	0.072495174	IL7R:	0.087069649	IL7R:	0.612002614	IL7R:	0.593242944	IL7R:	0.612451118	IL7R:	0.604909655
NOTCH1:	0.046637411	NOTCH1:	0.060083124	NOTCH1:	0.074346376	NOTCH1:	0.069572198	NOTCH1:	0.676052312	NOTCH1:	0.655704809	NOTCH1:	0.667681967	NOTCH1:	0.698535652
RHOD:	0.5	RHOD:	0.5	RHOD:	0.5	RHOD:	0.5	RHOD:	0	RHOD:	0	RHOD:	0	RHOD:	0
KAT2B:	0.5	KAT2B:	0	KAT2B:	0.5	KAT2B:	0	KAT2B:	0	KAT2B:	0.5	KAT2B:	0	KAT2B:	0.5
PDPK1:	0.5	PDPK1:	0.5	PDPK1:	0.5	PDPK1:	0.5	PDPK1:	0	PDPK1:	0	PDPK1:	0	PDPK1:	0
MAP2K3:	0	MAP2K3:	0	MAP2K3:	0	MAP2K3:	0	MAP2K3:	0.5	MAP2K3:	0.5	MAP2K3:	0.5	MAP2K3:	0.5
MAPK11:	0.599408897	MAPK11:	0.599408897	MAPK11:	0.599408897	MAPK11:	0.599408897	MAPK11:	0.12716808	MAPK11:	0.12716808	MAPK11:	0.12716808	MAPK11:	0.12716808
MAPK12:	0.099408897	MAPK12:	0.099408897	MAPK12:	0.099408897	MAPK12:	0.099408897	MAPK12:	0.62716808	MAPK12:	0.62716808	MAPK12:	0.62716808	MAPK12:	0.62716808
MAPK9:	0.091435557	MAPK9:	0.591435557	MAPK9:	0.641435557	MAPK9:	0.591435557	MAPK9:	0.227560913	MAPK9:	0.227560913	MAPK9:	0.227560913	MAPK9:	0.677560913
MAP2K4:	0.144337567	MAP2K4:	0.144337567	MAP2K4:	0.144337567	MAP2K4:	0.144337567	MAP2K4:	0.5	MAP2K4:	0.5	MAP2K4:	0.5	MAP2K4:	0.5
MAP2K7:	0.144337567	MAP2K7:	0.144337567	MAP2K7:	0.644337567	MAP2K7:	0.144337567	MAP2K7:	0.5	MAP2K7:	0.5	MAP2K7:	0.5	MAP2K7:	0
MAP3K2:	0.5	MAP3K2:	0.5	MAP3K2:	0.5	MAP3K2:	0.5	MAP3K2:	0	MAP3K2:	0	MAP3K2:	0	MAP3K2:	0
MAP3K20:	0	MAP3K20:	0	MAP3K20:	0	MAP3K20:	0	MAP3K20:	0	MAP3K20:	0	MAP3K20:	0	MAP3K20:	0
MAP3K7:	0.676776695	MAP3K7:	0.676776695	MAP3K7:	0.676776695	MAP3K7:	0.676776695	MAP3K7:	0	MAP3K7:	0	MAP3K7:	0	MAP3K7:	0
RPS6KA1:	0.041873907	RPS6KA1:	0.174945725	RPS6KA1:	0.196251564	RPS6KA1:	0.174945725	RPS6KA1:	0.623155362	RPS6KA1:	0.630662231	RPS6KA1:	0.615954278	RPS6KA1:	0.746454074
