ID	Master molecule name	Maximal radius	Reached from set	Reachable total	Score	FDR	Z-Score	Ranks sum	Hits	Hit names
MO000085463	Ref-1(h)	2.1	4	48408	0.78958267	0.003	2.4612465	76	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000000304	E6:E6AP{ub(1)}	3.6	4	58026	0.78808457	0.0	2.440154	83	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000044971	Roc1:CUL-5:elongin C:elongin B:E4orf6:E1B55K	3.6	4	58025	0.78808475	0.0	2.3826692	87	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000042160	B56gamma(h)	1.575	4	67342	0.8847264	0.002	2.223987	95	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000132971	nuak1-isoform1(h)	3.15	4	68994	0.8502455	0.0	2.2383354	98	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000033990	p53(h){pT55}	3.465	4	21030	0.69594073	0.002	2.7360222	109	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000159925	HRD1-isoform2(h)	3.15	4	27622	0.694643	0.002	2.5291128	117	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000111095	SCF-Fbx11(h)	3.15	4	66345	0.78536284	0.004	2.219496	122	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000030828	cyclinB1(h):Cdk2(h)	3.15	4	66035	0.7854997	0.006	2.183409	126	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000095096	STRAP-isoform1(h)	3.15	4	35168	0.6932684	0.003	2.4566169	128	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000030842	CKII-alpha(h):CKII-alpha2(h):(CKII-beta(h))2:SUPT16H(h):SSRP1(h)	3.15	4	66035	0.7854992	0.005	2.1758943	133	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000030844	CKII-alpha2(h):CKII-beta(h):SUPT16H(h):SSRP1(h)	3.15	4	66035	0.78549933	0.005	2.1733396	133	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000030922	Chk1(h){p}	3.15	4	66042	0.78534925	0.007	2.1801233	133	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
MO000030997	JNK1alpha1(h){p}	3.15	4	68565	0.78452474	0.009	2.1979773	134	["MO000019548","MO000056623","MO000057270","MO000057556"]	["p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
