IL4R	9.35751193	9.31431635	9.34653027	8.96390291
SCAMP1	10.19825745	9.89009502	9.83877455	9.97635128
ARIH2	10.35042054	10.33301576	10.31389641	10.36017496
JUN	9.81710333	10.21395766	9.80478766	10.16384211
MYC	12.10482258	11.61161424	12.08154383	11.61940188
TFAP4	8.47025622	8.20309121	8.34794157	8.23789744
NFYC	9.15241584	9.20952835	9.16891376	9.15908585
NFIC	11.88399077	11.85509844	11.36339505	11.42473093
RELA	10.73675295	10.53768567	10.65865677	10.67072988
TCF7L2	9.56469269	9.19421432	9.50580412	9.1251201
GTF2I	11.02050142	10.86139892	11.03196624	10.84796036
