SUID,interaction,name,selected,shared interaction,shared name,Strength
37727,neg_interaction,MOCOS_interaction_CDC27,FALSE,neg_interaction,MOCOS_interaction_CDC27,-0.991271514
37729,pos_interaction,NDC80_interaction_CDC27,FALSE,pos_interaction,NDC80_interaction_CDC27,0.970581206
37730,neg_interaction,NDC80_interaction_MOCOS,FALSE,neg_interaction,NDC80_interaction_MOCOS,-0.972157539
37732,pos_interaction,AURKA_interaction_CDC27,FALSE,pos_interaction,AURKA_interaction_CDC27,0.986961055
37733,neg_interaction,AURKA_interaction_MOCOS,FALSE,neg_interaction,AURKA_interaction_MOCOS,-0.995197408
37734,pos_interaction,AURKA_interaction_NDC80,FALSE,pos_interaction,AURKA_interaction_NDC80,0.990010996
37736,pos_interaction,TPX2_interaction_CDC27,FALSE,pos_interaction,TPX2_interaction_CDC27,0.983904803
37737,neg_interaction,TPX2_interaction_MOCOS,FALSE,neg_interaction,TPX2_interaction_MOCOS,-0.990246497
37738,pos_interaction,TPX2_interaction_NDC80,FALSE,pos_interaction,TPX2_interaction_NDC80,0.995160892
37739,pos_interaction,TPX2_interaction_AURKA,FALSE,pos_interaction,TPX2_interaction_AURKA,0.999073068
37741,pos_interaction,SRPK1_interaction_CDC27,FALSE,pos_interaction,SRPK1_interaction_CDC27,0.997104278
37742,neg_interaction,SRPK1_interaction_MOCOS,FALSE,neg_interaction,SRPK1_interaction_MOCOS,-0.997463017
37743,pos_interaction,SRPK1_interaction_NDC80,FALSE,pos_interaction,SRPK1_interaction_NDC80,0.980439675
37744,pos_interaction,SRPK1_interaction_AURKA,FALSE,pos_interaction,SRPK1_interaction_AURKA,0.996071448
37745,pos_interaction,SRPK1_interaction_TPX2,FALSE,pos_interaction,SRPK1_interaction_TPX2,0.993336605
37747,pos_interaction,SNRNP70_interaction_NDC80,FALSE,pos_interaction,SNRNP70_interaction_NDC80,0.964878843
37748,pos_interaction,SNRNP70_interaction_AURKA,FALSE,pos_interaction,SNRNP70_interaction_AURKA,0.961502296
37749,pos_interaction,SNRNP70_interaction_TPX2,FALSE,pos_interaction,SNRNP70_interaction_TPX2,0.964826799
37751,pos_interaction,FZR1_interaction_CDC27,FALSE,pos_interaction,FZR1_interaction_CDC27,0.995892338
37752,neg_interaction,FZR1_interaction_MOCOS,FALSE,neg_interaction,FZR1_interaction_MOCOS,-0.979257139
37753,pos_interaction,FZR1_interaction_AURKA,FALSE,pos_interaction,FZR1_interaction_AURKA,0.968593869
37754,pos_interaction,FZR1_interaction_TPX2,FALSE,pos_interaction,FZR1_interaction_TPX2,0.96369741
37755,pos_interaction,FZR1_interaction_SRPK1,FALSE,pos_interaction,FZR1_interaction_SRPK1,0.986668445
37757,pos_interaction,TAF1B_interaction_CDC27,FALSE,pos_interaction,TAF1B_interaction_CDC27,0.993673515
37758,neg_interaction,TAF1B_interaction_MOCOS,FALSE,neg_interaction,TAF1B_interaction_MOCOS,-0.999066249
