Gene_Symbol	MCF10A_1_FPKM	MCF10A_2_FPKM	MCF10A_3_FPKM	MCF10A_4_FPKM	MDA_MB-231_1_FPKM	MDA_MB-231_2_FPKM	MDA_MB-231_3_FPKM	MDA_MB-231_4_FPKM	MDA_MB-231/MCF10A.fc	MDA_MB-231/MCF10A.baseMean	MDA_MB-231/MCF10A.lfcSE	MDA_MB-231/MCF10A.stat	MDA_MB-231/MCF10A.raw.pval	MDA_MB-231/MCF10A.bh.pval	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4	MCF10A_1_Read_Count	MCF10A_2_Read_Count	MCF10A_3_Read_Count	MCF10A_4_Read_Count	MDA_MB-231_1_Read_Count	MDA_MB-231_2_Read_Count	MDA_MB-231_3_Read_Count	MDA_MB-231_4_Read_Count
ANXA1	269.284729	231.56311	261.437195	229.316116	350.496674	475.468567	346.126892	450.802368	1.398617116	6589.281379	0.132002897	3.666594272	0.000245802	0.00075301	12.42370681	12.90770055	12.53572044	12.52835018	12.5116432	12.51662501	12.69916974	12.93889502	12.68756295	12.89386241	4612	6418	5782	4981	5816	7421	7561	11374
ATF3	0.100204	0.180734	0.0833	0.203335	5.344931	1.827988	4.865215	2.234674	18.09765056	50.35884921	0.527504787	7.919796397	2.379E-15	3.3137E-14	2.391812377	6.576968542	3.98454475	4.12597474	3.89776881	4.18451486	6.20894753	5.35673255	6.12564438	5.47655783	3	8	3	7	120	45	144	83
BGN	102.911194	113.39344	101.385506	105.56488	0.288507	0.073196	0.332345	0.099218	-603.3339451	1888.916431	0.346572275	-26.65190959	1.7008E-156	2.6266E-153	11.88093114	2.65782844	10.82651449	11.08147402	10.81186077	10.99981602	7.10972577	7.01833752	7.11089048	6.99693186	2814	5017	3580	3660	8	2	12	4
BUB1	6.623317	6.165003	6.0784	6.288391	25.292103	74.283325	25.367523	68.810287	6.508973858	1246.262347	0.384016059	7.037284127	1.96023E-12	2.04204E-11	8.374812595	11.07720086	8.9960703	9.04342394	8.93765768	9.05557321	10.00518402	11.00037269	10.00685052	10.92700709	269	405	319	324	994	2745	1312	4110
CDC20	17.624765	13.67209	17.805765	12.520435	46.51511	173.085403	42.386353	164.480759	5.900404001	1278.027208	0.467860721	5.473453157	4.4135E-08	2.6496E-07	8.533063992	11.09382863	9.14836294	9.06764215	9.15691568	9.0057433	9.86725022	11.07816171	9.78547988	11.03023357	329	413	430	297	842	2944	1009	4523
COL13A1	0.1396	0.286824	0.043414	0.22103	11.792178	21.12564	12.721234	18.678987	70.98401869	304.7667741	0.43122295	14.26042456	3.86098E-46	2.66494E-44	3.06654975	9.231595307	5.40226199	5.61880403	5.21570547	5.53804622	8.15579664	8.67591491	8.18360183	8.55843161	5	17	2	10	400	647	541	929
CD55	13.80751	10.70272	13.792624	8.403093	108.057788	83.812395	102.448142	85.567009	7.063766916	1831.789303	0.153933834	18.32240295	5.48372E-75	1.11068E-72	8.827747945	11.64799843	9.62231571	9.54546282	9.55541435	9.42115877	11.29082979	11.05433626	11.25633557	11.06378184	424	533	497	347	3121	2376	3969	3866
ARID3A	6.498366	5.429899	5.856582	4.920312	1.451494	1.851565	1.743457	2.021272	-3.699094035	146.0305279	0.161076895	-11.71596942	1.05577E-31	4.10188E-30	7.847231414	5.949144401	7.5467818	7.5150143	7.4535578	7.42184205	6.33771284	6.46256193	6.44157367	6.52328473	204	276	237	196	45	53	70	94
EGFR	36.877985	32.687855	25.990846	31.449309	78.692754	55.988479	66.705268	57.969959	1.853089035	3144.034545	0.201943932	4.406828136	1.04895E-05	4.20773E-05	11.10580812	11.99584573	11.28517709	11.31796053	11.2861289	11.27624889	12.0248955	11.59971321	11.97651499	11.60006279	1808	2643	2336	1976	4401	2663	5502	4293
FBLN1	758.616999	577.46019	741.134641	567.808102	1.737311	1.867949	1.842448	1.687303	-412.5731213	12350.43737	0.149167797	-58.24652626	0	0	14.58877514	5.903071482	13.73149935	13.57825665	13.70149731	13.55336632	9.73703171	9.71477583	9.73276639	9.70995695	22119	26896	27753	20680	56	46	73	74
