name "normal sd" "cancer sd"
COL13A1 0.10950932782829016 0.14466197003825831
IGF1R 0.045887867811458705 0.10690989188540312
BIRC6 0.008793487008393818 0.03832735340741291
IL7R 0.07845643430933985 0.01996883001332673
NOTCH1 0.07517281191584069 0.21252228553656033
RHOD 0.03540386851126137 0.11392162673634214
KAT2B 0.22635436405493406 0.07575459807790294
PDPK1 0.08885195083325642 0.0449160664798613
MAP2K3 0.05034341661007309 0.06387338785003766
MAPK11 0.10469618144561198 0.06592236444368944
MAPK12 0.04587425664001064 0.03409147949066241
MAPK9 0.04058067748853103 0.0561820328662642
MAP2K4 0.05163080287271168 0.0584990600058117
MAP2K7 0.07365804571998712 0.11221507440059528
MAP3K2 0.022589322512403035 0.07777871920556007
MAP3K20 0.0 0.0
MAP3K7 0.010434659016427834 0.023544308680436863
RPS6KA1 0.017691444166648886 0.12136837144445947
RPS6KA5 0.08831871329235977 0.08198211820750295
MAPKAPK2 0.0832874115418232 0.015318600504841155
MAPKAPK3 0.038228025920358094 0.08173042395654427
PTPN11 0.07285985759477882 0.12382097162553966
STK10 0.1367826510030868 0.07985766221518872
MAPK6 0.08977219336636892 0.027104706151837847
RPS6KA2 0.24042715729169728 0.32397042195864467
RPS6KA3 0.018649477566976325 0.01140349359754435
RPS6KB1 0.04779214514990312 0.02867773171647494
RARA 0.08249032821760713 0.0820764605777908
SPI1 0.018866417323363523 0.01953670908857557
YAP1 0.039062163201959564 0.008821430337202639
MAPKAP1:MLST8:MTOR:RICTOR 0.015791289012325797 0.0012556257626353845
PIAS1 0.07134505661654907 0.02896042360045164
MTOR 0.07736120106354026 0.0061512833435884914
MTOR:RICTOR 0.015791289012325797 0.0012556257626353845
MTOR:RPTOR 0.015791289012325797 0.0012556257626353845
MVD 0.5341571368010231 0.12240264537150722
AKT1 0.09634151856868824 0.0694114160857477
PMVK 0.3450526221118633 0.06767569502023153
CSNK2A1 0.009729902710628282 0.021223399976347417
UBE2I 0.008512296265377101 0.020582133067495692
CTNNB1 0.17576202763484702 0.015114993877017197
EP300 0.03775243057595172 0.12823920149901363
JUN 0.4352384063638497 0.11204974588170942
MDM2 0.20130408645610726 0.20768530777694524
PAK2 0.03416493276357218 0.0595262469182072
CHEK1 0.027293225479104077 0.20542374545867995
PBK 0.0623139688692679 0.3670991682602858
GSK3B 0.016270135299821187 0.10765780875838081
PTPN1 0.06715247155522232 0.10968413137235643
SUMO1 0.02387191482316086 0.021577071639333607
RAC1 0.045632572969611276 0.024055402513365104
RAF1 0.025074113654395238 0.026494780158063135
TCF3 0.042222823508072695 0.10897136567908917
PKM 0.17925594091265626 0.02836492727617348
AMOTL1 0.04539366741070416 0.05379272157067001
MAPK1 0.06173882519769684 0.015611148387778377
ARAF 0.02045184032623648 0.04067169903357267
MAP2K1 0.12481505355263088 0.04089264818851425
PPM1A 0.05178755461875452 0.11243353225210181
ATM 0.07966920225488831 0.08362240428876792
CHEK2 0.1087653494501608 0.11344341069821169
AURKA 0.025200013422623548 0.33436031377467235
LATS2 0.025980141022733258 0.09049774582993958
PLK1 0.02266877135501467 0.349664043576023
PPP2CA 0.055740485855161524 0.11283393322767553
BRAF 0.0501643682649431 0.09210604799465787
PPP3C 0.029023276717359266 0.01914096469032882
CASP3 0.04957151946299818 0.20466216911464116
PRKCD 0.036171441693383904 0.05177720667244062
PPP4C 0.06326726824631645 0.020285061216700515
TRIM28 0.010705928667137148 0.12795644586055124
CDC25A 0.3026721616396817 0.29905393993040674
CDK1 0.0975233521546269 0.3826091773156136
PRKACA 0.06896824533994425 0.02191424036933905
EGFR 0.01148874876306653 0.14173897236383554
CDC25C 0.11242176712422808 0.17121738795230265
CDC37 0.07332963462852551 0.10420010325219811
FOS 0.14117598669149345 0.04030519438676265
CDK5 0.04484298621992573 0.015640226019885
PRMT5 0.08873831103659427 0.08557232352377266
STAT3 0.0826426122123399 0.11887037484986082
PAK1 0.058707111529463195 0.08801099868552473
PRPF4 0.08793992322774129 0.19144176722011272
CDK6 0.17181019335569567 0.10043920685618966
PKN1 0.08522575518269665 0.13607277048134378
PTK6 0.1371084513175875 0.18416789412787915
RELA 0.04879024422352191 0.06868354278363045
RB1 0.00726858457459294 0.06310720363819866
CDKN1A 0.11857965099656073 0.010662534174735833
RAD23A 0.0640099944563076 0.040080719538863455
CHUK 0.09236116004435527 0.11127619512220943
CHUK:IKBKB 0.018853142624308084 0.02271415815916763
ABL1 0.06863118740354329 0.045073058294360806
CREBBP 0.06607584556731955 0.06806257169208856
NFKBIA 0.10705651398634217 0.11783597246124596
COMMD1 0.03612875447705501 0.0751895806162771
SMAD4 0.007120199457608468 0.06138551649503758
COPS2:COPS5 0.009114218758811741 0.02630091510289599
COPS5 0.025778903096145885 0.074390221928515
BACE1 0.008811010783800633 0.039313678051277764
CREB1 0.0023567268626686916 0.05026242694854571
CSNK1E 0.024942797168233784 0.034425498187692555
SKP2 0.016246168058366865 0.3595213509216014
CSNK2A1:CSNK2A2:CSNK2B 0.017051346942939114 0.03013614608247779
HDAC1 0.06107079059738305 0.06436127768885491
HDAC3 0.020685388124109482 0.05591578014273888
STK11 0.05532241235601254 0.05050021893782356
CSNK2A1:CSNK2A2:CSNK2B:RELA 0.006519870333184477 0.00917822442154915
ANXA1 0.020809539732180193 0.08431479163476309
SETD7 0.0190757720852423 0.03398117065950012
BGN 0.09336048919625249 0.029089127531982853
FN1 0.173185089747526 0.08854375446752082
STX6 0.01513206217432252 0.07218648744150943
TNIK 0.05450060336915466 0.049187980160214945
TP53 0.03163176518693051 0.15797525866832512
VIM 0.026613327437097357 0.02231827909034905
TRIM33 0.09935185120392766 0.023778946439380586
MEX3B 0.046722967965135635 0.08021915363240355
CD55 0.1277219891311101 0.06193206811673523
PKIA 0.04145301330502387 0.12248894697721693
GSN 0.11569723742179239 0.20833934015082464
CUL1:ELK1:FBXO25:RBX1:SKP1 0.04914172041010232 0.10558467547947438
UBE2D3 0.03814980400476336 0.035497121821769104
ZBTB17 0.04721639793584345 0.017797452421495625
CUL2 0.04975167348579358 0.08347522412629407
SREBF2 0.10279881580375069 0.29259471175846646
ELOC 0.0847205134911989 0.11937695776486497
ADAM9 0.010973167191883404 0.023336344688061977
HIF1A 0.1314964677166938 0.10283800736554148
CYLD 0.03524977260530425 0.020637828132406607
DKK1 0.06307129697409561 0.07630879982602581
PRKCA 0.10687651050333795 0.03272732106321385
DUSP1 0.16770546413725246 0.09348951127375697
MAPK14 0.08317961756536486 0.07858628583800883
MAPK3 0.030416273109255244 0.0269888197339341
IL4R 0.0168100016394119 0.10009701956487295
MAPK8 0.10672457206440797 0.110516315967466
DVL2 0.06224324060595438 0.07373478792911621
ERBB2 0.051116164720197046 0.037787051885534224
SELPLG 0.05787106818308415 0.3578247212798064
EIF2AK2 0.0176262961723993 0.017619700281868246
EIF2AK2:PDGFB:PDGFRB 0.005088273663312115 0.005086369604182021
SERPINA1 0.05584780337521925 0.29773099302290257
MAP2K6 0.12078200309913087 0.04161629281861356
ELK1 0.09828344082020464 0.21116935067982318
TRIOBP 0.020888039056986253 0.1095114795961298
XIAP 0.026794246988372114 0.09805933139688455
ERBB3 0.5150235667176621 0.17113926434982724
FOXM1 0.01413802705691675 0.3302614049128196
FDPS 0.39662754824336754 0.057149605077251364
