ID	Gene symbol ID	Gene symbol
ENSG00000004897	CDC27	
ENSG00000005339	CREBBP	
ENSG00000012048	BRCA1	
ENSG00000033800	PIAS1	
ENSG00000048392	RRM2B	
ENSG00000066136		NFYC
ENSG00000072062	PRKACA	
ENSG00000075643	MOCOS	
ENSG00000077238	IL4R	
ENSG00000077312	SNRPA	
ENSG00000080986	NDC80	
ENSG00000085365	SCAMP1	
ENSG00000086758	HUWE1	
ENSG00000087586	AURKA	
ENSG00000088325	TPX2	
ENSG00000090339	ICAM1	
ENSG00000090447		TFAP4
ENSG00000096063	SRPK1	
ENSG00000096968	JAK2	
ENSG00000100393	EP300	
ENSG00000101266	CSNK2A1	
ENSG00000104852	SNRNP70	
ENSG00000105229	PIAS4	
ENSG00000105325	FZR1	
ENSG00000105974	CAV1	
ENSG00000107643	MAPK8	
ENSG00000108654	DDX5	
ENSG00000109320	NFKB1	
ENSG00000110395	CBL	
ENSG00000112592	TBP	
ENSG00000115414	FN1	
ENSG00000115750	TAF1B	
ENSG00000116017	ARID3A	
ENSG00000116478	HDAC1	
ENSG00000117399	CDC20	
ENSG00000123374	CDK2	
ENSG00000123384	LRP1	
ENSG00000125743	SNRPD2	
ENSG00000130177	CDC16	
ENSG00000131747	TOP2A	
ENSG00000131788	PIAS3	
ENSG00000135046	ANXA1	
ENSG00000135605	TEC	
ENSG00000136603	SKIL	
ENSG00000136997		MYC
ENSG00000137801	THBS1	
ENSG00000139687	RB1	
ENSG00000140464	PML	
ENSG00000141510	TP53	
ENSG00000141905		NFIC
ENSG00000145386	CCNA2	
ENSG00000146648	EGFR	
ENSG00000148737		TCF7L2
ENSG00000149948	HMGA2	
ENSG00000152465	NMT2	
ENSG00000154229	PRKCA	
ENSG00000160691	SHC1	
ENSG00000161057	PSMC2	
ENSG00000161638	ITGA5	
ENSG00000163235	TGFA	
ENSG00000164104	HMGB2	
ENSG00000164109	MAD2L1	
ENSG00000164162	ANAPC10	
ENSG00000164611	PTTG1	
ENSG00000168610	STAT3	
ENSG00000169679	BUB1	
ENSG00000170027	YWHAG	
ENSG00000170312	CDK1	
ENSG00000170836	PPM1D	
ENSG00000171150	SOCS5	
ENSG00000173039		RELA
ENSG00000175216	CKAP5	
ENSG00000175387	SMAD2	
ENSG00000177479	ARIH2	
ENSG00000177606		JUN
ENSG00000177885	GRB2	
ENSG00000179295	PTPN11	
ENSG00000196504	PRPF40A	
ENSG00000197386	HTT	
ENSG00000197467	COL13A1	
ENSG00000213341	CHUK	
ENSG00000253729	PRKDC	
ENSG00000263001		
