ID	Gene symbol ID	Ensembl ID
ENSG00000011304	PTBP1	ENSP00000014112,ENSP00000349428,ENSP00000408096,ENSP00000465652,ENSP00000486218,ENSP00000489604
ENSG00000064932	SBNO2	ENSP00000354733,ENSP00000400762,ENSP00000468520
ENSG00000064961	HMG20B	ENSP00000262949,ENSP00000328269,ENSP00000410924,ENSP00000465293
ENSG00000066230	SLC9A3	ENSP00000264938,ENSP00000422983
ENSG00000070404	FSTL3	ENSP00000166139,ENSP00000484376
ENSG00000071889	FAM3A	ENSP00000320521,ENSP00000352955,ENSP00000358655,ENSP00000358657,ENSP00000377202,ENSP00000393086,ENSP00000416146
ENSG00000087903	RFX2	ENSP00000306335,ENSP00000352076,ENSP00000464826,ENSP00000466890,ENSP00000467166,ENSP00000467979,ENSP00000468036
ENSG00000099219	ERMP1	ENSP00000340427,ENSP00000417160,ENSP00000417474
ENSG00000100196	KDELR3	ENSP00000216014,ENSP00000386918
ENSG00000107099	DOCK8	ENSP00000394888
ENSG00000113360	DROSHA	ENSP00000339845,ENSP00000409335,ENSP00000424161,ENSP00000425979,ENSP00000430921
ENSG00000122729	ACO1	ENSP00000309477,ENSP00000369255,ENSP00000438733
ENSG00000122735	DNAI1	ENSP00000242317,ENSP00000395396,ENSP00000480538
ENSG00000124557	BTN1A1	ENSP00000244513
ENSG00000131238	PPT1	ENSP00000361865,ENSP00000394863,ENSP00000403207,ENSP00000431655,ENSP00000432053,ENSP00000436695,ENSP00000492910,ENSP00000492984,ENSP00000493128,ENSP00000493146,ENSP00000493153,ENSP00000493369
ENSG00000133121	STARD13	ENSP00000255486,ENSP00000338785,ENSP00000382300
ENSG00000137076	TLN1	ENSP00000316029
ENSG00000142002	DPP9	ENSP00000262960,ENSP00000469603,ENSP00000472224,ENSP00000472430
ENSG00000143545	RAB13	ENSP00000357564,ENSP00000480103
ENSG00000147905	ZCCHC7	ENSP00000316365,ENSP00000337839,ENSP00000443113
ENSG00000148204	CRB2	ENSP00000353092,ENSP00000362734
ENSG00000149115	TNKS1BP1	ENSP00000350990,ENSP00000437271
ENSG00000151388	ADAMTS12	ENSP00000344847,ENSP00000422554
ENSG00000153071	DAB2	ENSP00000313391,ENSP00000426245,ENSP00000439919
ENSG00000153714	LURAP1L	ENSP00000321026
ENSG00000154864	PIEZO2	ENSP00000303316,ENSP00000372900,ENSP00000421377,ENSP00000463094
ENSG00000155886	SLC24A2	ENSP00000286344,ENSP00000344801
ENSG00000161960	EIF4A1	ENSP00000293831,ENSP00000462275,ENSP00000462719,ENSP00000462753,ENSP00000462904,ENSP00000463067,ENSP00000463366,ENSP00000463486,ENSP00000463634,ENSP00000464066,ENSP00000464550
ENSG00000164309	CMYA5	ENSP00000394770
ENSG00000165282	PIGO	ENSP00000298004,ENSP00000354678,ENSP00000367880
ENSG00000176194	CIDEA	ENSP00000320209
ENSG00000177103	DSCAML1	ENSP00000315465,ENSP00000436387
ENSG00000178127	NDUFV2	ENSP00000327268,ENSP00000382908
ENSG00000183779	ZNF703	ENSP00000332325
ENSG00000196365	LONP1	ENSP00000353826,ENSP00000441523,ENSP00000465139,ENSP00000465585,ENSP00000468083,ENSP00000468541
ENSG00000198695	MT-ND6	ENSP00000354665
ENSG00000198727	MT-CYB	ENSP00000354554
ENSG00000198786	MT-ND5	ENSP00000354813
ENSG00000198804	MT-CO1	ENSP00000354499
ENSG00000198886	MT-ND4	ENSP00000354961
ENSG00000225697	SLC26A6	ENSP00000351597,ENSP00000373239,ENSP00000378920,ENSP00000388721,ENSP00000389922,ENSP00000401066,ENSP00000404607,ENSP00000404684
ENSG00000228253	MT-ATP8	ENSP00000355265
