Node	MDA231
ABL1	-0.071465748
AKT1	0.128175389
AKT2	-0.104481996
ANXA1	0.276654633
ARIH2	0.360314555
AURKA	-0.903696346
AXIN1	0.609570303
BRAF	-0.551858456
BRCA1	-1.036866394
BTRC	0.091249262
BUB1	-0.815467979
CAV1	0.103124289
CBL	0.15186649
CCNA2	-1.197289937
CCNG2	0.125567966
CDC16	-1.703526099
CDC20	-1.389422137
CDC25A	-0.348992544
CDC25B	-0.246082226
CDC25C	-0.138266452
CDC27	-1.708869722
CDC34	0.287067407
CDC37	-0.861282037
CDC42	-1.35640528
CDH1	-0.196226218
CDK1	-1.668896297
CDK2	-0.731509055
CDK6	-0.617427333
CDKN1A	0.216245664
CHEK1	-1.448841873
CHEK2	0.231653211
CHUK	-0.03959504
CKAP5	-1.209264778
COL13A1	0.09151154
COMMD1	-0.037044569
CREBBP	-0.164451103
CSNK1G1	-0.251914712
CSNK2A1	-0.541232127
CSNK2B	-1.17872853
CTGF	0.268510924
CUL1	-1.10514976
CUL2	-0.842312846
CUX1	0.10287166
DCUN1D1	-0.145470846
DDX5	-1.14183593
DKK1	-0.181412814
DUSP3	-0.199616397
DUSP4	-0.281735783
DVL2	-0.058122876
EGFR	0.26532715
EP300	0.255843854
FDPS	-0.461961878
FGFR3	0.044107158
FN1	0.037779062
FZR1	-0.334493172
GRB2	-0.234368583
GSK3B	-0.027554606
GTF2I	-0.313901384
HDAC1	0.143837698
HIF1A	0.227749626
HMGA2	-0.08971463
HMGB2	0.176958163
HMGCR	-1.030332591
HTT	-0.458878902
ICAM1	0.020915408
IKBKB	-0.007013927
IL4R	-0.126766248
IL6	0.211687084
ITGA5	-0.038372438
JAK2	0.193597191
JUN	-0.304922752
KAT2B	-0.103123206
KSR1	0.042852959
LRP1	-0.090417247
MAD2L1	-0.733634252
MAP2K1	-0.2450516
MAP2K4	-0.161040496
MAP2K6	0.004348171
MAP2K7	-0.406799387
MAP3K2	-0.14024893
MAP3K5	-0.166275652
MAP3K7	-0.635537161
MAPK1	-0.277648545
MAPK10	-0.236902511
MAPK12	0.013520267
MAPK14	-0.41177184
MAPK3	0.003396177
MAPK6	-0.380354153
MAPK8	0.221786323
MAPK9	0.437078851
MAPKAPK2	0.085034567
MOCOS	0.246878444
MVD	-1.091411949
MVK	-1.299639215
MYC	-1.946030443
NDC80	-1.147126817
NEK7	-0.015061292
NFIC	-0.156139921
NFKB1	0.32529024
NFKBIA	-0.081627116
NFYC	-0.875283936
NLK	0.441777338
NMT2	0.315556415
PAK1	-0.093744871
PAK2	-0.531508107
PIAS1	-0.342709505
PIAS2	0.122588398
PIAS3	-0.066342482
PIAS4	-0.275068091
PKM	-1.45178546
PKMYT1	-1.204642616
PKN1	-0.055637735
PLCG1	0.086643093
PML	0.018027906
PMVK	-1.048378187
PPM1D	-0.034556691
PRKACA	-0.239055026
PRKCA	-0.174607405
PRMT5	-1.393210589
PRPF40A	-1.463010769
PSMB8	0.052064827
PSMC2	-1.206764188
PTPN6	0.106128223
PTTG1	-0.638653981
RAC1	-0.785457479
RAD23A	-0.177062625
RAF1	-0.150127196
RB1	0.254685737
RBX1	-0.366472839
RELA	-0.299810836
RHOA	-1.25366681
RICTOR	-0.50668194
ROMO1	-1.016773322
RPS6KA5	0.021849227
RPS6KB1	-0.067089904
RRM2B	-0.067472285
SHC1	-0.137407214
SIRT1	0.285241348
SKIL	0.105315226
SKP1	-0.812823972
SKP2	-0.607333974
SMAD2	0.25020623
SNCA	0.046408202
SNCAIP	0.042694481
SNRNP70	-1.065632634
SNRPA	-0.679670732
SNRPD2	-1.382620916
SOCS5	-0.101415163
SRC	-0.245078168
SREBF2	-0.066362001
SRPK1	-0.40969023
STAT3	0.256234787
STAU1	0.005851966
STK11	-0.812553848
SYK	0.06748259
TAB1	-0.056959332
TAF1B	-0.590437522
TARDBP	-1.07851156
TBP	-0.343517816
TCF7L2	0.131867939
TFAP4	-0.354867007
TGFA	-0.110591855
THBS1	-0.057874255
TOP2A	-1.606410703
TP53	0.024334186
TP63	-0.095949798
TPX2	-0.811102737
UBE2I	-1.14725125
UCHL1	-0.189375726
USP4	-0.307520449
VDR	-0.195960084
VHL	-1.134744233
WNT5A	-0.247499385
YWHAG	-0.30855705
