Node	MDA231
MAPK9	0.573136311
NLK	0.43454604
SMAD2	0.284743485
NFKB1	0.2774288
MAPK8	0.275535309
EGFR	0.266946848
JAK2	0.258450825
CTGF	0.256862785
IL6	0.250091373
MAP2K4	0.247782889
PKN1	0.244923903
DUSP4	0.232036287
CCNG2	0.231304961
TCF7L2	0.212518442
HIF1A	0.18979263
CHEK2	0.174268983
NMT2	0.164829051
MOCOS	0.159640605
SNCA	0.156466086
CDKN1A	0.135329817
RB1	0.131925552
CUX1	0.129632215
PML	0.127905992
ICAM1	0.12108497
ANXA1	0.106683542
COL13A1	0.099180236
KSR1	0.097594084
WNT5A	0.087292577
PPM1D	0.084951495
TAB1	0.083176971
SRC	0.07713278
MAPK1	0.075716477
PIAS2	0.073465992
GSK3B	0.057118354
PTPN6	0.047111045
RAF1	0.041417684
ARIH2	0.039191495
PLCG1	0.036532445
SYK	0.031247603
FN1	0.022318712
IL4R	0.016413769
COMMD1	0.005042043
MAP2K6	0.002914648
HMGB2	-0.005503404
KAT2B	-0.013169767
RRM2B	-0.013631272
STAT3	-0.016439721
CDK6	-0.016592885
PAK1	-0.019115165
AKT1	-0.020760395
JUN	-0.025007252
STAU1	-0.025690057
SNCAIP	-0.03063291
CAV1	-0.035204923
UCHL1	-0.038253461
MAPK6	-0.038932174
THBS1	-0.043029529
AXIN1	-0.047054427
RAD23A	-0.0482803
RPS6KB1	-0.050802843
DVL2	-0.05137396
CSNK1G1	-0.051805061
SREBF2	-0.059320426
FGFR3	-0.059923978
TP63	-0.061706372
PRKACA	-0.068937464
NEK7	-0.070557243
PSMB8	-0.071899374
CBL	-0.079695
CDH1	-0.084386478
MAPK3	-0.090550761
TGFA	-0.091112432
RPS6KA5	-0.092328733
SOCS5	-0.096219379
SRPK1	-0.096854408
BRAF	-0.101634479
MAP3K2	-0.104542018
MAPK14	-0.10727731
SKIL	-0.111912374
RHOA	-0.114866363
CHUK	-0.129788264
EP300	-0.129938838
CDC34	-0.132810413
BTRC	-0.134138531
PRKCA	-0.136188964
MAPK10	-0.136520112
DKK1	-0.146500565
HTT	-0.151013295
SHC1	-0.15832024
MAPKAPK2	-0.161987941
MAP3K5	-0.163879747
IKBKB	-0.17103452
DCUN1D1	-0.17477445
USP4	-0.178994456
YWHAG	-0.195664182
MAPK12	-0.205282873
PIAS4	-0.210144525
PMVK	-0.227629411
MAP2K1	-0.231155973
ABL1	-0.25178043
TP53	-0.252567162
VDR	-0.276652937
MAP2K7	-0.279481466
PIAS3	-0.28434379
HDAC1	-0.287678588
NFIC	-0.297273106
HMGA2	-0.2989871
CDC25A	-0.304616033
DUSP3	-0.315863906
ITGA5	-0.317255308
CSNK2A1	-0.335455796
PIAS1	-0.356231681
LRP1	-0.379170404
NFKBIA	-0.379713514
SIRT1	-0.391634043
RICTOR	-0.409784643
RBX1	-0.421881998
PTTG1	-0.45533753
AKT2	-0.456724035
TFAP4	-0.485013765
CDC25C	-0.490654112
VHL	-0.508628456
FDPS	-0.520333739
STK11	-0.527832662
RELA	-0.547435525
GTF2I	-0.562127476
SNRPA	-0.565853374
FZR1	-0.646810054
TAF1B	-0.654388213
BUB1	-0.660430009
RAC1	-0.669000429
GRB2	-0.669937172
TBP	-0.721125363
PKM	-0.724739854
PAK2	-0.740037804
SKP1	-0.741136047
HMGCR	-0.774634897
DDX5	-0.795156197
MVK	-0.815090414
CDC25B	-0.817459393
BRCA1	-0.819156931
PRPF40A	-0.823169164
MVD	-0.833637275
PRMT5	-0.869687006
MAD2L1	-1.029459552
MYC	-1.034496088
PKMYT1	-1.077421629
ROMO1	-1.078652683
NFYC	-1.121165156
CREBBP	-1.131078556
PSMC2	-1.19338349
CDK2	-1.197199014
SNRNP70	-1.235344697
SKP2	-1.248369453
CDC37	-1.254950629
CSNK2B	-1.278477268
MAP3K7	-1.297921159
CDC42	-1.355413611
TARDBP	-1.363130769
CUL1	-1.417044869
CCNA2	-1.47938003
NDC80	-1.496176655
CUL2	-1.511711779
UBE2I	-1.520690265
TPX2	-1.531662731
TOP2A	-1.721106004
AURKA	-1.737090481
CKAP5	-1.785301772
CDC16	-1.850362243
SNRPD2	-1.85722479
CDC20	-1.865945525
CDK1	-2.090026447
CDC27	-2.099200647
CHEK1	-2.170592997
