Gene_ID	Transcript_ID	Gene_Symbol	Description	MCF10A_1_FPKM	MCF10A_2_FPKM	MCF10A_3_FPKM	MCF10A_4_FPKM	MDA_MB.231_1_FPKM	MDA_MB.231_2_FPKM	MDA_MB.231_3_FPKM	MDA_MB.231_4_FPKM	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.stat	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.bh.pval	MCF10A.mean	MDA_MB.231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	MCF10A_1_Read_Count	MCF10A_2_Read_Count	MCF10A_3_Read_Count	MCF10A_4_Read_Count	MDA_MB.231_1_Read_Count	MDA_MB.231_2_Read_Count	MDA_MB.231_3_Read_Count	MDA_MB.231_4_Read_Count	sd_mcf10a	zscore	abs_zscore
3487	NM_001552	IGFBP4	insulin like growth factor binding protein 4	51.524837	46.042789	49.192234	44.766434	515.031433	579.863342	478.738525	547.401794	9.459530143	8092.223191	0.084930993	38.16944104	0	0	10.59547924	13.83735283	11.44105712	11.45995528	11.41135582	11.43914806	13.29717887	13.38087246	13.22512449	13.32736834	1285	1858	1584	1416	12440	13174	15223	20105	0.020021257	161.9215825	161.9215825
16	NM_001605	AARS	alanyl-tRNA synthetase	37.955364	37.549786	38.317211	38.466721	112.963196	29.206982	117.129021	29.189306	1.629629241	2427.363184	0.490098878	1.437554347	0.150560542	0.21806065	10.85029104	11.55487325	10.87812632	10.98702098	10.88603248	11.00361568	11.78721709	10.58745854	11.8209791	10.58895768	1416	2266	1845	1819	4081	993	5570	1604	0.065807803	10.70666658	10.70666658
7056	NM_000361	THBD	thrombomodulin	0.603693	0.633624	0.653583	0.618394	23.628584	22.228777	22.201048	20.988302	29.6035824	573.789353	0.163260271	29.93808488	6.29E-197	1.29E-193	5.222707447	10.11665225	6.7548689	6.82142274	6.76624014	6.8166534	9.47885007	9.38260584	9.41466066	9.32960754	28	47	38	36	1030	911	1273	1391	0.034138695	143.3547713	143.3547713
22	"NM_001271696,NM_001271697,NM_001271698,NM_001271699,NM_004299"	ABCB7	ATP binding cassette subfamily B member 7	18.692193	7.198329	17.256446	8.316434	15.356974	13.464871	16.059258	15.30464	1.026026544	444.5055103	0.29269374	0.126644508	0.899221768	0.931334139	8.777985304	8.813906096	9.05249623	8.38523336	8.98327877	8.49413891	8.82088749	8.68583031	8.85836645	8.79146549	503	316	600	286	401	332	552	607	0.337955893	0.106288403	0.106288403
8613	NM_003713	PLPP3	phospholipid phosphatase 3	21.951775	19.332846	23.33357	19.600506	2.843242	2.874951	3.12996	2.558512	-8.59366356	561.054943	0.118198005	-26.25487043	6.29E-152	8.63E-149	9.972809643	6.873178351	9.43124013	9.44608521	9.49164383	9.45482156	7.70988211	7.6961869	7.76891684	7.62309225	810	1154	1112	917	102	97	148	140	0.025711311	-120.5551609	120.5551609
2519	NM_032020	FUCA2	"fucosidase, alpha-L- 2, plasma"	3.134388	3.14573	4.097943	3.315552	43.684227	52.968063	46.931061	56.86927	12.41916047	851.4436513	0.14595028	24.90228682	7.03E-137	6.68E-134	6.984732671	10.62226667	7.90513901	7.97988775	8.05594341	8.01216949	9.92283508	10.07903991	9.9921294	10.1532581	90	145	151	120	1203	1372	1701	2381	0.063592187	57.20095765	57.20095765
27	"NM_001136000,NM_001136001,NM_001168236,NM_001168237,NM_001168238,NM_001168239,NM_005158,NM_007314"	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	8.685357	2.479108	5.97955	7.923719	14.590786	10.505542	15.917486	7.320243	1.614267623	1423.246445	0.394428296	1.751597906	0.079842973	0.127318009	10.0887512	10.77932609	10.42313316	9.5666919	10.12223624	10.47114229	10.79890777	10.47942213	10.85477899	10.20238303	1167	543	1051	1363	1851	1260	2591	1465	0.415805535	1.660812162	1.660812162
50484	"NM_001172477,NM_001172478,NM_015713"	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	46.259016	44.212032	58.504747	45.366618	7.430669	6.768858	7.608329	6.662351	-7.905547381	1935.198578	0.125870134	-23.69795974	3.78E-124	3.12E-121	11.74635851	8.764102686	11.12655433	11.23575196	11.36542262	11.25673222	9.56644764	9.48425572	9.58132795	9.47455738	2501	3932	4128	3163	396	340	534	541	0.097893105	-30.46441143	30.46441143
136	NM_000676	ADORA2B	adenosine A2b receptor	1.510554	1.550747	1.365496	1.571395	35.926682	44.21246	32.368736	41.468647	21.5524762	468.4162181	0.188291634	23.52617385	2.20E-122	1.70E-119	5.374509134	9.806304218	6.71136648	6.78124948	6.66368412	6.79143436	9.08295872	9.25702332	8.97956797	9.19681052	32	53	38	42	732	847	868	1284	0.060424592	73.34422835	73.34422835
34	"NM_000016,NM_001127328,NM_001286042,NM_001286043,NM_001286044"	ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	21.278738	19.332398	21.040251	15.795618	16.628586	23.79541	18.180326	19.952471	-1.157052009	676.4705359	0.142280427	-1.479147334	0.139100942	0.20410833	9.502811303	9.293359864	9.47361534	9.52833197	9.4796959	9.34045064	9.21653129	9.47051461	9.29410798	9.34293867	611	914	794	577	467	616	677	854	0.080528372	-2.600964533	2.600964533
