ID,Ensembl ID,UniProt ID,Average Intensity
RPS8,ENSG00000142937,P62241,6447.453502
MSN,ENSG00000147065,P26038,6445.229017
HSPB1,ENSG00000106211,P04792,6423.695725
P4HB,ENSG00000185624,P07237,6398.367411
PARK7,ENSG00000116288,Q99497,6388.133546
EZR,ENSG00000092820,P15311,6320.275554
HMGN2,ENSG00000198830,P05204,6259.234159
RHOA,ENSG00000067560,P61586,6213.495058
RPS19,ENSG00000105372,P39019,6162.812712
RPL22,ENSG00000116251,P35268,6114.83639
VDAC1,ENSG00000213585,P21796,6045.798078
PGAM2,ENSG00000164708,P15259,5995.224288
CALML3,ENSG00000178363,P27482,5958.772167
CSE1L,ENSG00000124207,P55060,5899.149281
RPS4X,ENSG00000198034,P62701,5734.533845
RPS23,ENSG00000186468,P62266,5665.974057
GPI,ENSG00000105220,P06744,5655.541566
RHOC,ENSG00000155366,P08134,5583.408784
SLC25A4,ENSG00000151729,P12235,5479.33422
RPL4,ENSG00000174444,P36578,5401.353106
CYR61,ENSG00000142871,O00622,5366.303575
RPS25,ENSG00000118181,P62851,5350.447266
RPL11,ENSG00000142676,P62913-2,5313.474571
SFN,ENSG00000175793,P31947,5277.031204
RPS17,ENSG00000182774,P08708,5234.814289
RPL10A,ENSG00000198755,P62906,5226.360286
TPM3,ENSG00000143549,"P06753,P06753-2",5143.208513
TPM4,ENSG00000167460,"P67936,P67936-2",5133.287997
CUTA,ENSG00000112514,O60888-3,5124.224974
HNRNPA3,ENSG00000170144,P51991,5068.625526
PDIA3,ENSG00000167004,P30101,5065.377159
ATP5B,ENSG00000110955,P06576,5055.525108
HIST1H1A,ENSG00000124610,Q02539,4996.751521
RAC1,ENSG00000136238,"P63000,P63000-2",4930.566614
RPS5,ENSG00000083845,P46782,4918.312122
DSTN,ENSG00000125868,P60981-2,4880.209137
CCT8,ENSG00000156261,P50990,4845.45702
RPL10,ENSG00000147403,P27635,4834.046305
GAPDHS,ENSG00000105679,O14556,4768.181016
RPS15A,ENSG00000134419,P62244,4753.091116
RPS18,ENSG00000231500,P62269,4737.863552
RPS29,ENSG00000213741,P62273,4711.70874
RPS11,ENSG00000142534,P62280,4710.146537
RPL8,ENSG00000161016,P62917,4707.347553
TXNDC17,ENSG00000129235,Q9BRA2,4640.140583
RPL21,ENSG00000122026,P46778,4617.61763
HNRNPU,ENSG00000153187,"Q00839,Q00839-2",4610.372911
RPS20,ENSG00000008988,P60866,4610.182725
CDC42,ENSG00000070831,"P60953,P60953-1",4564.005835
RPL9,ENSG00000163682,P32969,4559.730767
PTBP1,ENSG00000011304,P26599,4543.316218
VCP,ENSG00000165280,P55072,4538.696061
RPL27A,ENSG00000166441,P46776,4498.237354
HMGB2,ENSG00000164104,P26583,4493.591932
RPS2,ENSG00000140988,P15880,4442.50933
RPS16,ENSG00000105193,P62249,4438.226838
ILF2,ENSG00000143621,Q12905,4416.129531
CANX,ENSG00000127022,P27824,4414.814048
VDAC2,ENSG00000165637,P45880-2,4392.959042
RPL17,ENSG00000265681,P18621,4375.695249
YWHAH,ENSG00000128245,Q04917,4344.783049
ANP32B,ENSG00000136938,Q92688-2,4315.106918
HNRNPH2,ENSG00000126945,P55795,4291.932036
RPL24,ENSG00000114391,P83731,4290.023506
RPL13,ENSG00000167526,P26373,4259.508011
RPS6,ENSG00000137154,P62753,4258.773017
NUTF2,ENSG00000102898,P61970,4255.797549
HNRNPD,ENSG00000138668,"Q14103-3,Q14103-4",4234.095123
ARHGDIA,ENSG00000141522,P52565,4191.456496
AHCY,ENSG00000101444,P23526,4141.962028
RPL27,ENSG00000131469,P61353,4129.521959
PPIB,ENSG00000166794,P23284,4094.60388
RDX,ENSG00000137710,P35241,4087.8582
RPS7,ENSG00000171863,P62081,4078.817716
RPL23A,ENSG00000198242,P62750,4078.652101
JPT1,ENSG00000189159,Q9UK76,4059.789417
RPS10,ENSG00000124614,P46783,4040.418642
KPNB1,ENSG00000108424,Q14974,4024.628662
PCBP3,ENSG00000183570,"P57721,P57721-4",4022.47993
G3BP1,ENSG00000145907,Q13283,4017.144637
RPL5,ENSG00000122406,P46777,3947.465951
PGK2,ENSG00000170950,P07205,3919.159912
RPL31,ENSG00000071082,P62899,3914.064556
RPL6,ENSG00000089009,Q02878,3911.412768
IMPDH2,ENSG00000178035,P12268,3904.008583
GDI2,ENSG00000057608,P50395,3861.161453
MYL6B,ENSG00000196465,P14649,3840.235004
HSPA9,ENSG00000113013,P38646,3837.312735
RPL35,ENSG00000136942,P42766,3834.481144
CNN3,ENSG00000117519,Q15417,3821.241902
CD44,ENSG00000026508,P16070-4,3747.004447
ATP5A1,ENSG00000152234,P25705,3730.42165
CLIC4,ENSG00000169504,Q9Y696,3726.442328
SNRPD2,ENSG00000125743,P62316,3720.085179
CCT3,ENSG00000163468,P49368,3714.032246
PSMA5,ENSG00000143106,P28066,3683.541795
NCL,ENSG00000115053,P19338,3680.761039
CCT2,ENSG00000166226,P78371,3634.512264
UBA1,ENSG00000130985,P22314,3616.889295
SRSF7,ENSG00000115875,Q16629-3,3603.674455
RPL26,ENSG00000161970,P61254,3585.758692
PLIN3,ENSG00000105355,O60664,3585.749359
DDX39B,ENSG00000198563,Q13838,3569.7016
YBX1,ENSG00000065978,P67809,3548.225005
SET,ENSG00000119335,"Q01105,Q01105-2",3539.92901
PSMA6,ENSG00000100902,P60900,3536.1016
ARF1,ENSG00000143761,P84077,3536.005417
PCNA,ENSG00000132646,P12004,3501.914005
RPS26,ENSG00000197728,P62854,3472.566625
UBE2V1,ENSG00000244687,Q13404-1,3471.389368
RPL26L1,ENSG00000037241,Q9UNX3,3459.30004
TGM2,ENSG00000198959,P21980,3442.418721
HNRNPM,ENSG00000099783,P52272,3411.589631
RPL3,ENSG00000100316,P39023,3398.130147
SERPINH1,ENSG00000149257,P50454,3392.313199
HSPA6,ENSG00000173110,P17066,3387.409294
SUMO2,ENSG00000188612,P61956-2,3356.376283
SUMO3,ENSG00000184900,P55854,3338.344497
HNRNPL,ENSG00000104824,P14866,3332.302711
ARF3,ENSG00000134287,P61204,3302.984097
CAP1,ENSG00000131236,Q01518,3298.550047
HNRNPCL1,ENSG00000179172,O60812,3287.367624
MYDGF,ENSG00000074842,Q969H8,3282.949807
PABPC1,ENSG00000070756,P11940,3275.236322
CCT5,ENSG00000150753,P48643,3268.290547
PRDX4,ENSG00000123131,Q13162,3244.984207
B2M,ENSG00000166710,P61769,3241.070514
RPS15,ENSG00000115268,P62841,3239.96603
GANAB,ENSG00000089597,Q14697-2,3230.460197
RPL7,ENSG00000147604,P18124,3228.968758
RAC3,ENSG00000169750,P60763,3214.329112
RAB1B,ENSG00000174903,Q9H0U4,3208.811462
PSMA1,ENSG00000129084,P25786,3207.90879
RNH1,ENSG00000023191,P13489,3204.124377
LGALS3,ENSG00000131981,P17931,3186.066978
CLTC,ENSG00000141367,Q00610-2,3172.156247
DDT,ENSG00000099977,P30046,3161.61701
SLC25A3,ENSG00000075415,Q00325-2,3151.284562
RPL14,ENSG00000188846,P50914,3143.039084
RPS13,ENSG00000110700,P62277,3128.564579
MYL9,ENSG00000101335,P24844,3118.360704
SRSF1,ENSG00000136450,Q07955,3109.592526
ELOC,ENSG00000154582,Q15369,3107.27306
PA2G4,ENSG00000170515,Q9UQ80,3107.242465
RPL37A,ENSG00000197756,P61513,3105.997465
KHSRP,ENSG00000088247,Q92945,3099.080417
UBE2V2,ENSG00000169139,Q15819,3086.000234
NDRG1,ENSG00000104419,Q92597,3043.621753
SNRPG,ENSG00000143977,P62308,3036.492549
CAV1,ENSG00000105974,Q03135,3034.498095
CAVIN1,ENSG00000177469,Q6NZI2,3018.347798
STIP1,ENSG00000168439,P31948,3011.624321
ARF4,ENSG00000168374,P18085,3000.497112
CCT4,ENSG00000115484,P50991,2990.231091
HNRNPF,ENSG00000169813,P52597,2981.888124
RPL36,ENSG00000130255,Q9Y3U8,2954.491561
EIF4H,ENSG00000106682,Q15056,2936.602833
TALDO1,ENSG00000177156,P37837,2932.509722
RHEB,ENSG00000106615,Q15382,2901.81625
TCP1,ENSG00000120438,P17987,2893.954046
SNRPB,ENSG00000125835,P14678-2,2893.795006
DPYSL2,ENSG00000092964,Q16555,2889.837857
RPS9,ENSG00000170889,P46781,2886.838743
NONO,ENSG00000147140,Q15233,2880.719986
EIF3I,ENSG00000084623,Q13347,2870.949848
VAPA,ENSG00000101558,"Q9P0L0,Q9P0L0-2",2839.041688
RPL35A,ENSG00000182899,P18077,2838.83784
CCT6A,ENSG00000146731,P40227,2831.342317
CAPZB,ENSG00000077549,P47756,2814.303952
ERH,ENSG00000100632,P84090,2794.7373
SNRPN,ENSG00000128739,P63162,2791.366483
PRDX5,ENSG00000126432,P30044-2,2774.038112
ALDOC,ENSG00000109107,P09972,2756.951919
MAPRE1,ENSG00000101367,Q15691,2730.340947
MTPN,ENSG00000105887,P58546,2730.09993
SUMO4,ENSG00000177688,Q6EEV6,2727.170219
SUB1,ENSG00000113387,P53999,2718.581243
RPL29,ENSG00000162244,P47914,2707.107472
BTF3,ENSG00000145741,P20290,2699.549224
ACTN2,ENSG00000077522,P35609,2668.923794
ELAVL1,ENSG00000066044,Q15717,2653.218117
INA,ENSG00000148798,Q16352,2645.964628
CNN2,ENSG00000064666,Q99439,2630.646875
CAPZA1,ENSG00000116489,P52907,2623.35822
PPP1CA,ENSG00000172531,"P62136,P62136-2",2623.245511
PSME1,ENSG00000092010,Q06323,2604.790267
PDIA4,ENSG00000155660,P13667,2591.448716
PPP2R1A,ENSG00000105568,P30153,2585.922723
PFKP,ENSG00000067057,Q01813,2580.603041
NAMPT,ENSG00000105835,P43490,2573.392287
C1QBP,ENSG00000108561,Q07021,2565.862534
HNRNPAB,ENSG00000197451,Q99729-3,2555.366403
TXNDC5,ENSG00000239264,Q8NBS9,2528.512271
DDX39A,ENSG00000123136,O00148,2516.447645
GSTO1,ENSG00000148834,P78417,2511.120315
HLA-A,ENSG00000206503,"P04439,P16188",2486.073154
RPL32,ENSG00000144713,P62910,2473.499416
EHD1,ENSG00000110047,Q9H4M9,2442.469087
PPA1,ENSG00000180817,Q15181,2441.694283
ACTR2,ENSG00000138071,P61160,2428.339627
EIF3F,ENSG00000175390,O00303,2424.927803
LDHAL6B,ENSG00000171989,Q9BYZ2,2407.058688
XRCC6,ENSG00000196419,P12956,2404.751366
ITGB1,ENSG00000150093,P05556,2402.156615
G6PD,ENSG00000160211,P11413,2398.000292
CORO1C,ENSG00000110880,Q9ULV4,2394.936755
TMPO,ENSG00000120802,"P42166,P42167,P42167-2",2384.814731
PPP1CB,ENSG00000213639,P62140,2383.358291
H2AFY,ENSG00000113648,"O75367-2,O75367-3",2377.027856
CCT7,ENSG00000135624,Q99832,2372.208755
MT-CO2,ENSG00000198712,P00403,2370.576922
PHB,ENSG00000167085,P35232,2365.853585
RPL13A,ENSG00000142541,P40429,2347.208397
CAPN2,ENSG00000162909,P17655,2336.049743
MDH1,ENSG00000014641,P40925,2329.150685
PSMA7,ENSG00000101182,O14818,2323.039393
TPD52L2,ENSG00000101150,"O43399,O43399-5",2315.072296
FLNC,ENSG00000128591,Q14315,2312.160969
RAB1A,ENSG00000138069,P62820,2309.734995
ATOX1,ENSG00000177556,O00244,2288.267017
DDX5,ENSG00000108654,P17844,2282.287164
RBM3,ENSG00000102317,P98179,2260.573207
TIMP3,ENSG00000100234,P35625,2243.181867
RBBP7,ENSG00000102054,"Q16576,Q16576-2",2234.862873
ATP1A1,ENSG00000163399,P05023,2232.767367
RPL19,ENSG00000108298,P84098,2219.014154
GDI1,ENSG00000203879,P31150,2194.214664
AHNAK,ENSG00000124942,"Q09666,Q09666-2",2182.632242
UBE2N,ENSG00000177889,P61088,2173.247245
CAPG,ENSG00000042493,P40121,2170.058814
CAPNS1,ENSG00000126247,P04632,2153.133557
CALU,ENSG00000128595,"O43852-3,O43852-4",2152.461559
ACOT7,ENSG00000097021,"O00154,O00154-4,O00154-5",2150.334627
HINT2,ENSG00000137133,Q9BX68,2142.085889
PAICS,ENSG00000128050,P22234,2134.417283
ILF3,ENSG00000129351,Q12906,2125.288279
SRM,ENSG00000116649,P19623,2087.059462
AKR1B1,ENSG00000085662,P15121,2069.538297
SLC2A1,ENSG00000117394,P11166,2068.143691
LRRC59,ENSG00000108829,Q96AG4,2066.226283
ACTR3,ENSG00000115091,P61158,2053.64971
NEDD8,ENSG00000129559,Q15843,2044.061956
NUDT5,ENSG00000165609,Q9UKK9,2032.318075
PSMA2,ENSG00000106588,P25787,2031.381898
ALDOB,ENSG00000136872,P05062,2010.09385
CPNE1,ENSG00000214078,Q99829,2005.800893
RPS24,ENSG00000138326,P62847,2004.202298
SRP9,ENSG00000143742,P49458,2003.454519
TLN1,ENSG00000137076,Q9Y490,1998.343312
VCL,ENSG00000035403,P18206-2,1989.883874
RPL15,ENSG00000174748,P61313,1979.065912
RTN4,ENSG00000115310,"Q9NQC3,Q9NQC3-5",1972.397891
SNRPF,ENSG00000139343,P62306,1965.861082
PLEC,ENSG00000178209,"Q15149,Q15149-2,Q15149-3,Q15149-4,Q15149-8,Q15149-9",1961.555395
TPM2,ENSG00000198467,"P07951,P07951-2",1954.492883
SSBP1,ENSG00000106028,Q04837,1945.128681
EIF2S1,ENSG00000134001,P05198,1934.085733
SFPQ,ENSG00000116560,P23246,1932.265031
PSMC2,ENSG00000161057,P35998,1924.45496
DYNLRB1,ENSG00000125971,Q9NP97,1923.787486
EIF2S3,ENSG00000130741,P41091,1920.282449
PLS3,ENSG00000102024,P13797,1919.85813
PAFAH1B2,ENSG00000168092,P68402,1918.77533
FUS,ENSG00000089280,P35637-2,1915.412066
PSMB1,ENSG00000008018,P20618,1898.702333
BSG,ENSG00000172270,P35613-2,1891.364988
TARS,ENSG00000113407,P26639,1880.389859
EIF4A3,ENSG00000141543,P38919,1879.527475
PPP1CC,ENSG00000186298,P36873,1879.174499
MT1A,ENSG00000205362,P04731,1865.030323
MT1H,ENSG00000205358,P80294,1860.619778
SRP14,ENSG00000140319,P37108,1858.468321
SYNCRIP,ENSG00000135316,"O60506,O60506-3",1854.671389
RCN1,ENSG00000049449,Q15293,1846.807973
RPN1,ENSG00000163902,P04843,1827.080012
DYNLL1,ENSG00000088986,P63167,1824.636676
ERP29,ENSG00000089248,P30040,1821.501637
PSMC1,ENSG00000100764,P62191,1812.468425
PSMD2,ENSG00000175166,Q13200,1809.25209
TBCA,ENSG00000171530,O75347,1791.816126
PSMA4,ENSG00000041357,P25789,1787.997387
ARPC3,ENSG00000111229,O15145,1781.618292
SERBP1,ENSG00000142864,"Q8NC51,Q8NC51-2,Q8NC51-3",1778.308565
GNB1,ENSG00000078369,P62873,1764.099851
HNRNPR,ENSG00000125944,"O43390,O43390-2",1760.087177
PLCB3,ENSG00000149782,Q01970,1743.378805
HNRNPDL,ENSG00000152795,O14979,1742.672
RAB14,ENSG00000119396,P61106,1740.170749
ADIRF,ENSG00000148671,Q15847,1735.163952
COX5B,ENSG00000135940,P10606,1724.287458
SSR4,ENSG00000180879,P51571,1719.048544
PDCD5,ENSG00000105185,O14737,1718.87501
SNRPD1,ENSG00000167088,P62314,1714.85788
ELOB,ENSG00000103363,Q15370,1713.916747
ANP32A,ENSG00000140350,P39687,1709.309198
XRCC5,ENSG00000079246,P13010,1698.108208
TPM1,ENSG00000140416,"P09493-3,P09493-4",1697.9012
PGLS,ENSG00000130313,O95336,1692.411096
COTL1,ENSG00000103187,Q14019,1687.367877
KRT77,ENSG00000189182,Q7Z794,1686.053584
RPL28,ENSG00000108107,P46779,1682.472276
CPOX,ENSG00000080819,P36551,1670.359252
HPRT1,ENSG00000165704,P00492,1664.236455
TIMM13,ENSG00000099800,Q9Y5L4,1654.068724
KRT15,ENSG00000171346,P19012,1647.588703
GLUD1,ENSG00000148672,P00367,1647.438216
TUFM,ENSG00000178952,P49411,1643.010684
LSM8,ENSG00000128534,O95777,1630.548663
PABPC4,ENSG00000090621,Q13310-3,1615.927406
BOLA2,ENSG00000183336,Q9H3K6,1615.77687
BOLA2B,ENSG00000169627,Q9H3K6,1615.77687
UCHL3,ENSG00000118939,P15374,1598.678232
CBR1,ENSG00000159228,P16152,1594.391777
ATP5L,ENSG00000167283,O75964,1594.192297
SERPINB1,ENSG00000021355,P30740,1591.929651
RAD23B,ENSG00000119318,P54727,1590.770483
GOT2,ENSG00000125166,P00505,1575.325198
PFDN2,ENSG00000143256,Q9UHV9,1574.704852
BCAP31,ENSG00000185825,P51572,1569.181088
ANXA3,ENSG00000138772,P12429,1568.124907
ARF5,ENSG00000004059,P84085,1563.584158
CSTB,ENSG00000160213,P04080,1560.473236
KRT2,ENSG00000172867,P35908,1555.598705
CLTA,ENSG00000122705,P09496-2,1550.83462
PCMT1,ENSG00000120265,P22061-2,1543.040494
MAP4,ENSG00000047849,"P27816,P27816-5",1542.197394
FABP5,ENSG00000164687,Q01469,1539.459728
S100A2,ENSG00000196754,P29034,1535.861836
ANP32E,ENSG00000143401,Q9BTT0,1535.365249
UBE2L3,ENSG00000185651,P68036,1534.621323
RPL34,ENSG00000109475,P49207,1532.836264
PSMB6,ENSG00000142507,P28072,1529.384085
CTSB,ENSG00000164733,P07858,1525.298014
DDX3X,ENSG00000215301,O00571,1514.807799
DARS,ENSG00000115866,P14868,1509.713361
2-Sep,ENSG00000168385,Q15019,1508.466379
PHB2,ENSG00000215021,Q99623,1508.021186
UBE2D2,ENSG00000131508,P62837,1498.35826
ACLY,ENSG00000131473,P53396,1496.041199
NANS,ENSG00000095380,Q9NR45,1493.222689
PDHB,ENSG00000168291,P11177-2,1486.871047
SEC61B,ENSG00000106803,P60468,1486.651602
PDLIM1,ENSG00000107438,O00151,1478.249734
ZYX,ENSG00000159840,Q15942,1475.684806
SMS,ENSG00000102172,P52788,1456.724501
UBE2D3,ENSG00000109332,P61077,1453.818564
NEFL,ENSG00000277586,P07196,1450.246945
PRPS2,ENSG00000101911,P11908-2,1438.464597
DHX9,ENSG00000135829,Q08211,1429.84011
PFDN5,ENSG00000123349,Q99471,1426.56993
NAP1L4,ENSG00000205531,Q99733,1424.097496
CDK1,ENSG00000170312,P06493,1423.171766
UBE2D1,ENSG00000072401,P51668,1421.7003
PSMB4,ENSG00000159377,P28070,1420.412184
CACYBP,ENSG00000116161,Q9HB71,1419.99893
PAK2,ENSG00000180370,Q13177,1410.573328
PRPF19,ENSG00000110107,Q9UMS4,1409.883568
RPL18A,ENSG00000105640,Q02543,1404.778144
HMGN4,ENSG00000182952,O00479,1403.045004
YBX3,ENSG00000060138,"P16989,P16989-2",1396.63391
FKBP4,ENSG00000004478,Q02790,1395.205451
CAPZA2,ENSG00000198898,P47755,1394.662435
OLA1,ENSG00000138430,"Q9NTK5,Q9NTK5-3",1392.967901
TMED10,ENSG00000170348,P49755,1388.096148
HNRNPA0,ENSG00000177733,Q13151,1383.722908
KPNA2,ENSG00000182481,P52292,1383.528861
CBX3,ENSG00000122565,Q13185,1381.569909
MTHFD1,ENSG00000100714,P11586,1378.992627
PSMB3,ENSG00000277791,P49720,1377.018744
RHOQ,ENSG00000119729,P17081,1366.856467
RAB35,ENSG00000111737,Q15286,1363.369199
RAB5C,ENSG00000108774,P51148,1361.795657
PGM1,ENSG00000079739,P36871,1358.684714
RBBP4,ENSG00000162521,"Q09028-2,Q09028-3",1357.184076
EIF3H,ENSG00000147677,O15372,1350.047242
ARCN1,ENSG00000095139,P48444,1347.114418
TFRC,ENSG00000072274,P02786,1346.635023
PSMC6,ENSG00000100519,P62333,1344.113288
PGD,ENSG00000142657,P52209,1333.412019
PAFAH1B3,ENSG00000079462,Q15102,1331.399034
HDGF,ENSG00000143321,P51858,1329.734554
PSMC4,ENSG00000013275,P43686,1325.57838
CLIC5,ENSG00000112782,Q9NZA1-2,1322.824698
RPL36AL,ENSG00000165502,Q969Q0,1320.104596
AK2,ENSG00000004455,P54819,1319.552504
IQGAP1,ENSG00000140575,P46940,1319.05152
RBMX,ENSG00000147274,P38159,1317.51998
PLP2,ENSG00000102007,Q04941,1314.902225
RTCB,ENSG00000100220,Q9Y3I0,1311.048645
RAB7A,ENSG00000075785,P51149,1308.181804
COPE,ENSG00000105669,O14579,1305.676693
PSMA3,ENSG00000100567,P25788-2,1302.735439
PYGB,ENSG00000100994,P11216,1298.246288
RHOG,ENSG00000177105,P84095,1296.940021
PRPS1,ENSG00000147224,P60891,1295.63361
UBE2I,ENSG00000103275,P63279,1292.284561
APEX1,ENSG00000100823,P27695,1289.334028
CYB5R3,ENSG00000100243,P00387-2,1288.002689
RAB11B,ENSG00000185236,Q15907,1287.899675
FASN,ENSG00000169710,P49327,1279.620655
PFDN6,ENSG00000204220,O15212,1279.520937
COX6B1,ENSG00000126267,P14854,1279.44828
VAT1,ENSG00000108828,Q99536,1271.80636
CDA,ENSG00000158825,P32320,1271.767201
SNRPE,ENSG00000182004,P62304,1269.879345
RPL36A,ENSG00000241343,P83881,1267.361634
GNB2,ENSG00000172354,P62879,1265.103292
AK4,ENSG00000162433,P27144,1265.073259
TRIM28,ENSG00000130726,"Q13263,Q13263-2",1263.966787
LAP3,ENSG00000002549,P28838-2,1258.140902
RPA3,ENSG00000106399,P35244,1255.893805
