ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_04,V$MEOX1_06	0.15476190476190477	0.08853360838920406	1.971215628507295	0.99535	0.012898958329166066
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX8_06,V$SOX8_07,V$SOX_Q6	0.12301587301587302	0.07277519912898973	2.656325649394805	0.8262	0.03135743626382461
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.6666666666666667	0.5165893072030255	1.5247761972020446	0.7498	0.0073297476044292134
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	5.8273809523809526	3.9736977823620423	2.3417346535218617	0.8795	3.905663712691718E-13
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_02,V$ZNF582_03,V$ZNF582_04	0.8928571428571429	0.7254598590338662	3.2178618032011355	0.7662000000000001	0.005504029920253807
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	2.6324404761904763	2.40072202166065	2.081961461588905	0.738125	0.00849200481936259
ENSG00000020633	runt-related transcription factor 3	RUNX3	V$AML2_01,V$AML2_02,V$AML2_03,V$AML2_Q3,V$AML2_Q3_01,V$AML2_Q4,V$AML_Q4,V$AML_Q6,V$PEBP_Q6,V$RUNX3_01,V$RUNX3_02,V$RUNX3_03,V$RUNX3_04,V$RUNX3_05	1.6921768707482994	1.264520248532626	2.1761606214232816	0.8679714285714286	4.13137206970685E-4
ENSG00000028277	POU class 2 homeobox 2	POU2F2	V$POU2F2_06,V$POU2F2_09,V$POU2F2_10	0.1865079365079365	0.13237063778580024	4.387942548970297	0.9292333333333334	0.04275930147887761
ENSG00000030419	IKAROS family zinc finger 2 (Helios)	IKZF2	V$HELIOSA_01,V$HELIOS_02	6.830357142857142	6.1432009626955475	2.5744898882042664	0.92135	0.006675927048092521
ENSG00000050344	nuclear factor (erythroid-derived 2)-like 3	NFE2L3	V$MAF_Q6_01	0.16666666666666666	0.09111225717723913	1.8292452830188677	0.9345	0.00839704207062075
