ID	Gene symbol ID	Gene_symbol
ENSG00000004897	CDC27	
ENSG00000005339	CREBBP	
ENSG00000005884	ITGA3	
ENSG00000006125	AP2B1	
ENSG00000008710	PKD1	
ENSG00000010810	FYN	
ENSG00000011422	PLAUR	
ENSG00000011465	DCN	
ENSG00000012048	BRCA1	
ENSG00000013810	TACC3	
ENSG00000014216	CAPN1	
ENSG00000026025	VIM	
ENSG00000026103	FAS	
ENSG00000026508	CD44	
ENSG00000033800	PIAS1	
ENSG00000035115	SH3YL1	
ENSG00000039068	CDH1	
ENSG00000041982	TNC	
ENSG00000047410	TPR	
ENSG00000047932	GOPC	
ENSG00000048392	RRM2B	
ENSG00000050820	BCAR1	
ENSG00000051180	RAD51	
ENSG00000058335	RASGRF1	
ENSG00000061938	TNK2	
ENSG00000064012	CASP8	
ENSG00000066027	PPP2R5A	
ENSG00000067560	RHOA	
ENSG00000067606	PRKCZ	
ENSG00000067900	ROCK1	
ENSG00000068028	RASSF1	
ENSG00000069399	BCL3	
ENSG00000070087	PFN2	
ENSG00000070831	CDC42	
ENSG00000072062	PRKACA	
ENSG00000074319	TSG101	
ENSG00000075624	ACTB	
ENSG00000075643	MOCOS	
ENSG00000076641	PAG1	
ENSG00000077238	IL4R	
ENSG00000077312	SNRPA	
ENSG00000077942	FBLN1	
ENSG00000080815	PSEN1	
ENSG00000080824	HSP90AA1	
ENSG00000080986	NDC80	
ENSG00000082701	GSK3B	
ENSG00000082781	ITGB5	
ENSG00000085117	CD82	
ENSG00000085365	SCAMP1	
ENSG00000086758	HUWE1	
ENSG00000087586	AURKA	
ENSG00000088325	TPX2	
ENSG00000088986	DYNLL1	
ENSG00000089022	MAPKAPK5	
ENSG00000089159	PXN	
ENSG00000090339	ICAM1	
ENSG00000091409	ITGA6	
ENSG00000092820	EZR	
ENSG00000095002	MSH2	
ENSG00000096063	SRPK1	
ENSG00000096696	DSP	
ENSG00000096968	JAK2	
ENSG00000097007	ABL1	
ENSG00000099940	SNAP29	
ENSG00000099942	CRKL	
ENSG00000100106	TRIOBP	
ENSG00000100393	EP300	
ENSG00000101266	CSNK2A1	
ENSG00000101849	TBL1X	
ENSG00000102189	EEA1	
ENSG00000102974	CTCF	
ENSG00000103266	STUB1	
ENSG00000103275	UBE2I	
ENSG00000103653	CSK	
ENSG00000104852	SNRNP70	
ENSG00000105229	PIAS4	
ENSG00000105325	FZR1	
ENSG00000105329	TGFB1	
ENSG00000105426	PTPRS	
ENSG00000105647	PIK3R2	
ENSG00000105855	ITGB8	
ENSG00000105974	CAV1	
ENSG00000106070	GRB10	
ENSG00000106089	STX1A	
ENSG00000106799	TGFBR1	
ENSG00000107643	MAPK8	
ENSG00000108654	DDX5	
ENSG00000108773	KAT2A	
ENSG00000108821	COL1A1	
ENSG00000108854	SMURF2	
ENSG00000109062	SLC9A3R1	
ENSG00000109072	VTN	
ENSG00000109320	NFKB1	
ENSG00000109686	SH3D19	
ENSG00000110395	CBL	
ENSG00000110422	HIPK3	
ENSG00000110876	SELPLG	
ENSG00000111206		FOXM1
ENSG00000112592	TBP	
ENSG00000113070	HBEGF	
ENSG00000113140	SPARC	
ENSG00000113575	PPP2CA	
ENSG00000113580	NR3C1	
ENSG00000113658	SMAD5	
ENSG00000113721	PDGFRB	
ENSG00000114166	KAT2B	
ENSG00000114423	CBLB	
ENSG00000114745	GORASP1	
ENSG00000115053	NCL	
ENSG00000115317	HTRA2	
ENSG00000115414	FN1	
ENSG00000115415	STAT1	
ENSG00000115750	TAF1B	
ENSG00000115760	BIRC6	
ENSG00000115904	SOS1	
ENSG00000116017	ARID3A	
ENSG00000116478	HDAC1	
ENSG00000116670	MAD2L2	
ENSG00000117153	KLHL12	
ENSG00000117399	CDC20	
ENSG00000118523	CTGF	
ENSG00000118579	MED28	
ENSG00000118898	PPL	
ENSG00000119335	SET	
ENSG00000120656	TAF12	
ENSG00000120693	SMAD9	
ENSG00000120899	PTK2B	
ENSG00000121022	COPS5	
ENSG00000122779	TRIM24	
ENSG00000123143	PKN1	
ENSG00000123159	GIPC1	
ENSG00000123384	LRP1	
ENSG00000124181	PLCG1	
ENSG00000124762	CDKN1A	
ENSG00000124788	ATXN1	
ENSG00000125170	DOK4	
ENSG00000125730	C3	
ENSG00000125743	SNRPD2	
ENSG00000125753	VASP	
ENSG00000126561	STAT5A	
ENSG00000127445	PIN1	
ENSG00000127824	TUBA4A	
ENSG00000129219	PLD2	
ENSG00000129682	FGF13	
ENSG00000130177	CDC16	
ENSG00000130340	SNX9	
ENSG00000130402	ACTN4	
ENSG00000130956	HABP4	
ENSG00000131747	TOP2A	
ENSG00000131788	PIAS3	
ENSG00000132470	ITGB4	
ENSG00000132522	GPS2	
ENSG00000132535	DLG4	
ENSG00000132670	PTPRA	
ENSG00000132906	CASP9	
ENSG00000133226	SRRM1	
ENSG00000133818	RRAS2	
ENSG00000135046	ANXA1	
ENSG00000135605	TEC	
ENSG00000135679	MDM2	
ENSG00000135823	STX6	
ENSG00000135924	DNAJB2	
ENSG00000136448	NMT1	
ENSG00000136603	SKIL	
ENSG00000136997	MYC	
ENSG00000137752	CASP1	
ENSG00000137801	THBS1	
ENSG00000138160	KIF11	
ENSG00000138376	BARD1	
ENSG00000138448	ITGAV	
ENSG00000138592	USP8	
ENSG00000138794	CASP6	
ENSG00000139618	BRCA2	
ENSG00000139687	RB1	
ENSG00000140443	IGF1R	
ENSG00000140464	PML	
ENSG00000141027	NCOR1	
ENSG00000141198	TOM1L1	
ENSG00000141551	CSNK1D	
ENSG00000141646	SMAD4	
ENSG00000141736	ERBB2	
ENSG00000142798	HSPG2	
ENSG00000142864	SERBP1	
ENSG00000142949	PTPRF	
ENSG00000143153	ATP1B1	
ENSG00000143207	RFWD2	
ENSG00000143228	NUF2	
ENSG00000143379	SETDB1	
ENSG00000145386	CCNA2	
ENSG00000145675	PIK3R1	
ENSG00000145715	RASA1	
ENSG00000146648	EGFR	
ENSG00000146674	IGFBP3	
ENSG00000147065	MSN	
ENSG00000147526	TACC1	
ENSG00000148180	GSN	
ENSG00000148498	PARD3	
ENSG00000148660	CAMK2G	
ENSG00000149269	PAK1	
ENSG00000149554	CHEK1	
ENSG00000149679	CABLES2	
ENSG00000149948	HMGA2	
ENSG00000150093	ITGB1	
ENSG00000150991	UBC	
ENSG00000151694	ADAM17	
ENSG00000152465	NMT2	
ENSG00000154229	PRKCA	
ENSG00000154310	TNIK	
ENSG00000156711	MAPK13	
ENSG00000157227	MMP14	
ENSG00000158092	NCK1	
ENSG00000160691	SHC1	
ENSG00000161057	PSMC2	
ENSG00000161638	ITGA5	
ENSG00000162434	JAK1	
ENSG00000162772	ATF3	
ENSG00000163235	TGFA	
ENSG00000163565	IFI16	
ENSG00000163932	PRKCD	
ENSG00000164045	CDC25A	
ENSG00000164104	HMGB2	
ENSG00000164109	MAD2L1	
ENSG00000164162	ANAPC10	
ENSG00000164305	CASP3	
ENSG00000164611	PTTG1	
ENSG00000164754		RAD21
ENSG00000164885	CDK5	
ENSG00000165119	HNRNPK	
ENSG00000165156	ZHX1	
ENSG00000165806	CASP7	
ENSG00000166313	APBB1	
ENSG00000166851	PLK1	
ENSG00000166913	YWHAB	
ENSG00000166949	SMAD3	SMAD3
ENSG00000167193	CRK	
ENSG00000168036	CTNNB1	
ENSG00000168056	LTBP3	
ENSG00000168078	PBK	
ENSG00000168090	COPS6	
ENSG00000168395	ING5	
ENSG00000168610	STAT3	
ENSG00000168615	ADAM9	
ENSG00000168685	IL7R	
ENSG00000169032	MAP2K1	
ENSG00000169047	IRS1	
ENSG00000169083	AR	
ENSG00000169398	PTK2	
ENSG00000169439	SDC2	
ENSG00000169679	BUB1	
ENSG00000170004	CHD3	
ENSG00000170027	YWHAG	
ENSG00000170312	CDK1	
ENSG00000170421	KRT8	
ENSG00000170836	PPM1D	
ENSG00000171033	PKIA	
ENSG00000171150	SOCS5	
ENSG00000171223		JUNB
ENSG00000171604	CXXC5	
ENSG00000171720	HDAC3	
ENSG00000172216	CEBPB	
ENSG00000172977	KAT5	
ENSG00000173156	RHOD	
ENSG00000173402	DAG1	
ENSG00000173757	STAT5B	
ENSG00000174775	HRAS	
ENSG00000175216	CKAP5	
ENSG00000175387	SMAD2	
ENSG00000177479	ARIH2	
ENSG00000177606	JUN	JUN
ENSG00000177885	GRB2	
ENSG00000178999	AURKB	
ENSG00000179295	PTPN11	
ENSG00000180370	PAK2	
ENSG00000182492	BGN	
ENSG00000182541	LIMK2	
ENSG00000182866	LCK	
ENSG00000183496	MEX3B	
ENSG00000184557	SOCS3	
ENSG00000185338	SOCS1	
ENSG00000185591	SP1	
ENSG00000185950	IRS2	
ENSG00000186153	WWOX	
ENSG00000186318	BACE1	
ENSG00000186716	BCR	
ENSG00000186868	MAPT	
ENSG00000188313	PLSCR1	
ENSG00000189091	SF3B3	
ENSG00000196230	TUBB	
ENSG00000196352	CD55	
ENSG00000196396	PTPN1	
ENSG00000196405	EVL	
ENSG00000196498	NCOR2	
ENSG00000196504	PRPF40A	
ENSG00000196591	HDAC2	HDAC2
ENSG00000196754	S100A2	
ENSG00000196961	AP2A1	
ENSG00000197043	ANXA6	
ENSG00000197122	SRC	
ENSG00000197249	SERPINA1	
ENSG00000197321	SVIL	
ENSG00000197323	TRIM33	
ENSG00000197386	HTT	
ENSG00000197467	COL13A1	
ENSG00000197694	SPTAN1	
ENSG00000197971	MBP	
ENSG00000198176	TFDP1	
ENSG00000198668	CALM1	
ENSG00000198959	TGM2	
ENSG00000204209	DAXX	
ENSG00000204389	HSPA1A	
ENSG00000205250	E2F4	
ENSG00000213341	CHUK	
ENSG00000244405		ETV5
ENSG00000253729	PRKDC	
ENSG00000254087	LYN	
ENSG00000259207	ITGB3	
ENSG00000273841	TAF9	
