name	MDAMB231
COL13A1	4.780759818
IGF1R	4.963186712
BIRC6	4.7577811
IL7R	4.71053471
NOTCH1	5.31818021
RHOD	3.42674195
KAT2B	1.836775414
PDPK1	4.1838312
MAP2K3	5.892627491
MAPK11	4.174957966
MAPK12	5.539574438
MAPK9	8.017997052
MAP2K4	6.26399987
MAP2K7	6.073642008
MAP3K2	5.04061639
MAP3K20	0
MAP3K7	6.297674568
RPS6KA1	6.795067948
RPS6KA5	5.481791453
MAPKAPK2	8.014665463
MAPKAPK3	6.608927515
PTPN11	7.713581355
STK10	7.18298364
MAPK6	7.323921138
RPS6KA2	6.562045002
RPS6KA3	5.592132973
RPS6KB1	7.206348128
RARA	6.340849221
SPI1	1.059469997
YAP1	6.064004088
MAPKAP1:MLST8:MTOR:RICTOR	1.039377482
PIAS1	7.822378029
MTOR	5.09188896
MTOR:RICTOR	1.039377482
MTOR:RPTOR	1.039377482
MVD	7.92937432
AKT1	11.26556476
PMVK	7.989292463
CSNK2A1	7.309120789
UBE2I	8.10301354
CTNNB1	8.263247282
EP300	3.065498982
JUN	8.73385469
MDM2	8.476857508
PAK2	5.84972148
CHEK1	6.296516885
PBK	4.706514653
GSK3B	1.596020301
PTPN1	4.078744109
SUMO1	7.042437096
RAC1	4.645978846
RAF1	4.564647737
TCF3	1.75066604
PKM	8.198942087
AMOTL1	5.027583483
MAPK1	8.603440138
ARAF	6.455649785
MAP2K1	7.772926746
PPM1A	4.908903135
ATM	3.981391345
CHEK2	5.071843605
AURKA	6.989611109
LATS2	8.612773863
PLK1	9.601777242
PPP2CA	3.639510309
BRAF	2.435882829
PPP3C	4.742852511
CASP3	2.483333752
PRKCD	4.211111237
PPP4C	4.87925452
TRIM28	7.291293519
CDC25A	1.931400081
CDK1	5.907822927
PRKACA	5.335019625
EGFR	7.937764511
CDC25C	1.338623055
CDC37	7.46426487
FOS	7.287857122
CDK5	3.759163635
PRMT5	5.625768763
STAT3	9.569638808
PAK1	5.102508199
PRPF4	5.111607888
CDK6	5.186304478
PKN1	7.249469758
PTK6	5.067106258
RELA	6.341437266
RB1	3.732267602
CDKN1A	5.8020486
RAD23A	5.63635612
CHUK	6.441380752
CHUK:IKBKB	1.31484134
ABL1	3.342327037
CREBBP	4.686701962
NFKBIA	2.140240242
COMMD1	2.207690546
SMAD4	5.784967617
COPS2:COPS5	1.848574908
COPS5	5.228559411
BACE1	4.152924833
CREB1	6.106842715
CSNK1E	6.639019772
SKP2	7.751917106
CSNK2A1:CSNK2A2:CSNK2B	-0.080337789
HDAC1	3.452731708
HDAC3	3.952265737
STK11	3.504282686
CSNK2A1:CSNK2A2:CSNK2B:RELA	0.8474102
ANXA1	7.660462565
SETD7	5.724853945
BGN	4.836450232
FN1	9.071020251
STX6	5.245547399
TNIK	3.90024598
TP53	6.20918381
VIM	9.025616167
TRIM33	6.187419202
MEX3B	1.160158163
CD55	4.552551539
PKIA	1.565187458
GSN	4.022658174
CUL1:ELK1:FBXO25:RBX1:SKP1	3.259749418
UBE2D3	4.554786434
ZBTB17	4.397178415
CUL2	5.084867305
SREBF2	6.98950406
ELOC	6.127864454
ADAM9	6.646100159
HIF1A	5.306939769
CYLD	1.841754488
DKK1	6.059078375
PRKCA	7.475244117
DUSP1	6.171095335
MAPK14	6.556714799
MAPK3	4.733827418
IL4R	5.329377352
MAPK8	5.993267356
DVL2	1.643602383
ERBB2	7.806046202
SELPLG	4.172204387
EIF2AK2	4.963764243
EIF2AK2:PDGFB:PDGFRB	1.432915311
SERPINA1	5.902704324
MAP2K6	5.084402867
ELK1	6.519498836
TRIOBP	5.260494862
XIAP	5.610010108
ERBB3	4.188574508
FOXM1	6.004965431
FDPS	9.227144391
RHOA	10.78723268
FMR1	4.921016863
SIRT1	9.163994758
ATF3	3.942744218
ICAM1	6.773550294
SNAP29	6.016947521
TGFB1	7.297503094
TAB1	4.119261395
EVL	2.7063262
RFWD2	3.194188116
TAOK	4.955770494
TARDBP	5.673919775
BUB1	5.562158014
CDC20	5.016665737
CABLES2	4.441042754
CKAP5	6.39074763
FGF13	1.817726793
HMGA2	5.434178087
HMGB2	5.627979137
KAT2A	5.093604586
TGFA	4.876762211
LIMK2	4.246826595
MAD2L2	4.167392386
ROCK1	5.671519492
S100A2	5.06740838
ITGB8	2.942674819
SNRPA	5.423087375
SRPK1	6.366197323
TACC1	5.216587436
TAF1B	4.809550523
PTPRA	5.255978159
TPR	6.226049962
CXXC5	4.518081859
DNAJB2	3.830776804
TP53:SMAD2	1.552295953
FBLN1	4.532380802
VDR	5.887509813
FYN	4.08771459
TP63	-0.776147977
HUWE1	5.709735879
CCNG2	4.024286703
LRP1	4.691016497
WNT5A	3.858256088
LTBP3	4.45312555
MAPK13	5.565791129
UBE2	1.619470423
MAPT	1.961514682
MOCOS	4.109077577
USP22	5.968913203
PIAS3	4.770199878
WNT	2.943754907
RASGRF1	3.539424902
RRM2B	4.891626807
SH3YL1	3.143310935
YWHAZ	6.94687173
SHC1	5.877159706
PAG1	5.384870368
SKIL	4.702118939
TNK2	5.043777995
TAF12	3.113678442
NDC80	3.751292089
TBL1X	4.599766556
NUF2	3.760183859
MAP3K1	4.641226792
OGT	5.688486473
TOP2A	5.529538273
TPX2	5.273242883
MAP3K4	4.222097375
RICTOR	4.783702642
SNAI1	4.616848546
HIPK2	7.15677644
PPM1D	2.811407769
HMGCR	8.388541548
MVK	8.14364399
IKBKB	4.744451122
IKBKG	5.25462029
IQGAP1	7.720273649
