name	attr_MB231	attr_MCF10A
ABL1	0.072169	0.25
ADAM9	0.057532	0.477723
AKT1	0.952419	0.118632
AMOTL1	0	0.5
ANXA1	0.539533	0.065644
ARAF	0.625	0
ATF3	0.571059	0.064201
ATM	0.025227	0.385072
AURKA	0.562129	0.106807
BACE1	-0.069436	0.489176
BGN	0.015708	0.588542
BIRC6	0.031673	0.457072
BRAF	0.5	-0.25
BUB1	0.492671	0.039323
CABLES2	0.470414	0.044937
CASP3	-0.087389	0.398123
CCNG2	-0.022455	0.495809
CD55	0.348572	-0.014648
CDC20	0.521591	-0.060459
CDC25A	0.274246	-0.01112
CDC25C	0.261582	-0.011248
CDC37	0.572169	0.115123
CDK1	0.648463	-0.006247
CDK5	0	0.5
CDK6	0.5	0
CDKN1A	0.051777	0.513434
CHEK1	0.638529	0.031452
CHEK2	0.518143	0.189622
CHUK	0.5	0.195369
CHUK:IKBKB	0.102062	0.039879
CKAP5	0.508619	0.019461
COL13A1	0.497821	0.062074
COMMD1	0.485053	-0.148215
COPS2:COPS5	0.195083	0.004749
COPS5	0.551777	0.013434
CREB1	0.633861	0.034173
CREBBP	-0.036665	0.498097
CSNK1E	0	0.75
CSNK2A1	0.13747	0.517123
CSNK2A1:CSNK2A2:CSNK2B	-0.013771	0.014717
CSNK2A1:CSNK2A2:CSNK2B:RELA	0.069436	0.010824
CTNNB1	0.099343	0.559986
CUL1:ELK1:FBXO25:RBX1:SKP1	0.322169	0
CUL2	0.5	0
CXXC5	0.008186	0.506464
CYLD	-0.25	0.438535
DKK1	0	0.5
DNAJB2	-0.008619	0.480539
DUSP1	0.051777	0.513434
DVL2	0.177831	0
EGFR	0.588736	0.08732
EIF2AK2	0.5	0
EIF2AK2:PDGFB:PDGFRB	0.144338	0
ELK1	0.644338	0
ELOC	0.644338	0
EP300	0.335617	-0.019633
ERBB2	0.167823	0.587427
ERBB3	0.041956	0.646857
EVL	-0.066988	0.386712
FBLN1	0.007329	0.460677
