name	MDAMB231
COL13A1	0.570146248
IGF1R	0.089572075
BIRC6	0.055483641
IL7R	0.608456135
NOTCH1	0.67186714
RHOD	0
KAT2B	0.25
PDPK1	0
MAP2K3	0.5
MAPK11	0.12716808
MAPK12	0.62716808
MAPK9	0.227560913
MAP2K4	0.5
MAP2K7	0.5
MAP3K2	0
MAP3K20	0
MAP3K7	0
RPS6KA1	0.626908797
RPS6KA5	0.643968361
MAPKAPK2	0.224573792
MAPKAPK3	0.634845206
PTPN11	0.556710942
STK10	0.556710942
MAPK6	0.426776695
RPS6KA2	0.064339008
RPS6KA3	0.564339008
RPS6KB1	0.400871521
RARA	0.122351309
SPI1	0.125301354
YAP1	0.622351309
MAPKAP1:MLST8:MTOR:RICTOR	0.102062073
PIAS1	0.160959673
MTOR	0.5
MTOR:RICTOR	0.102062073
MTOR:RPTOR	0.102062073
MVD	0.229820015
AKT1	0.677590515
PMVK	0.459640029
CSNK2A1	0.388312585
UBE2I	0.754364315
CTNNB1	0.433677801
EP300	0.420566161
JUN	0.626326236
MDM2	0.498690114
PAK2	0.5
CHEK1	0.798456685
PBK	0.5
GSK3B	0.113421884
PTPN1	0.5
SUMO1	0.296465056
RAC1	0.5
RAF1	0.510416667
TCF3	0.263226227
PKM	0.123654424
AMOTL1	0
MAPK1	0.319568036
ARAF	0.644337567
MAP2K1	0.555651482
PPM1A	0
ATM	0
CHEK2	0.543207705
AURKA	0.772674356
LATS2	0.511599863
PLK1	0.93420915
PPP2CA	0.25
BRAF	0.5
PPP3C	0
CASP3	0
PRKCD	0.5
PPP4C	0.5
TRIM28	0.676776695
CDC25A	0.5
CDK1	0.853553391
PRKACA	0
EGFR	0.713813217
CDC25C	0.5
CDC37	0.579056942
FOS	0.659428669
CDK5	0
PRMT5	0.5
STAT3	0.647044879
PAK1	0.564065926
PRPF4	0.5
CDK6	0.25
PKN1	0.588388348
PTK6	0.69952397
RELA	0.810648408
RB1	0
CDKN1A	0.055483641
RAD23A	0.5
CHUK	0.5
CHUK:IKBKB	0.111803399
ABL1	0
CREBBP	0.361803399
NFKBIA	0.5
COMMD1	0.25
SMAD4	0.122209846
COPS2:COPS5	0.109013326
COPS5	0.308336249
BACE1	0
CREB1	0.66099209
CSNK1E	0
SKP2	0.25
CSNK2A1:CSNK2A2:CSNK2B	0.130395269
HDAC1	0.546101689
HDAC3	0.046101689
STK11	0.5
CSNK2A1:CSNK2A2:CSNK2B:RELA	0.122209846
ANXA1	0.623349541
SETD7	0
BGN	0.076664129
FN1	0.216815752
STX6	0.101152031
TNIK	0.576664129
TP53	0.687468559
VIM	0.149586659
TRIM33	0.634338537
MEX3B	0
CD55	0.5
PKIA	0
GSN	0
CUL1:ELK1:FBXO25:RBX1:SKP1	0.197168784
UBE2D3	0
ZBTB17	0.062650677
CUL2	0.5
SREBF2	0.43310881
ELOC	0.5
ADAM9	0.055483641
HIF1A	0.25
CYLD	0
DKK1	0
PRKCA	0.036084392
DUSP1	0.055483641
MAPK14	0.737627031
MAPK3	0.160402766
IL4R	0.555483641
MAPK8	0.663032442
DVL2	0.5
ERBB2	0.228624947
SELPLG	0.555483641
EIF2AK2	0.5
EIF2AK2:PDGFB:PDGFRB	0.176776695
SERPINA1	0.555483641
MAP2K6	0.079056942
ELK1	0.394337567
TRIOBP	0.055483641
XIAP	0.058733082
ERBB3	0.057156237
FOXM1	0.874557179
FDPS	0.27915965
RHOA	0.370604559
FMR1	0.5
SIRT1	0.499200809
ATF3	0.655802934
ICAM1	0.681139824
SNAP29	0.134605313
TGFB1	0.23074863
TAB1	0
EVL	0
RFWD2	0
TAOK	0
TARDBP	0.25
BUB1	0.614155533
CDC20	0.597778466
CABLES2	0.53650291
CKAP5	0.61691028
FGF13	0.11691028
HMGA2	0.11691028
HMGB2	0.614155533
KAT2A	0.614155533
TGFA	0.53650291
LIMK2	0.11691028
MAD2L2	0.597778466
ROCK1	0.114155533
S100A2	0.114155533
ITGB8	0
SNRPA	0.61691028
SRPK1	0.614155533
TACC1	0.097778466
TAF1B	0.614155533
PTPRA	0
TPR	0.114155533
CXXC5	0.055483641
DNAJB2	0.055483641
TP53:SMAD2	0.17186714
FBLN1	0.055483641
VDR	0.187293982
FYN	0.555483641
TP63	0
HUWE1	0.555483641
CCNG2	0
LRP1	0.055483641
WNT5A	0
LTBP3	0.055483641
MAPK13	0.67313954
UBE2	0.029366542
MAPT	0.055483641
MOCOS	0.555483641
USP22	0
PIAS3	0.055483641
WNT	0.093646991
RASGRF1	0.555483641
RRM2B	0.055483641
SH3YL1	0.055483641
YWHAZ	0.25
SHC1	0.055483641
PAG1	0.522150359
SKIL	0.055483641
TNK2	0.022150359
TAF12	0.055483641
NDC80	0.5
TBL1X	0.555483641
NUF2	0.5
MAP3K1	0.528355471
OGT	0.280389058
TOP2A	0.5
TPX2	0.5
MAP3K4	0
RICTOR	0.5
SNAI1	0.465362343
HIPK2	0.023050845
PPM1D	0.122209846
HMGCR	0.45793928
MVK	0.542966785
IKBKB	0
IKBKG	0.5
IQGAP1	0
