name	MCF1	MCF2	MCF3	MCF4	MD1	MD2	MD3	MD4
ABL1	1	1	1	1	1	1	1	1
AKT1	1	1	1	1	1	1	1	1
ANXA1	1	1	1	1	1	1	1	1
XIAP	1	1	1	1	1	1	1	1
ARAF	0	0	0	0	1	1	1	1
RHOA	1	1	1	1	1	1	1	1
ATF3	0	0	0	0	0	0	0	0
ATM	1	1	1	1	0	0	0	0
BGN	1	1	1	1	0	0	0	0
BRAF	0	0	0	0	0	0	0	0
BUB1	0	0	0	0	1	1	1	1
CASP3	0	0	0	0	0	0	0	0
CCNG2	1	0	1	0	0	0	0	0
CDK1	0	0	0	0	0	1	0	1
CDC20	0	0	0	0	1	1	1	1
CDC25A	0	0	0	0	0	0	0	0
CDC25C	0	0	0	0	0	0	0	0
CDK5	0	0	0	0	0	0	0	0
CDK6	1	1	1	1	1	1	1	1
CDKN1A	1	1	1	1	1	1	1	1
CHEK1	0	0	0	0	0	1	0	1
CHUK	0	0	0	0	0	0	0	0
COL13A1	0	0	0	0	0	0	0	0
CREB1	0	0	0	0	1	1	0	1
CREBBP	1	1	1	1	1	1	1	1
MAPK14	1	1	1	1	1	1	1	1
CSNK1E	1	1	1	1	1	1	1	1
CSNK2A1	1	1	1	1	1	1	1	1
CTNNB1	1	1	1	1	1	1	1	1
CYLD	0	0	0	0	0	0	0	0
CD55	0	0	0	0	1	1	1	1
DUSP1	1	1	1	1	1	1	1	1
DVL2	0	0	0	0	0	0	0	0
EGFR	1	1	1	1	1	1	1	1
ELK1	1	1	1	0	1	1	1	1
EP300	1	1	1	1	1	1	1	1
ERBB2	1	1	1	1	1	1	1	1
ERBB3	0	0	0	0	0	0	0	0
FBLN1	1	1	1	1	1	1	1	1
FDPS	1	1	1	1	1	1	1	1
FGF13	0	0	0	0	0	0	0	0
FOXM1	0	0	0	0	1	1	1	1
FMR1	1	0	1	0	1	1	1	1
FN1	1	1	1	1	1	1	1	1
FOS	0	0	0	0	0	0	0	0
MTOR	1	1	1	1	1	1	1	1
FYN	0	0	0	0	0	0	0	0
KAT2A	0	0	0	0	0	0	0	0
GSK3B	1	1	1	1	1	1	1	1
GSN	1	1	1	1	1	1	1	1
HDAC1	1	1	1	1	1	1	1	1
HIF1A	1	1	1	1	1	1	1	1
HMGB2	1	1	1	1	1	1	1	1
HMGCR	0	1	0	1	1	1	1	0
DNAJB2	0	0	0	0	0	0	0	0
ICAM1	0	0	0	0	1	0	1	0
IGF1R	1	1	1	1	0	0	0	0
IKBKB	0	0	0	0	0	0	0	0
IL4R	0	0	0	0	0	0	0	0
IL7R	0	0	0	0	0	0	0	0
ITGB8	1	0	1	0	0	0	0	0
JUN	0	1	0	1	1	1	1	1
LIMK2	0	0	0	0	0	0	0	0
LRP1	1	1	1	1	1	0	1	0
LTBP3	1	1	1	1	1	0	1	0
SMAD4	1	1	1	1	1	1	1	1
MAPT	0	0	0	0	0	0	0	0
MDM2	0	1	1	1	0	0	1	1
MAP3K1	0	0	0	0	0	0	0	0
MAP3K4	0	0	0	0	0	0	0	0
MVD	0	0	0	0	0	0	0	0
MVK	0	0	0	0	0	0	0	0
NFKBIA	1	1	1	0	1	1	1	1
NOTCH1	0	0	0	0	1	0	1	0
PAK1	0	0	0	0	0	0	0	0
PAK2	1	1	1	1	1	1	1	1
PDPK1	0	0	0	0	0	0	0	0
SERPINA1	0	0	0	0	1	1	1	1
PKM	1	1	1	1	1	1	1	1
PLK1	0	0	0	0	1	1	1	1
PPM1A	1	1	1	1	1	1	1	1
PPP2CA	1	1	1	1	1	1	1	1
PPP3CA	1	1	1	1	1	1	1	1
PPP4C	0	0	0	0	1	1	1	1
PPP3CB	1	1	1	1	1	1	1	1
PPP3CC	0	0	0	0	0	0	0	0
PRKACA	1	1	1	1	1	1	1	1
PKIA	0	0	0	0	0	0	0	0
PRKCA	1	1	1	1	1	1	1	1
