name	MCF10A_1	MCF10A_2	MCF10A_3	MCF10A_4	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
COL13A1	0.095581601	0.112850746	0.064000008	0.118614309	0.553695123	0.633354208	0.551897353	0.586597373
IGF1R	0.538087631	0.586844208	0.586918709	0.618498081	0.086056822	0.093087328	0.079572668	0.094900766
BIRC6	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
IL7R	0.119290407	0.135126212	0.072495174	0.087069649	0.612002614	0.593242944	0.612451118	0.604909655
NOTCH1	0.046637411	0.060083124	0.074346376	0.069572198	0.676052312	0.655704809	0.667681967	0.698535652
RHOD	0.5	0.5	0.5	0.5	0	0	0	0
KAT2B	0.5	0	0.5	0	0	0.5	0	0.5
PDPK1	0.5	0.5	0.5	0.5	0	0	0	0
MAP2K3	0	0	0	0	0.5	0.5	0.5	0.5
MAPK11	0.599408897	0.599408897	0.599408897	0.599408897	0.12716808	0.12716808	0.12716808	0.12716808
MAPK12	0.099408897	0.099408897	0.099408897	0.099408897	0.62716808	0.62716808	0.62716808	0.62716808
MAPK9	0.091435557	0.591435557	0.641435557	0.591435557	0.227560913	0.227560913	0.227560913	0.677560913
MAP2K4	0.144337567	0.144337567	0.144337567	0.144337567	0.5	0.5	0.5	0.5
MAP2K7	0.144337567	0.144337567	0.644337567	0.144337567	0.5	0.5	0.5	0
MAP3K2	0.5	0.5	0.5	0.5	0	0	0	0
MAP3K20	0	0	0	0	0	0	0	0
MAP3K7	0.676776695	0.676776695	0.676776695	0.676776695	0	0	0	0
RPS6KA1	0.041873907	0.174945725	0.196251564	0.174945725	0.623155362	0.630662231	0.615954278	0.746454074
RPS6KA5	0.117397808	0.210694246	0.171869593	0.210694246	0.623927777	0.623964468	0.663972253	0.697925506
MAPKAPK2	0.617846953	0.655535871	0.62188131	0.655535871	0.207746511	0.207746511	0.245435429	0.241401072
MAPKAPK3	0.019454706	0.072754885	0.025160149	0.072754885	0.611047838	0.611047838	0.664348017	0.658642574
PTPN11	0.188630344	0.240076484	0.196764693	0.240076484	0.535055046	0.586501187	0.535055046	0.578366838
STK10	0.188630344	0.240076484	0.196764693	0.240076484	0.535055046	0.586501187	0.535055046	0.578366838
