name MCF10A_1 MCF10A_2 MCF10A_3 MCF10A_4 MDAMB231_1 MDAMB231_2 MDAMB231_3 MDAMB231_4
PIAS1 8.128865829 8.069398796 8.163137332 8.000628025 7.817403091 7.835074079 7.827352967 7.770524889
AKT1 10.99175874 11.16330989 10.97235134 11.13006729 11.20906416 11.31215059 11.21897892 11.34991483
CTNNB1 8.42561285 8.738364953 8.43271819 8.728583503 8.235488357000001 8.264446812000001 8.2689968 8.262047752
JUN 8.287530802000001 9.037969073 8.293180912 9.050330185 8.639477007 8.844697931 8.642915578 8.824793802
GSK3B 1.975263286 1.943993776 1.980371303 1.961587111 1.695163145 1.507016505 1.685024096 1.50061875
TCF3 2.079371362 2.057090054 2.026466585 1.9818548040000001 1.646516076 1.8595926369999998 1.670298879 1.8310332009999999
MAPK1 8.597526821 8.696187153 8.615059433999999 8.724907381 8.609241774 8.597638501 8.59743457 8.630644704
AURKA 6.096987092999999 6.156934552999999 6.13164518 6.1173482429999995 6.664191082 7.2672746 6.713056031 7.266166186
STAT3 9.39539378 9.480455309 9.592229632 9.525843339 9.665016878 9.474260738 9.68320706 9.463281869
RELA 6.2008365670000005 6.307311111000001 6.229324527 6.283501599 6.3929578000000005 6.236223193 6.365402549 6.317471982000001
HDAC3 4.066027963 4.021020158 4.033856925 4.02362826 3.916166425 4.006508554 3.8902477319999997 3.9883650489999996
FOXM1 5.409582034 5.435979064 5.410948524 5.433347163 5.733683588 6.285960652000001 5.6864958439999995 6.276247274
