ID	UniProt ID	Average Intensity	Gene symbol ID
ENSG00000003056	P20645	77.91735302818623	M6PR
ENSG00000010256	P31930	971.7137142123868	UQCRC1
ENSG00000038382	O75962	4.23398793025186	TRIO
ENSG00000039123	P42285	45.797961370119154	SKIV2L2
ENSG00000054654	Q8WXH0	2.3057002815897993	SYNE2
ENSG00000077235	Q12789-3	0.4806381723112582	GTF3C1
ENSG00000104067	Q07157	58.164799594065	TJP1
ENSG00000105854	Q15165	10.755273654560588	PON2
ENSG00000111845	Q9NWT1	7.928248210329402	PAK1IP1
ENSG00000112079	Q15208	39.54324352063175	STK38
ENSG00000115211	Q9UI10-2	156.6984509528769	EIF2B4
ENSG00000124562	P09234	965.6056639790745	SNRPC
ENSG00000124787	O75818-2	20.644125796533533	RPP40
ENSG00000124942	Q09666,Q09666-2	2182.6322417491738	AHNAK
ENSG00000129680	Q8IWC1	28.66776600052013	MAP7D3
ENSG00000134871	P08572	2.8081043499176674	COL4A2
ENSG00000137076	Q9Y490	1998.3433122212045	TLN1
ENSG00000141510	P04637	204.22253568233248	TP53
ENSG00000144959	Q6PIU2	427.52827030850136	NCEH1
ENSG00000148773	P46013,P46013-2	96.2509502446276	MKI67
ENSG00000157764	P15056	9.7570357868696	BRAF
ENSG00000165916	P17980	1225.0670091941586	PSMC3
ENSG00000166963	P78559	16.270060592040128	MAP1A
ENSG00000167978	Q9UQ35	159.16144108590206	SRRM2
ENSG00000171467	Q5VUA4	0.29607485330314154	ZNF318
ENSG00000186575	P35240,P35240-6	813.6503046101998	NF2
ENSG00000241978	Q9Y2D5,Q9Y2D5-6	256.513939718791	AKAP2
