tolerance	DAC_2	DAC_3	DAC_4	DAC_5	DAC_6	DAC_8	DAC_10	DAC_12			
a20	0	0	0.0008	0.00087	0.000884	0.0008852	0.000885215	0.000885215			
apoptosis	0.04	0.025	0.0225	0.02186	0.021778	0.02176731	0.021767197	0.021767196			
bclxl	-0.03	-0.032	-0.0298	-0.02936	-0.029307	-0.029299	-0.029298922	-0.029298921			
bid	0.07	0.042	0.0384	0.0376	0.037503	0.03749031	0.037490172	0.03749017			
caspase	0.05	0.039	0.0349	0.0343	0.034214	0.03420396	0.03420385	0.034203849			
ceramide	0.17	0.166	0.163	0.16247	0.162407	0.16239863	0.162398541	0.16239854			
creb	0.01	0.021	0.0209	0.02081	0.020809	0.02080887	0.020808869	0.020808869			
ctla4	0	-0.002	0	0	1.00E-06	0	0	0			
cytoskeletonsignaling	0	0.005	0.004	0.00404	0.004068	0.00406743	0.004067432	0.004067432			
disc	0.05	0.053	0.0518	0.05133	0.051276	0.05126917	0.051269106	0.051269105			
erk	0.04	0.033	0.034	0.03409	0.034099	0.03410061	0.034100629	0.034100629			
fas	0.04	0.035	0.0329	0.03236	0.032303	0.03229584	0.032295772	0.032295771			
fasl	0.01	0.011	0.0114	0.0115	0.011513	0.01151517	0.011515187	0.011515188			
fast	0	0	0.0008	0.00087	0.000884	0.0008852	0.000885215	0.000885215			
flip	-0.01	0.002	0.0013	0.00136	0.001381	0.00138287	0.001382889	0.001382889			
fyn	0.01	0.004	0.0063	0.00638	0.006391	0.00639135	0.006391353	0.006391353			
gap	0.02	0.019	0.0206	0.02073	0.020744	0.02074619	0.020746209	0.02074621			
gpcr	-0.08	-0.07	-0.068	-0.06773	-0.067697	-0.06769201	-0.067691959	-0.067691959			
grb2	0	0.006	0.0063	0.00639	0.006391	0.00639135	0.006391353	0.006391353			
gzmb	0.05	0.049	0.0476	0.04749	0.047485	0.04748441	0.047484399	0.047484399			
iap	-0.02	-0.016	-0.0137	-0.01322	-0.013157	-0.01314891	-0.013148828	-0.013148827			
ifng	0.04	0.03	0.0293	0.02912	0.029094	0.02909122	0.02909119	0.02909119			
ifngt	0.04	0.036	0.0356	0.03562	0.035633	0.03563387	0.035633876	0.035633876			
il2	-0.02	-0.027	-0.026	-0.026	-0.025993	-0.02599129	-0.025991281	-0.025991281			
il2ra	0	-0.006	-0.0053	-0.00531	-0.005298	-0.00529739	-0.005297384	-0.005297384			
il2rat	0	-0.004	-0.0042	-0.00413	-0.004118	-0.00411687	-0.004116856	-0.004116856			
il2rb	0.02	0.022	0.0225	0.02244	0.022455	0.02245691	0.022456927	0.022456927			
il2rbt	0.05	0.052	0.053	0.05303	0.053041	0.05304214	0.053042156	0.053042156			
jak	0	0.004	0.0049	0.00499	0.004992	0.00499322	0.004993234	0.004993234			
lck	0	0.003	0.0045	0.00451	0.004519	0.00451936	0.004519369	0.004519369			
mcl1	0	-0.004	-0.0026	-0.00245	-0.002415	-0.00241171	-0.002411665	-0.002411664			
mek	0.05	0.045	0.0459	0.04588	0.045884	0.04588517	0.045885175	0.045885175			
nfat	0	0.006	0.0068	0.00692	0.006928	0.0069289	0.006928915	0.006928915			
nfkb	-0.01	0.003	0.003	0.00323	0.003259	0.0032621	0.003262139	0.003262139			
p2	0.02	0.012	0.0109	0.0107	0.010688	0.01068676	0.010686741	0.010686741			
p27	0.01	0.001	0.0009	0.00082	0.000825	0.00082558	0.000825584	0.000825584			
pdgfr	-0.06	-0.05	-0.0482	-0.04789	-0.047869	-0.04786548	-0.047865444	-0.047865443			
pi3k	0.01	0.016	0.017	0.0172	0.017213	0.017215	0.017215027	0.017215028			
plcg1	-0.02	-0.013	-0.0126	-0.01237	-0.012357	-0.0123546	-0.012354582	-0.012354582			
proliferation	0.01	0.002	1.00E-04	6.00E-05	5.90E-05	5.84E-05	5.84E-05	5.84E-05			
rantes	0	0	0.0008	0.00087	0.000884	0.0008852	0.000885215	0.000885215			
ras	0.09	0.088	0.0882	0.0883	0.088306	0.08830606	0.08830606	0.08830606			
s1p	-0.17	-0.153	-0.151	-0.15049	-0.150434	-0.15042666	-0.150426576	-0.150426575			
sfas	-0.07	-0.055	-0.0509	-0.05023	-0.050138	-0.0501271	-0.050126974	-0.050126973			
smad	-0.07	-0.063	-0.0614	-0.06099	-0.060929	-0.06092284	-0.060922764	-0.060922763			
socs	0.01	0.007	0.0066	0.0066	0.006603	0.00660255	0.006602556	0.006602556			
sphk1	-0.13	-0.122	-0.1217	-0.12156	-0.121542	-0.12153948	-0.12153945	-0.121539449			
stat3	0	0.003	0.0025	0.00259	0.002594	0.00259456	0.00259456	0.00259456			
tbet	0.15	0.143	0.1423	0.14234	0.142346	0.14234741	0.142347416	0.142347416			
tcr	0	-0.002	0	2.00E-05	0	0	0	0			
tnf	0	0	0.0008	0.00087	0.000884	0.0008852	0.000885215	0.000885215			
tpl2	0	0.003	0.0042	0.00432	0.004324	0.00432564	0.004325659	0.00432566			
tradd	0.02	0.005	0.0041	0.00384	0.003814	0.00380996	0.003809926	0.003809926			3.415879626
zap70	0	0	0	0	0	0	0	0			
il15	0	0	0	0	0	0	0	0			
stimuli	0	0	0	0	0	0	0	0			
cd45	0	0	0	0	0	0	0	0			
stimuli2	0	0	0	0	0	0	0	0			
pdgf	0	0	0	0	0	0	0	0			
tax	0	0	0	0	0	0	0	0			
	0.01	0.007	0.0073	0.0073	0.007306	0.00730652	0.007306529	0.007306529			
	0.002927504	0.002471019	0.002390124	0.002374887	0.002373085	0.002372855	0.002372853	0.002372852			
