Gene_Symbol	MCF10A	MDAMB231
NAT1	6.462367433	6.385559613
SERPINA3	8.05792447	8.60979624
AAMP	9.512691258	9.78031475
AARS	10.93869887	11.1961531
ABAT	6.578117025	4.901944733
ABCA1	6.30162824	9.50133825
ABCA2	10.02763661	9.464752643
ABCA3	6.253818535	6.431120668
ABCB7	8.728786818	8.789137435
ABCF1	10.35694069	11.17671358
ABL1	10.75752979	10.39803588
ABL2	10.1458009	10.58387298
ABR	11.15551706	10.79579963
ACAA1	8.653768718	8.180565748
ACACA	10.2343594	10.75902465
ACACB	6.534700963	5.968328778
ACADM	9.455523463	9.331023138
ACADS	5.400285638	6.160457243
ACADSB	9.179845568	9.01284915
ACADVL	10.96459948	10.69006273
ACAT1	9.535729305	10.30711961
ACAT2	9.260312523	9.486085745
ASIC1	6.09102444	5.198812408
ACLY	11.89020338	12.05174802
ACO1	10.30797454	11.23415502
ACO2	10.08374741	10.1211998
ACOX1	9.06093338	9.042306378
ACP1	10.16324033	10.10873505
ACP2	8.806145403	9.048419355
ACTA2	8.702294535	6.72514526
ACTB	16.20846667	16.21983079
ACTG1	15.48705885	15.11890049
ACTN4	13.24632595	13.57323607
ACTL6A	9.656861995	10.40899154
ACTN1	13.48353313	13.32915365
ACVR1	9.191108535	8.636110725
ACVR1B	8.50444698	8.368984078
ACVR2A	7.26939674	7.016080545
ACVR2B	6.642443118	7.118867225
ACYP1	5.337287218	6.170503883
ACYP2	7.032102818	6.796496955
ADA	6.801148598	6.21299974
ADAM8	6.331935893	9.780820443
ADAM10	11.54838477	11.59210765
ADAR	12.22883069	11.77781777
ADARB1	7.463358183	8.153057535
ADCY3	9.758328148	9.567068145
ADCY6	9.148254493	8.48936249
ADCY7	7.541015528	8.456862913
ADCY9	9.55424247	9.637489168
ADD1	12.05649516	11.65958917
ADD3	10.48707945	9.886271505
ADH5	10.71159863	10.36103076
ADK	9.097627635	9.84516571
ADM	8.39496067	8.539541453
ADORA1	3.682940543	3.343732705
ADORA2B	6.73693361	9.129090133
PARP1	11.98933829	11.63396576
PARP4	11.26429569	11.58669703
ADRA1B	6.515585108	6.82710872
ADRB1	2.023659668	1.876589498
ADRB2	8.404592753	7.992206533
GRK2	8.83012498	9.196755973
GRK3	6.753781468	6.883832793
ADSL	9.89978438	10.54347683
ADSS	11.18294315	10.79576226
AP2A1	10.85763807	10.95794693
AP2A2	10.24322622	10.0917541
AP1B1	10.30817988	10.12131784
AP2B1	12.46792955	12.73863233
AP1G1	9.977347715	10.24439573
AES	11.79793248	11.05270034
AFG3L1P	6.295469635	6.36108609
AGA	7.8504881	7.954784165
AGL	9.059135425	8.993890548
JAG1	9.575462295	10.60101799
AHCY	11.91997599	12.00523453
AHR	10.42229966	11.20414299
CRYBG1	11.34226272	10.64390493
AK1	8.349893948	8.694980298
AK2	10.83012209	11.29978562
AK4	9.54830302	10.22002078
AKT1	10.98693635	11.03917613
AKT2	10.17004204	10.15662891
ALAD	9.33527257	8.49564616
ALAS1	8.722953855	9.55705175
ALCAM	12.80320665	12.50818777
ABCD1	7.723481363	7.918787435
ALDH1B1	9.291121328	9.987940943
ALDH1A3	6.34515534	6.161222908
ALDH3B1	9.820747605	9.24554629
ALDH9A1	10.12888129	10.24387708
ALDH3A2	11.30188758	10.06239039
ABCD2	3.43305787	3.245005223
ALDOA	13.85998349	13.99634467
ALDOC	8.22964939	7.147253788
AKR1B1	11.81486569	11.51253974
ALOX5AP	6.504541298	6.118133063
ALOX15B	5.615720895	7.91106818
AMD1	10.48473111	11.00867742
AMFR	10.00087016	9.476880783
AMH	5.222127943	5.187936238
AMPD2	9.14305067	8.965452958
