ID	Gene symbol ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000004975	DVL2	23.618222940792336	O14641	dishevelled segment polarity protein 2	DVL2	1856	9.346141917	16.355783	550	13.088391	713	17.034824	740	13.498655	576	671.272249	0.424402534	1.063480415	0.09192176	0.33406027	0.965967847	9.434028205	18.222795	594	18.185194	558	19.347103	830	18.425659	913	9.38237398	9.31548106	9.41781499	9.33722771	9.41404689	9.38463088	9.46423581	9.39753701	NM_004422	1.917517489	0.04583337	1.917517489
ENSG00000005339	CREBBP	2.526479531347272	Q92793	CREB binding protein	CREBBP	1387	10.66475877	14.042294	1597	8.879969	1634	13.122466	1927	8.541827	1232	1457.524964	0.163090244	-1.256685468	0.2046045	0.107173589	-1.611028142	10.33505474	11.941867	1316	8.54278	885	11.593917	1681	8.823029	1478	10.7463486	10.47008504	10.68657144	10.43364564	10.54136875	10.23342861	10.51466271	10.2621034	NM_001079846,NM_004380	2.121450872	0.155414407	-2.121450872
ENSG00000033800	PIAS1	2.469548292043112	O75925	protein inhibitor of activated STAT 1	PIAS1	8554	10.14675394	15.052029	1063	10.578957	1209	15.643192	1427	8.876501	795	879.7488544	5.43E-6	-1.812271525	0.176253388	1.13E-6	-4.866851839	9.289678055	7.978193	546	8.677272	559	8.120329	732	7.18784	748	10.08320282	9.90076822	10.11744676	9.74628329	9.48901681	9.5292538	9.50232263	9.38705458	NM_001320687,NM_016166	4.972231261	0.17237249	-4.972231261
ENSG00000034152	MAP2K3	168.70007706867136	P46734	mitogen-activated protein kinase kinase 3	MAP2K3	5606	7.756800165	7.791975	203	6.184956	258	7.246056	243	4.46164	155	519.3467542	3.93E-30	3.802121798	0.164404054	1.01E-31	11.71993452	9.683708655	25.049352	633	33.143173	782	25.642194	855	30.725236	1166	8.31260148	8.2379101	8.2560641	8.04907785	9.22949868	9.45160819	9.25256576	9.37941379	NM_001316332,NM_002756,NM_145109	16.84349011	0.114400785	16.84349011
ENSG00000050748	MAPK9	25.2930196772052	P45984-2	mitogen-activated protein kinase 9	MAPK9	5601	10.14633045	18.295283	819	19.895377	1472	18.585369	1111	19.911538	1127	1023.105731	0.082086267	-1.241423929	0.157949384	0.048235233	-1.975290129	9.834310831	15.77759	694	20.654114	833	15.155543	909	21.104529	1412	9.96533176	10.17793985	10.00779312	10.15383302	9.7959196	9.9697139	9.79101229	10.01275665	NM_001135044,NM_001308244,NM_002752,NM_139068,NM_139069,NM_139070	2.959376056	0.105434258	-2.959376056
ENSG00000055332	EIF2AK2	176.43568744078314	P19525	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK2	5610	9.636419086	14.560154	668	11.042216	866	13.895798	870	12.798125	744	907.9509168	6.35E-5	1.282965864	0.083420233	1.64E-5	4.309299679	9.994374975	20.656974	832	22.907373	874	21.383344	1143	21.149553	1429	9.72432209	9.65884866	9.73193408	9.73084206	9.87635387	9.94275975	9.91229722	9.95542313	NM_001135651,NM_001135652,NM_002759	10.15403025	0.035252592	10.15403025
ENSG00000064393	HIPK2	NaN		homeodomain interacting protein kinase 2	HIPK2	28996	13.00517198	56.789848	9627	19.999164	5485	58.174334	12729	19.508287	4192	5236.310663	5.59E-6	-3.651990546	0.384456882	1.17E-6	-4.860578963	11.136479	14.137526	2320	9.450055	1459	14.493519	3133	9.721859	2427	12.97641773	12.13871312	13.0002915	12.11303459	11.67163406	11.34365776	11.69102782	11.36612389	NM_001113239,NM_022740	3.751196446	0.498159189	-3.751196446
ENSG00000065361	ERBB3	NaN		erb-b2 receptor tyrosine kinase 3	ERBB3	2065	6.756801827	3.638458	176	0.534039	34	2.683889	181	0.23087	19	59.98785593	2.36933E-4	-9.1787238	0.803556262	6.89E-5	-3.980173794	3.564659921	0.217887	14	0.28035	8	0.246697	21	0.04147	4	6.69191254	4.96396701	6.47085068	4.74168821	4.60167341	4.34925191	4.66686852	3.94672304	NM_001005915,NM_001982	3.17261792	1.006153904	-3.17261792
ENSG00000065559	MAP2K4	75.88203796148865	P45985	mitogen-activated protein kinase kinase 4	MAP2K4	6416	9.413019449	13.197108	570	9.454052	661	13.792525	770	12.445938	682	766.2460183	0.049881043	1.249182764	0.145353939	0.027223624	2.208296317	9.732641666	16.228235	679	17.234924	679	20.665936	1129	17.084879	1087	9.4875393	9.33299079	9.52568955	9.55409636	9.601479	9.62524534	9.80216632	9.61966527	NM_001281435,NM_003010	3.242515872	0.098572291	3.242515872
ENSG00000067225	PKM	55031.679907912985	P14618,P14618-2	muscle,pyruvate kinase	PKM	5315	15.27174406	727.815924	22213	1245.489769	61763	717.0092	28243	1223.911082	47237	31985.04893	0.026495476	-1.620616625	0.281163692	0.013235943	-2.477357016	14.57520787	657.433071	19425	799.31795	22209	658.673171	25551	780.96511	35020	14.78716336	15.39330997	14.77473115	15.36667435	14.64335283	14.77712492	14.64193722	14.75892646	NM_001206796,NM_001206797,NM_001206798,NM_001206799,NM_001316318,NM_002654,NM_182470,NM_182471	2.012721467	0.346066856	-2.012721467
