ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000000457	NaN		SCY1 like pseudokinase 3	SCYL3	57147	7.71436388	5.711625	197	4.056819	217	5.77159	257	3.751774	159	173.304466	0.030019315	-1.53591067	0.255142073	0.015246556	-2.426468924	7.093726036	4.449536	149	2.378889	73	4.322795	182	3.413996	169	7.68359163	7.47808628	7.69373078	7.41881351	7.41494941	6.89701789	7.35335559	7.15821478	NM_020423,NM_181093	4.406621115	0.140842116	-4.406621115	SCYL3
ENSG00000000971	NaN		complement factor H	CFH	3075	13.25611732	250.733303	11046	92.532912	6718	265.25635	14886	103.751622	5515	4987.695607	7.64E-57	-50.96833432	0.350442908	6.55E-59	-16.18388951	7.585044152	4.553126	198	3.221416	136	4.269282	243	4.747577	217	12.77850914	11.91895119	12.82470775	11.96061204	9.46116286	9.31397721	9.42700531	9.30630293	NM_000186,NM_001014975	11.38258496	0.498223663	-11.38258496	CFH
ENSG00000001036	7.451599363432784	Q9BTY2	alpha-L- 2,fucosidase,plasma	FUCA2	2519	6.984732671	3.134388	90	3.14573	145	4.097943	151	3.315552	120	851.4436513	6.68E-134	12.41916047	0.14595028	7.03E-137	24.90228682	10.62226667	43.684227	1203	52.968063	1372	46.931061	1701	56.86927	2381	7.90513901	7.97988775	8.05594341	8.01216949	9.92283508	10.07903991	9.9921294	10.1532581	NM_032020	57.20095765	0.063592187	57.20095765	FUCA2
ENSG00000001084	18.87131018040475	P48506	glutamate-cysteine ligase catalytic subunit	GCLC	2729	9.207520299	11.614151	492	9.482473	653	10.891449	598	10.996659	591	825.6329237	0.001552084	1.793073594	0.243837204	5.50484E-4	3.454906341	10.04992822	27.324821	1126	17.494998	671	28.904329	1567	16.074982	1007	9.38606584	9.3407589	9.33787492	9.45385097	10.06735046	9.63366243	10.11777215	9.57334006	NM_001197115,NM_001498	15.54990458	0.054174475	15.54990458	GCLC
ENSG00000001167	25.60174875365753	P23511-2	nuclear transcription factor Y subunit alpha	NFYA	4800	9.335952792	9.070261	629	7.494189	836	6.249542	558	6.105039	531	804.1377623	0.088355582	1.488611855	0.295900936	0.052412631	1.939729015	9.909928522	9.848604	654	17.908286	1126	7.521184	658	15.526937	1566	9.57795934	9.5317705	9.27125306	9.35545362	9.57742466	10.08324207	9.35437864	9.94912068	NM_002505,NM_021705	3.962714699	0.144844071	3.962714699	NFYA
ENSG00000001497	9.296179440919412	Q9Y4W2-2	LAS1 like,ribosome biogenesis factor	LAS1L	81887	8.732626268	9.69902	264	14.316164	629	9.149897	328	14.09293	487	651.0346538	0.001177829	2.06060721	0.294979232	4.06115E-4	3.536077846	9.77591317	22.125783	577	34.75662	858	21.541645	760	38.516859	1537	8.72986401	9.14507445	8.70130488	9.13148884	9.32562652	9.70346893	9.32538257	9.80148374	NM_001170649,NM_001170650,NM_031206	4.269018889	0.244385637	4.269018889	LAS1L
ENSG00000001617	NaN		semaphorin 3F	SEMA3F	6405	9.139459976	14.70293	578	8.618118	548	14.105078	716	7.57665	378	398.8881792	1.03E-5	-2.411196306	0.2685871	2.27E-6	-4.727513395	7.869205655	5.983827	230	4.11246	148	6.842429	343	4.346542	254	9.08128771	8.72799168	9.04411017	8.6133383	8.25382231	7.94465445	8.35239649	7.98759159	NM_001318798,NM_001318800,NM_004186	5.484030728	0.231627864	-5.484030728	SEMA3F
ENSG00000001630	24.683001989966016	Q16850	cytochrome P450 family 51 subfamily A member 1	CYP51A1	1595	10.73133344	25.241678	903	45.545253	2588	26.871761	1174	49.234712	2173	1531.665535	0.466988223	-1.247166671	0.359580168	0.375518251	-0.886184247	10.41290227	48.850928	1638	25.955787	818	39.725622	1763	26.74079	1370	10.26890359	10.88421212	10.2748574	10.94314715	10.74211082	10.18033704	10.5647839	10.21073214	NM_000786,NM_001146152	0.857539549	0.371331177	-0.857539549	CYP51A1
ENSG00000001631	NaN		KRIT1,ankyrin repeat containing	KRIT1	889	9.29322988	10.990528	555	7.133085	597	11.632613	767	8.587148	553	546.5984778	0.024010732	-1.346087399	0.170239526	0.011780903	-2.518640021	8.863573346	6.414215	350	8.575468	440	6.946329	467	9.325039	699	9.26087198	9.03411678	9.32021091	9.17195107	8.84483305	9.05283226	8.85435852	9.04084611	NM_001013406,NM_001350669,NM_001350670,NM_001350671,NM_001350672,NM_001350673,NM_001350674,NM_001350675,NM_001350676,NM_001350677,NM_001350678,NM_001350679,NM_001350680,NM_001350681,NM_001350682,NM_001350683,NM_001350684,NM_001350685,NM_001350686,NM_001350687,NM_001350688,NM_001350689,NM_001350690,NM_001350691,NM_001350692,NM_001350693,NM_001350694,NM_001350695,NM_001350696,NM_001350697,NM_004912,NM_194454,NM_194455,NM_194456	3.454102598	0.124390206	-3.454102598	KRIT1
ENSG00000002016	NaN		DNA repair protein,RAD52 homolog	RAD52	5893	7.20861354	3.434693	128	2.658407	161	4.092074	178	2.538446	120	126.1854901	0.012333058	-1.406195198	0.177418827	0.005572087	-2.771954256	6.706766875	2.1639	79	2.460852	77	2.712126	129	2.950786	162	7.13582835	7.04568652	7.19942094	7.00117995	6.72450764	6.72626476	6.88720402	6.92999647	NM_001297419,NM_001297420,NM_001297421,NM_001297422,NM_134424,NR_123713	5.633917065	0.089075977	-5.633917065	RAD52
