ID	Gene symbol ID	Gene_ID	Transcript_ID	Description	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval	MDA_MB-231.mean	MCF10A.mean
ENSG00000000460	C1orf112	55732	NM_001320047,NM_001320048,NM_001320050,NM_001320051,NM_018186	chromosome 1 open reading frame 112	3.07540410580828	245.867958325362	0.471425872259709	3.43802936438805	5.8596415189938E-4	0.00164349309800609	8.53567948876967	6.91446863063019
ENSG00000000971	CFH	3075	NM_000186,NM_001014975	complement factor H	-50.9683343188299	4987.69560697369	0.350442907838154	-16.1838895116898	6.55213392946386E-59	7.63694478287981E-57	7.58504415195958	13.2561173150185
ENSG00000001036	FUCA2	2519	NM_032020	alpha-L- 2,fucosidase,plasma	12.4191604712747	851.443651337311	0.145950280492845	24.9022868201549	7.02767679026464E-137	6.67899590336305E-134	10.6222666710269	6.98473267120173
ENSG00000001497	LAS1L	81887	NM_001170649,NM_001170650,NM_031206	LAS1 like,ribosome biogenesis factor	2.06060721026569	651.034653844067	0.294979231892695	3.53607784558855	4.06115003453556E-4	0.00117782884217575	9.77591316977429	8.73262626750726
ENSG00000001617	SEMA3F	6405	NM_001318798,NM_001318800,NM_004186	semaphorin 3F	-2.4111963055437	398.8881791657	0.268587099692764	-4.72751339506788	2.27286074224363E-6	1.03239685553015E-5	7.86920565546445	9.13945997602464
ENSG00000002549	LAP3	51056	NM_015907	leucine aminopeptidase 3	2.04675323091006	888.399387232638	0.157242176862567	6.57162851166762	4.97679051416627E-11	4.35777794489895E-10	10.2210692739155	9.1879143850388
ENSG00000002587	HS3ST1	9957	NM_005114	heparan sulfate-glucosamine 3-sulfotransferase 1	3.31499873950834	34.3699046152756	0.300633336899909	5.75121954071499	8.86019681047276E-9	5.84451316569092E-8	5.71768049510374	4.01030190670655
ENSG00000002822	MAD1L1	8379	NM_001013836,NM_001013837,NM_001304523,NM_001304524,NM_001304525,NM_003550	MAD1 mitotic arrest deficient like 1	2.33682816020348	372.861947911453	0.203111448510539	6.02896418551914	1.65013847174812E-9	1.21498574603385E-8	9.02918015572709	7.80259825431207
ENSG00000003249	DBNDD1	79007	NM_001042610,NM_001288708,NM_001288709,NM_024043	dysbindin domain containing 1	-3.99182702794446	61.9098247306846	0.54383261942242	-3.67217621101344	2.4049375830776E-4	7.37679658922508E-4	4.63623462121961	6.62864781946951
ENSG00000003989	SLC7A2	6542	NM_001008539,NM_001164771,NM_003046	solute carrier family 7 member 2	6.4041384500685	906.021501204921	0.400370051764	6.69132090621287	2.21165059453954E-11	2.03765422039792E-10	10.6141221668255	7.93476175899335
ENSG00000004139	SARM1	23098	NM_015077	sterile alpha and TIR motif containing 1	2.26426455573138	23.4757496936282	0.591639982841005	1.99283781709014	0.0462792092459308	0.0792267743152937	5.02793871659382	3.84053971740396
ENSG00000004399	PLXND1	23129	NM_015103	plexin D1	7.43159461237238	716.314332644554	0.510865280599898	5.66425614712316	1.47663688655947E-8	9.47732401737257E-8	10.302303842829	7.40872863920783
